Department Family                                 ,Entity                                            ,Date                   ,Expense Type                                      ,Expense Area                                      ,Supplier                                          ,Transaction Number                                ,Amount               ,VAT Registration Number                           
--------------------------------------------------,--------------------------------------------------,-----------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,---------------------,--------------------------------------------------
DCMS                                              ,NHM                                               ,2012-05-18 00:00:00.000,Agency Temporary Staff Costs                      ,VE Production Special Effects                     ,Spring Personnel                                  ,CADPINVSM0000008203                               ,             871.6400,                                                  
DCMS                                              ,NHM                                               ,2012-05-18 00:00:00.000,B/S - Equipment (Plant & Machinery)               ,PEG Visitor Offer Strat Non Exh Proj              ,Black Cat Displays Ltd                            ,CADPINVSM0000008206                               ,             790.0000,                                                  
DCMS                                              ,NHM                                               ,2012-05-18 00:00:00.000,B/S - Tangible Fixed Assets Fixtures              ,PEG Visitor Offer Strat Non Exh Proj              ,Godfrey Syrett                                    ,CADPINVSM0000008207                               ,           14000.0000,                                                  
DCMS                                              ,NHM                                               ,2012-05-18 00:00:00.000,B/S - Tangible Fixed Assets Fixtures              ,Collections Committee (Furniture)                 ,Ocean Design                                      ,CADPINVSM0000008164                               ,            9000.5500,                                                  
DCMS                                              ,NHM                                               ,2012-05-18 00:00:00.000,B/S - Tangible Fixed Assets Fixtures              ,Collections Committee (Furniture)                 ,Ocean Design                                      ,CADPINVSM0000008172                               ,            4984.9200,                                                  
DCMS                                              ,NHM                                               ,2012-05-18 00:00:00.000,B/S -Tang FA - Perm Exhib Construct               ,PEG Visitor Offer Strat Non Exh Proj              ,Rankins Glass Co. Ltd                             ,CADPINVSM0000008208                               ,            3700.0000,                                                  
DCMS                                              ,NHM                                               ,2012-05-18 00:00:00.000,Decant / Recant / Moving Costs                    ,Estates Furniture                                 ,Crest Commercial Removals Ltd                     ,CADPINVSM0000008177                               ,            4000.0000,                                                  
DCMS                                              ,NHM                                               ,2012-05-18 00:00:00.000,Decant / Recant / Moving Costs                    ,Estates Buildings                                 ,Crest Commercial Removals Ltd                     ,CADPINVSM0000008178                               ,            2920.0000,                                                  
DCMS                                              ,NHM                                               ,2012-05-18 00:00:00.000,Elec Works                                        ,Estates Engineering                               ,C.S Todd & Associates Ltd                         ,CADPINVSM0000008199                               ,             810.2000,                                                  
DCMS                                              ,NHM                                               ,2012-05-18 00:00:00.000,Equip Hire & Maintenance                          ,Zoology Facility                                  ,Meadowrose Scientific Limited                     ,CADPINVSM0000008173                               ,               0.0000,                                                  
DCMS                                              ,NHM                                               ,2012-05-18 00:00:00.000,Equip Hire & Maintenance                          ,Zoology Facility                                  ,Meadowrose Scientific Limited                     ,CADPINVSM0000008173                               ,              14.9200,                                                  
DCMS                                              ,NHM                                               ,2012-05-18 00:00:00.000,Equip Hire & Maintenance                          ,Zoology Facility                                  ,Meadowrose Scientific Limited                     ,CADPINVSM0000008173                               ,             182.0400,                                                  
DCMS                                              ,NHM                                               ,2012-05-18 00:00:00.000,Equip Hire & Maintenance (Leases)                 ,Zoology Facility                                  ,GRI Labcare                                       ,CADPINVSM0000008171                               ,             210.3600,                                                  
