Transaction Date,Merchant Name,Total
01.07.14,Amazon *Mktplce EU-UK,15.00 
01.07.14,AVIS CAMBRIDGE,58.09 
01.07.14,CITYSPRINT,79.07 
01.07.14,COLUMBUS TRAINLINE,2.00 
01.07.14,GREATER ANGLIA T/O,105.70 
01.07.14,LONDON OVERGROUND-,8.90 
01.07.14,LONDON OVERGROUND-,8.90 
01.07.14,PAYPAL *ICONINSTITU,204.00 
01.07.14,POST SAFE LTD,31.18 
01.07.14,SELFSERVE TICKET,9.00 
01.07.14,SHELL SMALLFORD 16,13.11 
01.07.14,TRAINLINE.COM,35.09 
01.07.14,WWW.THEBOOKSELLER.COM,612.00 
02.07.14,8160,35.70 
02.07.14,8190,96.00 
02.07.14,ACL,522.00 
02.07.14,Amazon *Mktplce EU-UK,7.79 
02.07.14,Amazon *Mktplce EU-UK,45.80 
02.07.14,CONSERVATION.CO.UK,27.48 
02.07.14,CONVENIENCE CHEQUE FEE,5.00 
02.07.14,LONDON OVERGROUND-,49.50 
02.07.14,LONDON OVERGROUND-,20.00 
02.07.14,LONDON OVERGROUND-,8.90 
02.07.14,LONDON OVERGROUND-,8.90 
02.07.14,LONDON OVERGROUND-,8.90 
02.07.14,LUL TICKET MACHINE,60.00 
02.07.14,OYSTER AUTOTOPUP,20.00 
02.07.14,TICKETOFFICESALE,3.40 
02.07.14,WWW.KENT.AC.UK,66.00 
02.07.14,XMA LTD,126.31 
03.07.14,8180,168.48 
03.07.14,B I F M,183.00 
03.07.14,BANNER BUSINESS SERVIC,59.32 
03.07.14,CONVENIENCE CHEQUE FEE,3.37 
03.07.14,ITUNES.COM/BILL,3.99 
03.07.14,LONDON OVERGROUND-,8.90 
03.07.14,LUL TICKET MACHINE,30.00 
03.07.14,OYSTER AUTOTOPUP,20.00 
03.07.14,SELFSERVE TICKET,11.40 
03.07.14,TNA BOOKSHOP,10.39 
03.07.14,WWW.NEOPOST.CO.UK,"2,060.00 "
03.07.14,WWW.PURELYPAPER.CO.UK,218.34 
04.07.14,8130,269.14 
04.07.14,8150,"1,124.06 "
04.07.14,AVIS LONDON,52.58 
