,PB3 & 4 - International and domestic travel,,,,,
,Senior official (SCS2 and above),Start date of trip,Destination,Mode of transport,Class of travel,"Total cost, including all visas, accommodation, travel etc (£)"
,"Campbell, Ms. Mandie Jane",05/02/2015,London,Taxi,n/a,£19
,"Campbell, Ms. Mandie Jane",11/02/2015,London,Bus,Standard/Economy,£2
,"Campbell, Ms. Mandie Jane",16/02/2015,London,Underground,Standard/Economy,£4
,"Campbell, Ms. Mandie Jane",16/02/2015,London,Taxi,n/a,£5
,"Campbell, Ms. Mandie Jane",17/02/2015,Durham,Train,Standard/Economy,£2
,"Campbell, Ms. Mandie Jane",19/02/2015,London,Bus,Standard/Economy,£3
,"Campbell, Ms. Mandie Jane",26/02/2015,London,Bus,Standard/Economy,£2
,"Campbell, Ms. Mandie Jane",16/03/2015,London,n/a,n/a,£13
,"Campbell, Ms. Mandie Jane",16/03/2015,London,n/a,n/a,£10
,"Campbell, Ms. Mandie Jane",23/03/2015,London,Underground,Standard/Economy,£4
,"Campbell, Ms. Mandie Jane",23/03/2015,Warsaw,Air (International),Standard/Economy,£206
,"Campbell, Ms. Mandie Jane",25/03/2015,Warsaw,Hotel,n/a,£223
,"Campbell, Ms. Mandie Jane",25/03/2015,London,Underground,Standard/Economy,£4
,"Campbell, Ms. Mandie Jane",25/03/2015,London Heathrow,Air (International),Economy,£110
,"Campbell, Ms. Mandie Jane",26/03/2015,London,Bus,Standard/Economy,£2
,"Campbell, Ms. Mandie Jane",30/03/2015,London,Underground,Standard/Economy,£4
,"Campbell, Ms. Mandie Jane",30/03/2015,London,Taxi,n/a,£5
,"Campbell, Ms. Mandie Jane",30/03/2015,Leeds/Bradford,Train,Standard,£73
,"Campbell, Ms. Mandie Jane",31/03/2015,Leeds/Bradford,Train,Standard,£73
,"Montgomery, Sir Charles Percival",12/01/2015,London City,Train,Standard,£58
,"Montgomery, Sir Charles Percival",13/01/2015,London,Taxi,n/a,£6
,"Montgomery, Sir Charles Percival",13/01/2015,Aberdeen,Train,Standard,£90
,"Montgomery, Sir Charles Percival",13/01/2015,Edinburgh,Air (Domestic),Economy,£148
,"Montgomery, Sir Charles Percival",13/01/2015,Aberdeen,Train,Standard,£90
,"Montgomery, Sir Charles Percival",13/01/2015,Edinburgh,Air (Domestic),Economy,£134
,"Montgomery, Sir Charles Percival",14/01/2015,London,Bus,Standard,£2
,"Montgomery, Sir Charles Percival",14/01/2015,London Heathrow,Air (Domestic),Economy,£144
,"Montgomery, Sir Charles Percival",26/01/2015,London,Taxi,n/a,£4
,"Montgomery, Sir Charles Percival",27/01/2015,HEATHROW TERM 5,Train,Standard,£43
,"Montgomery, Sir Charles Percival",30/01/2015,London,Taxi,n/a,£116
,"Montgomery, Sir Charles Percival",31/01/2015,Melbourne,Hotel,n/a,£647
,"Montgomery, Sir Charles Percival",31/01/2015,Melbourne,Air (International),Business,£272
,"Montgomery, Sir Charles Percival",31/01/2015,Melbourne,Air (International),Business,"£9,423"
,"Montgomery, Sir Charles Percival",31/01/2015,,Air,,£272
,"Montgomery, Sir Charles Percival",05/02/2015,London,Hotel,,£66
,"Montgomery, Sir Charles Percival",17/02/2015,London,Underground,,£2
,"Montgomery, Sir Charles Percival",17/02/2015,HEATHROW TERM123,Train,Standard,£44
,"Montgomery, Sir Charles Percival",23/02/2015,Hull,Train,Standard,£115
,"Montgomery, Sir Charles Percival",25/02/2015,London Kings Cross,Train,Standard,£139
,"Montgomery, Sir Charles Percival",25/02/2015,London Kings Cross,Train,Standard,£61
,"Montgomery, Sir Charles Percival",25/02/2015,London Kings Cross,Train,Standard,£147
,"Montgomery, Sir Charles Percival",26/02/2015,London,Taxi,n/a,£7
,"Montgomery, Sir Charles Percival",27/02/2015,London,Taxi,n/a,£119
,"Montgomery, Sir Charles Percival",02/03/2015,London,Underground,n/a,£2
,"Montgomery, Sir Charles Percival",02/03/2015,Tilbury Town,Train,Standard,£14
,"Montgomery, Sir Charles Percival",03/03/2015,London,Taxi,n/a,£14
,"Montgomery, Sir Charles Percival",03/03/2015,London Heathrow,Taxi,n/a,£127
,"Montgomery, Sir Charles Percival",04/03/2015,London,Underground,n/a,£2
,"Montgomery, Sir Charles Percival",05/03/2015,Fratton,Train,Standard,£13
,"Montgomery, Sir Charles Percival",05/03/2015,Winchester,Train,Standard,£13
,"Montgomery, Sir Charles Percival",10/03/2015,Poole,Train,Standard,£14
,"Montgomery, Sir Charles Percival",10/03/2015,Poole,Train,Standard,£49
,"Montgomery, Sir Charles Percival",10/03/2015,Poole,Train,Standard,£49
,"Montgomery, Sir Charles Percival",10/03/2015,Poole,Train,Standard,£110
,"Montgomery, Sir Charles Percival",10/03/2015,Poole,Train,Standard,£40
,"Montgomery, Sir Charles Percival",10/03/2015,Poole,Train,Standard,£41
,"Montgomery, Sir Charles Percival",11/03/2015,Plymouth,Train,Standard,£29
