11.       Investment Properties,,,,
,,,,
£0,Note,Admiralty Arch,Sunningdale Park,Total
,,,,
Cost at 1 April 2012,,-,-,-
Additions,,-,-,-
Accruals,,-,-,-
Disposals,,-,-,-
Impairment,,-,-,-
"Transferred from Property, Plant and Equipment",10,"28,129","2,133","30,262"
Revaluation,8,"31,871",132,"32,003"
Balance at 31 March 2013,,"60,000","2,265","62,265"
