"SPECIAL ADVISERS’ MEETINGS NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES",,


Name of Special Adviser – Hayden  Allan ,,
Date of hospitality,Name of organisation ,Type of hospitality received¹  
12/09/2013,C4 News ,General Defence Discussion 
