Department,Organisation Name,Basis for expenditure approval,Project name,Total Value Approved (£M),Basis for Exception,Approval month,Civil Service Grade (FTE),,,,,,Civil Service Grade (Headcount),,,,,,Total approvals (Headcount),Total Approvals (FTE),Date of approval,,,
,,,,,,,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,AA/AO,EO,HEO,SEO,Grade 6 / 7,SCS,,,,,,
HMRC,Chief Finance Officer,External Recruitment,SCS 2 Director Finance & Strategy,0.042 million,External recruitment carried out to ensure the widest pool of candidates with relevant expertise and ability,August,,,,,,1,,,,,,1,1,1,04/08/2015,,,
HMRC,Chief Finance Officer,External Recruitment,SCS 2 Director Internal Audit,0.042 million,External recruitment carried out due to specialist nature of role and need to attract widest pool of professional expertise.  ,August,,,,,,1,,,,,,1,1,1,04/08/2015,,,
HMRC,Legal,External Recruitment,SCS 1 Head of Commercial Law London,0.036 million,"External recruitment carried out as seeking to recruit specialist skills,knowledge, expertise from the private sector",August,,,,,,1,,,,,,1,1,1,14/08/2015,,,
HMRC,CTS Directorate,External Recruitment,,,,,,0.6,,,,,,0.6,,,,,0.6,0.6,04-Aug,,,
HMRC,CFO Group,External Recruitment,,,,,62,,,,,,62,,,,,,62,62,10-Jul,,,
HMRC ,E&C,External Recruitment,,,,,,,,,20,,,,,,20,,20,20,22-Jul,,,
HMRC,Legal and Accounts,External Recruitment,,,,,,,1,,,,,,1,,,,1,1,10-Jul,,,
HMRC,CFO Group,External Recruitment,,,,,,,,2,,,,,,2,,,2,2,10-Jul,,,
HMRC,PT,External Recruitment,,,,,290,,,,,,290,,,,,,290,290,19-Jul,,,
HMRC,PT,External Recruitment,,,,,140,60,40,,,,140,60,40,,,,240,240,03-Sep,,,
HMRC,E&C,External Recruitment,,,,,,,,,1,,,,,,1,,1,1,06-Aug,,,
HMRC,B&C,External Recruitment,,,,,80,,,,,,80,,,,,,80,80,14-Jul,,,
HMRC,CFO &Sols,External Recruitment,,,,,,7,,,,,,7,,,,,7,7,14-Jul,,,
HMRC,CFO Group,External Recruitment,,,,,,,,1,,,,,,1,,,1,1,21-Jul,,,
HMRC,BT,External Recruitment,,,,,70,,,,,,70,,,,,,70,70,03-Sep,,,
HMRC,CPO,External Recruitment,,,,,,,,,1,,,,,,1,,1,1,24-Aug,,,
HMRC,CPO,External Recruitment,,,,,,1,3,5,6,,,1,3,5,6,,15,15,10-Aug,,,
HMRC,Central Tax & Strategy (Band T),External Recruitment,,,,,,,,,200,,,,,,200,,200,200,29-Sep,,,
HMRC,Central Tax & Strategy,External Recruitment,,,,,24,,,,,,24,,,,,,24,24,29-Sep,,,
HMRC,VOA,Frontline business critical posts - Fixed Term Appointments (FTAs) and interims,,,,,47.50,0,0,9,0,0,70,0,0,9,0,0,79,56.50,,,,
HMRC,VOA,Specialist business critical posts - FTAs and interims,,,,,19.75,0,2,3,6.00,0,40,0,2,3,6,0,51,30.75,,,,
HMRC,VOA,Frontline business critical posts - permanent appointments,,,,,5,,0,57.00,1,0,5,,0,57,1,0,63,63,,,,
HMRC,VOA,Specialist business critical posts - permanent appointments,,,,,,0,0,0,1,2.00,,0,0,0,1,2,3,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
