Permanent secretary,Date,Person or organisation that meeting was with,Purpose of meeting
Oliver Robbins,February 2017,Time To Change,Pledge signing
Oliver Robbins,February 2017,Charles Grant (CER),Discussion on impact of UK exit from EU
Oliver Robbins,February 2017,Brian McBride (ASOS),Discussion on impact of UK exit from EU
Oliver Robbins,February 2017,William Ury,Discussion on impact of UK exit from EU
Oliver Robbins,February 2017,Frances O'Grady (TUC),Discussion on impact of UK exit from EU
Oliver Robbins,March 2017,Daniel Price (Rock Creek Global Advisors),Discussion on impact of UK exit from EU
Philip Rycroft,Nil return,,
