,,,,,
Table 2.1 Public spending control for the Cabinet Office,,,,,
,,,,,
,,,£'000,,
,2011-12    Original Budget,2011-12              Final Budget,2011-12     Forecast Outturn,,
,,,,,
Resource DEL,"435,577","479,196","446,414",,
,,,,,
of which Administrtation Budget,"183,627","209,920","186,640",,
,,,,,
Resource AME,"-2,056 "," 5,988 "," 4,781 ",,
,,,,,
Capital DEL," 21,900 "," 29,296 "," 19,296 ",,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
