Row Labels,Administrative/logistic - awaiting inpatient or high dependency bed,Administrative/logistic - awaiting space on theatre list,Administrative/logistic - cancelled due to list over-run,Administrative/logistic - problem with theatre/equipment,Administrative/logistic - problem with theatre/surgical/anaesthetic staff cover,Awaiting orthopaedic diagnosis or investigation,Medically unfit - Awaiting medical review investigation or stabilisation,Medically unfit - awaiting orthopaedic diagnosis or investigation,No delay - surgery < 36 hours,Other,Unknown,Grand Total
MAY,0.0%,1.9%,2.3%,0.4%,1.5%,3.9%,6.6%,0.8%,81.5%,1.2%,0.0%,259
SUN,0.0%,0.6%,0.3%,0.0%,0.0%,1.2%,9.2%,0.0%,85.0%,0.6%,3.1%,327
ADD,0.0%,29.0%,0.8%,0.8%,3.2%,1.6%,4.8%,0.0%,58.9%,0.8%,0.0%,124
AEI,0.0%,6.2%,0.7%,0.0%,0.0%,1.7%,10.6%,1.0%,76.0%,3.8%,0.0%,292
AIR,0.0%,11.9%,0.5%,0.0%,0.0%,4.1%,8.3%,0.9%,72.5%,0.5%,1.4%,218
ALT,0.3%,30.6%,1.7%,0.0%,0.0%,1.9%,20.7%,0.0%,41.3%,3.6%,0.0%,363
ASH,0.0%,1.1%,0.0%,0.0%,0.0%,2.3%,1.7%,1.1%,93.4%,0.3%,0.0%,348
BAR,0.0%,0.9%,0.5%,0.0%,1.4%,1.8%,8.2%,1.4%,83.1%,1.4%,1.4%,219
BAS,0.0%,24.9%,2.7%,0.0%,0.0%,0.9%,14.1%,0.6%,56.6%,0.3%,0.0%,334
BAT,0.0%,6.2%,2.1%,1.3%,4.3%,0.9%,10.0%,0.2%,72.3%,2.8%,0.0%,470
BED,0.0%,12.2%,0.0%,0.0%,0.0%,1.4%,11.5%,0.7%,73.4%,0.7%,0.0%,139
BFH,0.0%,44.4%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,44.4%,0.0%,0.0%,9
BLA,0.2%,12.8%,2.4%,0.5%,0.0%,1.0%,12.6%,0.0%,67.1%,2.9%,0.5%,413
BNT,0.0%,16.1%,0.0%,1.6%,0.0%,4.8%,75.8%,0.0%,0.0%,1.6%,0.0%,62
BOL,0.3%,12.8%,2.2%,1.6%,1.3%,1.3%,8.8%,0.3%,71.3%,0.3%,0.0%,320
BRD,0.4%,7.1%,0.4%,0.4%,1.8%,1.8%,8.5%,0.0%,79.4%,0.4%,0.0%,282
BRG,0.0%,10.3%,0.0%,0.0%,1.3%,2.6%,32.1%,0.0%,39.7%,3.8%,10.3%,78
BRI,0.3%,12.9%,0.7%,2.6%,0.7%,1.3%,3.6%,0.3%,76.9%,0.7%,0.0%,303
BRO,0.0%,10.0%,1.2%,0.0%,0.0%,0.6%,15.5%,0.0%,69.7%,0.3%,2.7%,330
BRT,0.0%,2.7%,3.5%,0.8%,0.0%,2.3%,6.2%,0.0%,81.9%,1.9%,0.8%,259
BSL,0.0%,3.1%,0.8%,0.0%,0.8%,4.7%,7.9%,1.6%,77.2%,3.9%,0.0%,127
CGH,0.2%,3.5%,0.2%,0.0%,0.7%,0.0%,7.4%,0.2%,87.8%,0.0%,0.0%,460
CHE,0.0%,13.3%,0.0%,0.0%,0.3%,0.3%,9.6%,0.0%,76.0%,0.5%,0.0%,375
CHG,0.0%,30.5%,0.5%,0.0%,0.0%,3.0%,10.0%,2.0%,52.0%,2.0%,0.0%,200
CLW,2.3%,19.2%,4.6%,0.9%,0.0%,2.3%,16.0%,1.4%,50.7%,1.8%,0.9%,219
CMI,0.2%,10.3%,1.8%,0.0%,0.0%,0.0%,9.4%,0.2%,75.5%,2.6%,0.0%,457
