Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4018880,747.30
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4018881,815.53
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4018888,596.23
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4018891,542.03
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4018910,1308.88
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4018911,4672.45
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4018911,5055.86
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4018911,5451.17
Department for Energy and Climate Change,Department for Energy and Climate Change,02-Nov-2010 ,Other HR Consultancy,Corporate and Professional Services,MORGAN LAW RECRUITMENT CONSULTANCY,4018919,2750.00
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,External Training,Corporate and Professional Services,NATIONAL SCHOOL OF GOVERNMENT,4018921,900.00
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,External Training,National Climate Change & Consumer Support - Communications,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4018922,1485.00
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Internal Training,Corporate and Professional Services,NATIONAL SCHOOL OF GOVERNMENT,4018923,1620.00
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Counsels Expert Legal Opinion on Points of Law,Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,PANNONE LLP,4018925,11386.05
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Counsels Expert Legal Opinion on Points of Law,Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,PANNONE LLP,4018925,3166.95
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4018927,739.18
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4018928,729.58
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,ADECCO UK LTD,4018929,701.12
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4018930,584.27
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4018931,710.38
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate and Professional Services,ADECCO UK LTD,4018932,634.91
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",EAGA PLC,4018934,21800000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Shared Services,Corporate and Professional Services,DEFRA,4018935,33791.24
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,CIVIL AVIATION AUTHORITY,4018937,33750.00
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,CIVIL AVIATION AUTHORITY,4018938,29375.00
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4018939,2097.38
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4018940,1727.90
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4018942,1727.90
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Mobile Phones,International Energy & Climate Change - International Climate Change Negotiations,CELLHIRE plc,4018943,691.12
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Shared Services,Corporate and Professional Services,DTZ DEBENHAM TIE LEUNG,4018946,14708.50
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Shared Services,Corporate and Professional Services,DTZ DEBENHAM TIE LEUNG,4018946,14742.14
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,IRWIN MITCHELL SOLICITORS,4018950,5000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,03-Nov-2010 ,Other HR Consultancy,Corporate and Professional Services,DEPARTMENT FOR EDUCATION,4018951,6947.19
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4018956,945.06
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,HAYS PLC,4018957,882.26
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,SENERGY (GB) LTD,4018958,4502.98
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Contributions (Programme),International Energy & Climate Change - International Climate Change Negotiations,MINISTRY OF DEFENCE,4018959,20000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,REED EMPLOYMENT LTD,4018960,670.03
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE FOOD & ENVIRONMENT RESEARCH AGENCY FERA,4018961,50000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,01-Nov-2010 ,Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE FOOD & ENVIRONMENT RESEARCH AGENCY FERA,4018961,25000.00
