Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Independent Experts,Energy Markets & Infrastructure - Security and resilience,DSTL,4019098,19353.89
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Shared Services,Corporate and Professional Services,DEFRA,4019103,50000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,04-Nov-2010 ,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE EUROPEAN MARINE ENERGY CENTRE LTD,4019108,841230.00
Department for Energy and Climate Change,Department for Energy and Climate Change,04-Nov-2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4019109,5000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,HTSPE LTD,4019111,33730.00
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Grants - Statutory - Current - Abroad,Energy Markets & Infrastructure - Security and resilience,NUVIA LTD,4019112,22000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019114,261994.71
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019115,167481.65
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019117,627.20
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019118,580.74
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019122,565.26
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019123,511.52
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019127,561.39
Department for Energy and Climate Change,Department for Energy and Climate Change,08-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Security and resilience,BROOK STREET (UK) LTD,4019129,803.35
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Other Accommodation Charges,DECC Central Budgets - DECC Central Budgets,APPLEYARDS CONSULTING,4019131,1958.73
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,STEELHENGE CONSULTING LTD,4019132,1762.50
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019133,534.28
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019134,619.46
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Financial Advice and Services,Energy Markets & Infrastructure - DECC Commercial Team,ADAM BOND COMMERCIAL ADVISORY LTD,4019136,29866.00
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4019141,9318.00
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Application Support Service,Corporate and Professional Services,FIVIUM LTD,4019143,1592.50
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF CAMBRIDGE,4019144,11921.25
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate and Professional Services,GREEN PARK INTERIM & EXECUTIVE LTD,4019145,1175.00
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4019146,333856.00
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Cash Expenditure during the Year - Other Coal Non-Health Provisions,Energy Markets & Infrastructure - Energy Development Unit,CAPITA BUSINESS SERVICES LTD,4019147,104421.95
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Occupational Health Service,National Climate Change & Consumer Support - Energy Efficiency & Consumers,PROVISION SOLUTIONS LTD,4019151,500.00
Department for Energy and Climate Change,Department for Energy and Climate Change,08-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate and Professional Services,OFFICE ANGELS LTD,4019153,784.24
Department for Energy and Climate Change,Department for Energy and Climate Change,25-Nov-2010 ,Other Staff Welfare Costs,Science & Innovation Group - Science & Innovation Group,PRIDEMARK PARAMEDIC SERVICES LLC,4019155,626.93
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - DECC Commercial Team,GREEN PARK INTERIM & EXECUTIVE LTD,4019156,24166.22
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate and Professional Services,MORGAN LAW RECRUITMENT CONSULTANCY,4019157,1938.75
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,LANCASTER COHOUSING COMPANY LTD,4019158,4000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate and Professional Services,MORGAN LAW RECRUITMENT CONSULTANCY,4019159,2755.40
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Hire of IT Equipment,International Energy & Climate Change - International Energy & Carbon Budgets,ACS AUDIOVISUAL SOLUTIONS BV,4019160,660.08
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019163,650.43
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019164,596.23
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019165,603.97
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4019167,8466.88
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,THE UNIVERSITY OF EDINBURGH,4019168,9937.27
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Cash Expenditure during the Year - Concessionary Fuel,Energy Markets & Infrastructure - Energy Development Unit,CPL FUELS,4019170,1969344.90
Department for Energy and Climate Change,Department for Energy and Climate Change,05-Nov-2010 ,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019171,1574.02
Department for Energy and Climate Change,Department for Energy and Climate Change,08-Nov-2010 ,External Training,Corporate and Professional Services,HOME OFFICE,4019178,3300.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Local IT Consultancy,Corporate and Professional Services,HAYS PLC,4019179,2828.00
Department for Energy and Climate Change,Department for Energy and Climate Change,08-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,NATURAL ENVIRONMENT RESEARCH COUNCIL (BGS BRITISH GEOLOGICAL SURVEY),4019180,44030.69
Department for Energy and Climate Change,Department for Energy and Climate Change,08-Nov-2010 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,SHEILA HIRST COMMUNICATION LTD T/A HIRST COMMUNICATION,4019181,2250.00
Department for Energy and Climate Change,Department for Energy and Climate Change,08-Nov-2010 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,POYRY ENERGY (OXFORD) LTD,4019182,855.00
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,HAWKSMERE LTD T/A RTPI CONFERENCES,4019184,2120.25
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,HAWKSMERE LTD T/A RTPI CONFERENCES,4019184,2072.80
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Local IT Consultancy,Corporate and Professional Services,HAYS PLC,4019185,2828.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Local IT Consultancy,Corporate and Professional Services,HAYS PLC,4019186,2828.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4019191,7350.54
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Shared Services,Corporate and Professional Services,DEFRA,4019192,64500.00
Department for Energy and Climate Change,Department for Energy and Climate Change,08-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,MCCLURE NAISMITH,4019195,21548.37
Department for Energy and Climate Change,Department for Energy and Climate Change,08-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4019196,14931.33
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Contributions (Programme),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",NL AGENCY,4019199,24944.00
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Technical Advice,Energy Markets & Infrastructure - DECC Commercial Team,NATURAL ENVIRONMENT RESEARCH COUNCIL,4019202,15160.33
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Local IT Consultancy,Corporate and Professional Services,FUJITSU SERVICES LTD,4019205,20166.86
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Computer Equipment (Programme),Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4019206,2595.99
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Computer Equipment (Programme),Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4019207,714.31
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate and Professional Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4019209,2880.98
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),International Energy & Climate Change - International Climate Change Negotiations,BROOK STREET (UK) LTD,4019210,859.40
Department for Energy and Climate Change,Department for Energy and Climate Change,08-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,MARINE SCOTLAND,4019218,107195.26
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Maintenance of IT Equipment (Programme),Energy Markets & Infrastructure - Security and resilience,MET OFFICE,4019219,1226112.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate and Professional Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4019220,3525.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Technical Support,Science & Innovation Group - Science & Innovation Group,ENVIROS CONSULTING LTD,4019222,10474.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4019223,6420.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4019224,49000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4019226,9826.50
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,REDPOINT ENERGY LTD,4019229,49150.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Energy Strategy and Futures,REDPOINT ENERGY LTD,4019230,56000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019231,162669.24
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019232,171330.49
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate and Professional Services,PARITY RESOURCES LTD,4019233,21683.16
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate and Professional Services,PARITY RESOURCES LTD,4019234,6063.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Other Training Costs,Energy Markets & Infrastructure - Energy Strategy and Futures,THOMAS TELFORD LTD,4019235,3393.50
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BRE,4019236,8492.54
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4019237,10034.50
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Contract Management,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4019237,3525.00
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Corporate Management Consultancy,National Climate Change & Consumer Support - Communications,COI COMMUNICATIONS,4019237,7360.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Contract Management,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY ENVIRONMENT,4019238,15601.65
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,HAYS PLC,4019239,847.21
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4019240,1195.76
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Salaries - Casuals (Programme),Energy Markets & Infrastructure - DECC Commercial Team,HAYS OFFICE SUPPORT,4019241,742.54
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Contributions (Programme),Science & Innovation Group - Science & Innovation Group,WORLD METEOROLOGICAL ORGANIZATION,4019242,120650.00
Department for Energy and Climate Change,Department for Energy and Climate Change,09-Nov-2010 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019246,43492.66
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Furniture,Corporate and Professional Services,SENATOR INTERNATIONAL LTD,4019248,728.12
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Furniture,Corporate and Professional Services,SENATOR INTERNATIONAL LTD,4019250,512.82
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,COLLABRO,4019255,16953.00
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4019258,12220.00
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",ADECCO UK LTD,4019259,565.50
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,ADECCO UK LTD,4019260,615.43
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,ADECCO UK LTD,4019261,876.41
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,ADECCO UK LTD,4019262,739.18
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Taxis,DECC Private Office Group - DECC Private Office Group,DIAL A CAB,4019265,1146.95
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Application Support Service,National Climate Change & Consumer Support - Communications,PARITY RESOURCES LTD,4019266,736.00
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,DELOITTE LLP,4019268,5431.42
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,DELOITTE LLP,4019269,9877.70
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,ICT Maintenance & Upkeep,National Climate Change & Consumer Support - National Climate Change,AMTEC Consulting plc,4019272,34875.91
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4019273,552.14
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4019274,806.99
Department for Energy and Climate Change,Department for Energy and Climate Change,30-Nov-2010 ,Salaries - Permanent (Programme),Energy Markets & Infrastructure - Security and resilience,FOREIGN AND COMMONWEALTH OFFICE (FCO),4019275,1068.21
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Hire of Agency Staff (Professional/Management),Corporate and Professional Services,ADECCO UK LTD,4019276,627.12
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Hospitality - UK,DECC Private Office Group - DECC Private Office Group,FOREIGN AND COMMONWEALTH OFFICE (FCO),4019278,564.00
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Cash Expenditure during the Year - COPD,Energy Markets & Infrastructure - Energy Development Unit,ATOS ORIGIN IT SERVICES UK LTD,4019279,33057.47
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019281,4323.00
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,INBUILT LTD,4019282,3156.00
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Consultancy Advice Provided From Third Parties,Energy Markets & Infrastructure - Nuclear Unit and Office of Nuclear Development,OFFICE OF GOVERNMENT COMMERCE (OGC),4019283,7000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Secondees (not paid directly),Energy Markets & Infrastructure - Energy Strategy and Futures,DELOITTE LLP,4019284,15555.54
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Other IT Consultancy,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4019286,49723.29
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,PARITY RESOURCES LTD,4019287,51315.00
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Estates Consultancy,Corporate and Professional Services,MILLER & YOUNG UK LTD T/A MYFM,4019288,6125.00
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,External Training,Energy Markets & Infrastructure - Energy Development Unit,TAYLOR BENNETT PARTNERS LLP,4019291,965.00
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Publications,DECC Private Office Group - DECC Private Office Group,DOD'S PARLIAMENTARY COMMUNICATIONS LTD (WESTMINSTER EXPLAINED),4019293,590.00
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4019294,14043.48
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,IC CONSULTANTS LTD,4019295,7874.52
Department for Energy and Climate Change,Department for Energy and Climate Change,10-Nov-2010 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4019301,2176.25
Department for Energy and Climate Change,Department for Energy and Climate Change,18-Nov-2010 ,Technical Advice,National Climate Change & Consumer Support - National Climate Change,AEA TECHNOLOGY plc,4019304,30635.00
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019305,693.58
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019307,545.91
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019309,596.23
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019312,576.88
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Publications,Corporate and Professional Services,EBSCO INFORMATION SERVICES,4019313,3331.32
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019315,569.13
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4019316,61897.60
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate and Professional Services,OFFICE ANGELS LTD,4019318,803.61
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4019321,32000.00
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019322,596.23
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019323,607.85
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019325,627.20
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Press Cutting Services,National Climate Change & Consumer Support - Communications,PRECISE MEDIA MONITORING LTD,4019327,4241.34
Department for Energy and Climate Change,Department for Energy and Climate Change,15-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4019328,68993.59
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY plc,4019329,169385.00
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019330,72063.58
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Capital Grants to the Private Sector - Asset Creation,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",BUILDING RESEARCH ESTABLISHMENT LTD (BRE),4019331,104710.13
Department for Energy and Climate Change,Department for Energy and Climate Change,12-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019332,693.58
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4019335,976.39
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4019336,945.23
Department for Energy and Climate Change,Department for Energy and Climate Change,16-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,ADECCO UK LTD,4019338,818.25
Department for Energy and Climate Change,Department for Energy and Climate Change,11-Nov-2010 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4019339,573.00
