Table 4.1: Energy consumption,,,,,
,,,,,
Scope 1 Emissions (tonnes),,Scope 2 Emissions (tonnes),,Scope 3 Emissions (tonnes),
648,,"7,832",,"1,002",
,,,,,
Energy type,Consumption (kWh),,CO2 emissions (tonnes),,"Expenditure (£,000)"
Electricity,"13,657,633",,"7,165",,"1,286"
Gas,"3,529,905",,648,,128
Whitehall District,"2,749,556",,667,,638
Heating System (WDHS),,,,,
TOTAL,"19,937,093",,"8,480",,"2,052"
