Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10161642,128.17,Inbound telephone handling: IVR/speech recognition,SL9 0GA,Large,118517
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10161642,25.90,Electronic (e-mail/SMS) response fulfilment,SL9 0GA,Large,118517
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10162279,23211.51,Inbound telephone handling: dedicated,PO1 2RX,Large,118485
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10162279,7325.00,Response handling account/systems mgt fees,PO1 2RX,Large,118485
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,The Listening Company Ltd,10162279,1688.61,Inbound e-mail/webform handling,PO1 2RX,Large,118485
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10162279,400.00,Database account mgt/maintenance fees,PO1 2RX,Large,118485
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10162279,118.51,Inbound telephone handling: bureau,PO1 2RX,Large,118485
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10162279,58.24,Outbound telephone,PO1 2RX,Large,118485
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,The Listening Company Ltd,10162279,19.21,Retention outbound phone,PO1 2RX,Large,118485
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10163651,17315.28,Response handling account/systems mgt fees,SL9 0GA,Large,118524
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10163651,14423.98,Inbound telephone handling: dedicated,SL9 0GA,Large,118524
Cabinet Office,Central Office of Information,22/11/2011,Direct Marketing,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10163651,950.00,DRM website/microsite maintenance/update,SL9 0GA,Large,118524
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10163651,127.12,Inbound telephone handling: IVR/speech recognition,SL9 0GA,Large,118524
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Direct and Relationship Marketing,Callcredit Marketing Solutions Limited,10163651,30.80,Electronic (e-mail/SMS) response fulfilment,SL9 0GA,Large,118524
Cabinet Office,Central Office of Information,22/11/2011,Campaigns,Research,Ipsos MORI,10164393,37280.00,Research Company Costs,SE1 1FY,SME,116338
