Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164241,1742.56,Online Buying Fee,WC1X 8RX,SME,116638
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10164241,21.40,Online ASBOF,WC1X 8RX,SME,116638
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164242,27429.99,Display,WC1X 8RX,SME,113994
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164243,25191.01,Display,WC1X 8RX,SME,116636
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164243,2050.84,Online Buying Fee,WC1X 8RX,SME,116636
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164243,892.78,Adserving,WC1X 8RX,SME,116636
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10164243,25.19,Online ASBOF,WC1X 8RX,SME,116636
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164244,103096.00,Display,WC1X 8RX,SME,116602
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164244,7986.11,Online Buying Fee,WC1X 8RX,SME,116602
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10164244,98.10,Online ASBOF,WC1X 8RX,SME,116602
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164247,60955.43,Display,WC1X 8RX,SME,116781
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164247,4788.06,Online Buying Fee,WC1X 8RX,SME,116781
Cabinet Office,Central Office of Information,08/11/2011,Campaigns (Non Vatable),Digital Marketing,M4C,10164247,58.81,Online ASBOF,WC1X 8RX,SME,116781
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164254,60536.40,Display,WC1X 8RX,SME,115868
Cabinet Office,Central Office of Information,08/11/2011,Media Fees,Digital Marketing,M4C,10164254,4856.96,Online Buying Fee,WC1X 8RX,SME,115868
Cabinet Office,Central Office of Information,08/11/2011,Campaigns,Digital Marketing,M4C,10164254,2664.65,Adserving,WC1X 8RX,SME,115868
