"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"KS2S","% of pupils achieving Key Stage 2 Level 4+ Science","86.00 %","Percentage","2010/2011","2010-04-01","2011-03-31","Annual"
"KS2S","% of pupils achieving Key Stage 2 Level 4+ Science","86.00 %","Percentage","2011/2012","2011-04-01","2012-03-31","Annual"
"KS2S","% of pupils achieving Key Stage 2 Level 4+ Science","89.00 %","Percentage","2012/2013","2012-04-01","2013-03-31","Annual"
"KS2S","% of pupils achieving Key Stage 2 Level 4+ Science","90.00 %","Percentage","2013/2014","2013-04-01","2014-03-31","Annual"
"KS2S","% of pupils achieving Key Stage 2 Level 4+ Science","90.00 %","Percentage","2014/2015","2014-04-01","2015-03-31","Annual"
