OrganisationNameLabel,OrganisationURI,EffectiveDate,PaymentDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,NetAmount,IrrecoverableVAT,PurposeOfExpenditure,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/04/2015,16/04/2015,Development Plans,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Gatestravel,34.8,0,Train tickets for RTPI training in Manchester (ESC),Public Transport,360000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/04/2015,23/04/2015,Development Strategy,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Oxford Brookes University Online Shop,200,0,Conference at Oxford Brookes University 1-2/06/2015 (LW),Training and Conferences,261500
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/04/2015,29/04/2015,Development Plans,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Gatestravel,29.3,0,Train tickets for Conf at Oxford Brookes University 1-2/06/2015,Public Transport,360000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/04/2015,18/04/2015,Homelessness,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,National Express,76,0,Coach Fare to London,Public Transport,360000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/04/2015,20/04/2015,Kendal Town Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Amazon,45.83,0,Safety Boots,Clothing,140000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/04/2015,24/04/2015,Cemeteries Office,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Trainline,76.4,0,Train Travel Training Course for EP,Training and Conferences,261500
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/04/2015,31/03/2015,Coronation Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Viking,48.49,0,Office Foot Rest,Stationery sundries,341100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/04/2015,11/04/2015,Coronation Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Martins,77.74,0,Evening Mail/Gazette,Stationery,340000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/04/2015,14/04/2015,Coronation Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Co-operative,11.66,0,Milk Biscuits,Catering,110000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/04/2015,15/04/2015,Coronation Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,CPC,54.96,0,XLR cables,Consumables,271100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/04/2015,22/04/2015,Coronation Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Bargain Booze,4.29,0,Orange Juice/Milk,Catering,110000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,31/04/2015,24/04/2015,Coronation Hall,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,Co-operative,6.99,0,Tea/Milk,Catering,110000
