"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"OPC00A","One Planet Council - Energy - Total Cost (£)","3694403.97 £","Financial","2014/2015","2014-04-01","2015-03-31","Annual"
"OPC00A","One Planet Council - Energy - Total Cost (£)","NC","Financial","2015/2016","2015-04-01","2016-03-31","Annual"
