"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","The British Library","Business & Research","34","A","35082","44500","Senior Communications Manager","5.80","Communications"
"Department for Culture, Media and Sport","The British Library","Business & Research","34","B","28030","35554","Communications Manager","4.00","Communications"
"Department for Culture, Media and Sport","The British Library","Business & Research","34","C","22507","28549","Communications Manager","3.00","Communications"
"Department for Culture, Media and Sport","The British Library","Public Engagement & Learning","35","SB4","43691","55420","Senior Communications Manager","1.00","Communications"
"Department for Culture, Media and Sport","The British Library","Public Engagement & Learning","35","A","35082","44500","Senior Communications Manager","4.40","Communications"
"Department for Culture, Media and Sport","The British Library","Public Engagement & Learning","35","B","28030","35554","Communications Manager","5.00","Communications"
"Department for Culture, Media and Sport","The British Library","Public Engagement & Learning","35","C","22507","28549","Communications Manager","4.00","Communications"
"Department for Culture, Media and Sport","The British Library","Public Engagement & Learning","35","D","18947","22810","Communications Support Officer","2.00","Communications"
"Department for Culture, Media and Sport","The British Library","Public Engagement & Learning","36","SB4","43691","55420","Senior Communications Manager","1.00","Communications"
"Department for Culture, Media and Sport","The British Library","Sales & Marketing","36","A","35082","44500","Senior Communications Manager","4.00","Communications"
"Department for Culture, Media and Sport","The British Library","Sales & Marketing","36","B","28030","35554","Communications Manager","1.00","Communications"
"Department for Culture, Media and Sport","The British Library","Sales & Marketing","36","C","22507","28549","Communications Manager","3.00","Communications"
"Department for Culture, Media and Sport","The British Library","Sales & Marketing","36","D","18947","22810","Operations Support Officer","7.20","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Communications","37","SB4","43691","55420","Senior Communications Manager","1.00","Communications"
"Department for Culture, Media and Sport","The British Library","Communications","37","A","35082","44500","Senior Communications Manager","1.80","Communications"
"Department for Culture, Media and Sport","The British Library","Communications","37","B","28030","35554","Communications Manager","3.00","Communications"
"Department for Culture, Media and Sport","The British Library","Communications","37","D","18947","22810","Communications Support Officer","1.00","Communications"
"Department for Culture, Media and Sport","The British Library","Development Office","38","SB4","43691","55420","Senior Communications Manager","2.00","Communications"
"Department for Culture, Media and Sport","The British Library","Development Office","38","A","35082","44500","Senior Communications Manager","2.00","Communications"
"Department for Culture, Media and Sport","The British Library","Development Office","38","B","28030","35554","Communications Manager","2.00","Communications"
"Department for Culture, Media and Sport","The British Library","Development Office","38","C","22507","28549","Communications Manager","1.00","Communications"
"Department for Culture, Media and Sport","The British Library","Development Office","38","D","18947","22810","Communications Support Officer","1.00","Communications"
"Department for Culture, Media and Sport","The British Library","Organisational Development","39","A","35082","44500","Senior HR Manager","1.00","Human Resources"
"Department for Culture, Media and Sport","The British Library","Organisational Development","39","B","28030","35554","HR Officer","1.60","Human Resources"
"Department for Culture, Media and Sport","The British Library","Organisational Development","39","D","18947","22810","HR Support Officer","0.80","Human Resources"
"Department for Culture, Media and Sport","The British Library","Integrated Risk Management","40","SB4","43691","55420","Senior Security Manager","2.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Integrated Risk Management","40","A","35082","44500","Senior Security Manager","4.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Integrated Risk Management","40","B","28030","35554","Security Manager","2.80","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Integrated Risk Management","40","C","22507","28549","Security Guard","9.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Integrated Risk Management","40","D","18947","22810","Security Guard","67.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Integrated Risk Management","40","E","16227","18916","Security Support Officer","2.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Human Resources","41","SB4","43691","55420","Senior HR Manager","4.00","Human Resources"
"Department for Culture, Media and Sport","The British Library","Human Resources","41","A","35082","44500","Senior HR Manager","0.80","Human Resources"
"Department for Culture, Media and Sport","The British Library","Human Resources","41","B","28030","35554","HR Officer","5.40","Human Resources"
"Department for Culture, Media and Sport","The British Library","Human Resources","41","C","22507","28549","HR Officer","2.00","Human Resources"
"Department for Culture, Media and Sport","The British Library","Human Resources","41","D","18947","22810","HR Support Officer","4.00","Human Resources"
"Department for Culture, Media and Sport","The British Library","Collection Acquisition & Description","43","SB4","43691","55420","Senior Operational Manager","6.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Collection Acquisition & Description","43","A","35082","44500","Senior Operational Manager","7.80","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Collection Acquisition & Description","43","B","28030","35554","Operations Officer","31.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Collection Acquisition & Description","43","C","22507","28549","Operations Officer","103.00","Operational Delivery"
"Department for Culture, Media and Sport","The British Library","Collection Acquisition & Description","43","D","18947","22810","Operations Support Officer","122.00","Operational Delivery"
