post_date,Category,Spend,,
09/04/13,Travel/Airlines,3591.70,,
10/04/13,Computers/Peripherals/Software,1392.00,,
10/04/13,Diy & Household Stores,889.20,,
10/04/13,Electrical Parts/Equipment,571.43,,
10/04/13,Electrical Parts/Equipment,1235.45,,
10/04/13,Furniture/Equip Stores,1390.76,,
10/04/13,Furniture/Equip Stores,724.80,,
10/04/13,Hotels,569.92,,
10/04/13,Hotels,1422.93,,
10/04/13,Lumber/Build. Supply Stores,1436.52,,
10/04/13,Stationery Stores,1178.88,,
10/04/13,Stationery Stores,858.24,,
10/04/13,Stationery Stores,827.52,,
10/04/13,Travel/Airlines,3014.05,,
10/04/13,Travel/Airlines,-2777.29,,
10/04/13,Travel/Airlines,533.71,,
10/04/13,Travel/Airlines,1790.83,,
10/04/13,Travel/Airlines,2278.85,,
10/04/13,Travel/Airlines,2278.85,,
10/04/13,Travel/Airlines,2278.85,,
10/04/13,Travel/Airlines,2278.85,,
10/04/13,Travel/Airlines,2554.25,,
11/04/13,Architectural/Eng/Survey,564.00,,
11/04/13,Architectural/Eng/Survey,648.00,,
11/04/13,Architectural/Eng/Survey,717.60,,
11/04/13,Architectural/Eng/Survey,804.00,,
11/04/13,Architectural/Eng/Survey,825.60,,
11/04/13,Architectural/Eng/Survey,1074.00,,
11/04/13,Computers/Peripherals/Software,558.20,,
11/04/13,Electrical Parts/Equipment,926.98,,
11/04/13,Electrical Parts/Equipment,1078.80,,
11/04/13,Electrical Parts/Equipment,1026.40,,
11/04/13,Electrical Parts/Equipment,1400.00,,
11/04/13,Electrical Parts/Equipment,554.94,,
11/04/13,Furniture/Equip Stores,1490.53,,
11/04/13,Hardware Stores,1469.34,,
11/04/13,Misc Publishing & Printing,676.97,,
11/04/13,Training,804.00,,
11/04/13,Travel/Airlines,798.15,,
11/04/13,Travel/Airlines,2368.80,,
11/04/13,Travel/Airlines,2773.20,,
11/04/13,Travel/Airlines,1848.80,,
11/04/13,Travel/Airlines,725.53,,
11/04/13,Travel/Airlines,901.08,,
11/04/13,Travel/Airlines,768.41,,
11/04/13,Travel/Airlines,503.05,,
11/04/13,Travel/Airlines,503.05,,
11/04/13,Travel/Airlines,556.88,,
11/04/13,Travel/Airlines,661.38,,
11/04/13,Travel/Airlines,517.46,,
11/04/13,Travel/Airlines,2377.05,,
12/04/13,Computers/Peripherals/Software,1344.72,,
12/04/13,Diy & Household Stores,518.41,,
12/04/13,Hardware Stores,1044.11,,
12/04/13,Hotels,960.45,,
12/04/13,Hotels,953.61,,
12/04/13,Lumber/Build. Supply Stores,1499.00,,
12/04/13,Stationery Stores,687.27,,
12/04/13,Telecomunications Services for Vodafone transactions,687.67,,
