Minister,Date(s) of trip,Destination,Purpose of trip,No.32 (The Royal) Squadron'  or 'other RAF' or 'Charter' or 'Eurostar',"Number of officials accompanying Ministers, where non-scheduled travel is used","Total cost including travel, and accommodation of Minister only"
"Secretary of State for Work and Pensions, Rt Hon Iain Duncan Smith MP ",Nil Return,,,,,
"Minister of State (Minister for Employment), Rt Hon Chris Grayling MP",2-3 May,Paris,To attend Organisation for Economic Co-operation and Development (OECD) meeting,Eurostar,,£438.00
"Minister of State (Minister for Employment), Rt Hon Chris Grayling MP",16-17 June,Luxembourg,"To attend Employment, Social Policy, Health and Consumer Affairs Council (EPSCO) meeting",,,£393.00
"Minister of State (Minister for Pensions), Steve Webb MP",Nil Return,,,,,
"Parliamentary Under-Secretary of State (Minister for Disabled People), Maria Miller MP",05-Apr,"Oslo, Norway",To meet Ministers and to see Norwegian child poverty and disability programmes.,,,£432.80
"Parliamentary Under-Secretary of State (Minister for Welfare Reform), Lord Freud",Nil Return,,,,,
