Date,Supplier,Amount
05/08/2014,KALAMAZOO SECURE LTD,£731.11
06/08/2014,CIVIL SERVICE COLLEGE,£660.00
11/08/2014,CIVIL SERVICE COLLEGE,£594.00
11/08/2014,CAPITA,£600.00
12/08/2014,NHS CONFEDERATION,£575.04
12/08/2014,NHS CONFEDERATION,£575.04
13/08/2014,BELBIN ASSOCIATES,£900.00
28/08/2014,THE HOME OFFICE,£705.41
28/08/2014,DEPARTMENT OF HEALTH,£999.84
29/08/2014,DEPARTMENT OF HEALTH,£730.49
