Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Broilers,Conditions,Abnormal Colour/Fevered,2018-01,England,213542,75144097,49,0.284
Broilers,Conditions,Abnormal Colour/Fevered,2018-02,England,198956,65714136,50,0.303
Broilers,Conditions,Abnormal Colour/Fevered,2018-03,England,210385,71604873,49,0.294
Broilers,Conditions,Abnormal Colour/Fevered,2018-01,Wales,16700,6258081,4,0.267
Broilers,Conditions,Abnormal Colour/Fevered,2018-02,Wales,13304,5578199,4,0.238
Broilers,Conditions,Abnormal Colour/Fevered,2018-03,Wales,15381,6379426,3,0.241
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2018-01,England,37341,75144097,49,0.05
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2018-02,England,44345,65714136,50,0.067
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2018-03,England,46462,71604873,49,0.065
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2018-01,Wales,277,6258081,4,0.004
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2018-02,Wales,289,5578199,4,0.005
Broilers,Conditions,Antemortem Rejects (Cull/Runts),2018-03,Wales,318,6379426,3,0.005
Broilers,Conditions,Ascites/Oedema,2018-01,England,300253,75144097,49,0.4
Broilers,Conditions,Ascites/Oedema,2018-02,England,259659,65714136,50,0.395
Broilers,Conditions,Ascites/Oedema,2018-03,England,291576,71604873,49,0.407
Broilers,Conditions,Ascites/Oedema,2018-01,Wales,53610,6258081,4,0.857
Broilers,Conditions,Ascites/Oedema,2018-02,Wales,39922,5578199,4,0.716
Broilers,Conditions,Ascites/Oedema,2018-03,Wales,44533,6379426,3,0.698
Broilers,Conditions,Bruising/Fractures,2018-01,England,24773,75144097,49,0.033
Broilers,Conditions,Bruising/Fractures,2018-02,England,20167,65714136,50,0.031
Broilers,Conditions,Bruising/Fractures,2018-03,England,20448,71604873,49,0.029
Broilers,Conditions,Bruising/Fractures,2018-01,Wales,6545,6258081,4,0.105
Broilers,Conditions,Bruising/Fractures,2018-02,Wales,3367,5578199,4,0.06
Broilers,Conditions,Bruising/Fractures,2018-03,Wales,3984,6379426,3,0.062
Broilers,Conditions,Cellulitis,2018-01,England,160296,75144097,49,0.213
Broilers,Conditions,Cellulitis,2018-02,England,153683,65714136,50,0.234
Broilers,Conditions,Cellulitis,2018-03,England,186709,71604873,49,0.261
Broilers,Conditions,Cellulitis,2018-01,Wales,9596,6258081,4,0.153
Broilers,Conditions,Cellulitis,2018-02,Wales,9749,5578199,4,0.175
Broilers,Conditions,Cellulitis,2018-03,Wales,12113,6379426,3,0.19
Broilers,Conditions,Contamination,2018-01,England,155451,75144097,49,0.207
Broilers,Conditions,Contamination,2018-02,England,130895,65714136,50,0.199
Broilers,Conditions,Contamination,2018-03,England,135652,71604873,49,0.189
Broilers,Conditions,Contamination,2018-01,Wales,5110,6258081,4,0.082
Broilers,Conditions,Contamination,2018-02,Wales,4184,5578199,4,0.075
Broilers,Conditions,Contamination,2018-03,Wales,3838,6379426,3,0.06
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-01,England,86359,75144097,49,0.115
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-02,England,90070,65714136,50,0.137
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-03,England,125174,71604873,49,0.175
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-01,Wales,7687,6258081,4,0.123
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-02,Wales,7073,5578199,4,0.127
Broilers,Conditions,Dead on Arrival/Death in the Lairage (DOA),2018-03,Wales,8569,6379426,3,0.134
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2018-01,England,26429,75144097,49,0.035
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2018-02,England,19925,65714136,50,0.03
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2018-03,England,21593,71604873,49,0.03
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2018-01,Wales,3213,6258081,4,0.051
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2018-02,Wales,2868,5578199,4,0.051
Broilers,Conditions,Death other than slaughter (uncut/badly bled),2018-03,Wales,2864,6379426,3,0.045
Broilers,Conditions,Dermatitis,2018-01,England,15391,75144097,49,0.02
Broilers,Conditions,Dermatitis,2018-02,England,10606,65714136,50,0.016
Broilers,Conditions,Dermatitis,2018-03,England,11914,71604873,49,0.017
Broilers,Conditions,Dermatitis,2018-01,Wales,1724,6258081,4,0.028
Broilers,Conditions,Dermatitis,2018-02,Wales,1875,5578199,4,0.034
Broilers,Conditions,Dermatitis,2018-03,Wales,1983,6379426,3,0.031
Broilers,Conditions,Emaciation,2018-01,England,20831,75144097,49,0.028
Broilers,Conditions,Emaciation,2018-02,England,18356,65714136,50,0.028
Broilers,Conditions,Emaciation,2018-03,England,19334,71604873,49,0.027
Broilers,Conditions,Emaciation,2018-01,Wales,420,6258081,4,0.007
Broilers,Conditions,Emaciation,2018-02,Wales,380,5578199,4,0.007
Broilers,Conditions,Emaciation,2018-03,Wales,189,6379426,3,0.003
Broilers,Conditions,Hepatitis,2018-01,England,120977,75144097,49,0.161
Broilers,Conditions,Hepatitis,2018-02,England,114573,65714136,50,0.174
Broilers,Conditions,Hepatitis,2018-03,England,109434,71604873,49,0.153
Broilers,Conditions,Hepatitis,2018-01,Wales,7339,6258081,4,0.117
Broilers,Conditions,Hepatitis,2018-02,Wales,10018,5578199,4,0.18
Broilers,Conditions,Hepatitis,2018-03,Wales,9109,6379426,3,0.143
Broilers,Conditions,Joint Lesions,2018-01,England,28554,75144097,49,0.038
Broilers,Conditions,Joint Lesions,2018-02,England,25830,65714136,50,0.039
Broilers,Conditions,Joint Lesions,2018-03,England,33616,71604873,49,0.047
Broilers,Conditions,Joint Lesions,2018-01,Wales,5634,6258081,4,0.09
Broilers,Conditions,Joint Lesions,2018-02,Wales,2252,5578199,4,0.04
Broilers,Conditions,Joint Lesions,2018-03,Wales,2760,6379426,3,0.043
Broilers,Conditions,Machine Damage,2018-01,England,142820,75144097,49,0.19
Broilers,Conditions,Machine Damage,2018-02,England,135327,65714136,50,0.206
Broilers,Conditions,Machine Damage,2018-03,England,129459,71604873,49,0.181
Broilers,Conditions,Machine Damage,2018-01,Wales,2946,6258081,4,0.047
Broilers,Conditions,Machine Damage,2018-02,Wales,2950,5578199,4,0.053
Broilers,Conditions,Machine Damage,2018-03,Wales,2736,6379426,3,0.043
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2018-01,England,34812,75144097,49,0.046
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2018-02,England,30232,65714136,50,0.046
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2018-03,England,42633,71604873,49,0.06
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2018-01,Wales,4639,6258081,4,0.074
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2018-02,Wales,6348,5578199,4,0.114
Broilers,Conditions,"Other Factory (poor plucking, product requirement)",2018-03,Wales,5225,6379426,3,0.082
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-01,England,42419,75144097,49,0.056
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-02,England,33564,65714136,50,0.051
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-03,England,42809,71604873,49,0.06
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-01,Wales,3628,6258081,4,0.058
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-02,Wales,2058,5578199,4,0.037
Broilers,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-03,Wales,2501,6379426,3,0.039
Broilers,Conditions,Overscald,2018-01,England,49070,75144097,49,0.065
Broilers,Conditions,Overscald,2018-02,England,38219,65714136,50,0.058
Broilers,Conditions,Overscald,2018-03,England,49637,71604873,49,0.069
Broilers,Conditions,Overscald,2018-01,Wales,11599,6258081,4,0.185
Broilers,Conditions,Overscald,2018-02,Wales,5302,5578199,4,0.095
Broilers,Conditions,Overscald,2018-03,Wales,8442,6379426,3,0.132
Broilers,Conditions,Pericarditis,2018-01,England,59899,75144097,49,0.08
Broilers,Conditions,Pericarditis,2018-02,England,56722,65714136,50,0.086
Broilers,Conditions,Pericarditis,2018-03,England,61537,71604873,49,0.086
Broilers,Conditions,Pericarditis,2018-01,Wales,11287,6258081,4,0.18
Broilers,Conditions,Pericarditis,2018-02,Wales,11144,5578199,4,0.2
Broilers,Conditions,Pericarditis,2018-03,Wales,9535,6379426,3,0.149
Broilers,Conditions,Perihepatitis/Peritonitis,2018-01,England,75670,75144097,49,0.101
Broilers,Conditions,Perihepatitis/Peritonitis,2018-02,England,69868,65714136,50,0.106
Broilers,Conditions,Perihepatitis/Peritonitis,2018-03,England,70181,71604873,49,0.098
Broilers,Conditions,Perihepatitis/Peritonitis,2018-01,Wales,13719,6258081,4,0.219
Broilers,Conditions,Perihepatitis/Peritonitis,2018-02,Wales,10175,5578199,4,0.182
Broilers,Conditions,Perihepatitis/Peritonitis,2018-03,Wales,12727,6379426,3,0.2
Broilers,Conditions,Respiratory Disease (air sacculitis),2018-01,England,4120,75144097,49,0.005
Broilers,Conditions,Respiratory Disease (air sacculitis),2018-02,England,3323,65714136,50,0.005
Broilers,Conditions,Respiratory Disease (air sacculitis),2018-03,England,1157,71604873,49,0.002
Broilers,Conditions,Respiratory Disease (air sacculitis),2018-01,Wales,76,6258081,4,0.001
Broilers,Conditions,Respiratory Disease (air sacculitis),2018-02,Wales,110,5578199,4,0.002
Broilers,Conditions,Respiratory Disease (air sacculitis),2018-03,Wales,57,6379426,3,0.001
Broilers,Conditions,Salpingitis,2018-01,England,236,75144097,49,0
Broilers,Conditions,Salpingitis,2018-02,England,225,65714136,50,0
Broilers,Conditions,Salpingitis,2018-03,England,185,71604873,49,0
Broilers,Conditions,Salpingitis,2018-03,Wales,3,6379426,3,0
Broilers,Conditions,Tumours/Nodules,2018-01,England,11524,75144097,49,0.015
Broilers,Conditions,Tumours/Nodules,2018-02,England,10572,65714136,50,0.016
Broilers,Conditions,Tumours/Nodules,2018-03,England,12104,71604873,49,0.017
