Waste ,,,
Category,Arisings (tonnes),Percentage ,Disposal cost
,,of total arisings,
Landfill,17,2%,Not available
Recycled,410,60%,Not available
Energy from waste,261,38%,Not available
TOTAL,688,100%,Not available
