Census Ward 1992 code,Ward 1992 UK name,Local Government District 1992 UK code,DLA Total Recipients (2017),DLA Recipients Male Under 16 (2017),DLA Recipients Male 16-34 (2017),DLA Recipients Male 35-49 (2017),DLA Recipients Male 50-64 (2017),DLA Recipients Male 65+ (2017),DLA Recipients Female Under 16 (2017),DLA Recipients Female 16-34 (2017),DLA Recipients Female 35-49 (2017),DLA Recipients Female 50-64 (2017),DLA Recipients Female 65+ (2017)
95AA01,ALDERGROVE,ANTRIM,260,20,30,20,30,30,10,20,20,50,40
95AA02,BALLOO,ANTRIM,280,10,10,30,40,50,0,10,30,30,70
95AA03,BALLYCRAIGY,ANTRIM,290,20,30,20,40,30,10,20,20,50,60
95AA04,CLADY,ANTRIM,230,30,30,20,30,20,10,10,20,30,30
95AA05,CRANFIELD,ANTRIM,220,20,20,10,30,20,10,20,10,40,40
95AA06,CRUMLIN (ANTRIM),ANTRIM,520,70,50,30,60,60,20,40,50,80,70
95AA07,DRUMANAWAY,ANTRIM,190,20,10,20,20,20,10,10,20,40,30
95AA08,FARRANSHANE,ANTRIM,260,20,20,20,40,30,10,20,20,40,50
95AA09,FOUNTAIN HILL,ANTRIM,260,30,10,20,40,30,10,10,40,40,40
95AA10,GREYSTONE (ANTRIM),ANTRIM,260,20,20,20,30,40,10,10,20,40,50
95AA11,MASSEREENE,ANTRIM,480,30,40,50,50,60,20,20,50,80,90
95AA12,PARKGATE,ANTRIM,150,10,10,10,30,20,0,10,20,30,20
95AA13,RANDALSTOWN,ANTRIM,300,30,20,20,50,30,10,20,30,40,40
95AA14,SHILVODAN,ANTRIM,160,20,10,10,20,30,10,10,10,30,30
95AA15,SPRINGFARM,ANTRIM,460,50,30,50,60,40,20,20,50,80,70
95AA16,STEEPLE,ANTRIM,270,30,20,30,20,30,10,10,20,50,60
95AA17,STILES,ANTRIM,280,30,30,20,30,30,10,10,20,40,60
95AA18,TEMPLEPATRICK,ANTRIM,170,10,10,10,20,30,10,10,10,30,30
95AA19,TOOME,ANTRIM,290,20,20,20,50,30,10,20,30,50,40
95BB01,BALLYGOWAN,ARDS,270,40,20,10,30,30,10,20,10,50,40
95BB02,BALLYRAINEY,ARDS,300,20,20,20,50,40,10,10,30,50,50
95BB03,BALLYWALTER,ARDS,500,40,30,40,70,70,20,10,40,90,90
95BB04,BRADSHAWS BRAE,ARDS,280,10,20,20,40,50,10,10,20,40,70
95BB05,CARROWDORE,ARDS,330,30,20,20,50,60,10,20,20,60,50
