Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Minister for the Cabinet Office, Paymaster General, The Rt Hon Francis Maude MP",nil return,,,,,
"Minister of State, The Rt Hon Oliver Letwin MP",nil return,,,,,
"Parliamentary Secretary (Minister for Political and Constitutional Reform), Mark Harper MP",nil return,,,,,
"Parliamentary Secretary (Minister for Civil Society), Nick Hurd MP",nil return,,,,,
"Minister without Portfolio, The Rt Hon Baroness Warsi ",10-11 July 2010,"Srebenica, Bosnia",15th Anniversary of Srebenica massacre,Scheduled,,£415
,16-20 July 2010,"Islamabad,Pakistan",Met senior members of the Pakistani Government,Scheduled,,"£1,296"
