Minister,Date of Trip,Destination,Purpose,No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar',Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
Secretary of State,20-22 Jun 011,Rio de Janeiro - Brazil,Delegation accompanying DPM,,,"£2,087"
Minister for Sport & the Olympics,9-10 May 011,Geneva,"Internationl Forum on Sport, Peace & Development",,,£494
Minister for Sport & the Olympics,14-15 Jun 011,Lausanne,Illgal & irregular betting in sport - working group,,,£156
"Minister for Culture, Communications & Creative Industries",16-17 May 011,Cannes,Cannes International Film Festival,,,£391
"Minister for Culture, Communications & Creative Industries",26-27 May 011,Brussels,EU Telecon Council,Eurostar,,£179
"Minister for Culture, Communications & Creative Industries",28-29 Jun 011,Paris,OECD Ministerial Meeting,Eurostar,,£270
