Name of Official,Mode of travel,Date of Departure,Duration of stay,Destination,City of accommodation (if different to destination),Class of travel,Base Sales Including Tax,
SMITH/ANTHONY MR,RAIL,03/04/2013,2,,,SECOND CLASS RAIL       ,£224.00,
SMITH/ANTHONY MR,RAIL,03/04/2013,1,,,SECOND CLASS RAIL       ,£140.00,
TURNER/RACHEL MRS,AIR,06/04/2013,2,Doha,,ECONOMY                  ,£607.00,
MALIK/MOAZZAM MR,AIR,07/04/2013,2,Entebbe-Kampala,,BUSINESS                 ,"£4,034.00",
CAMERON/LINDY MS,RAIL,08/04/2013,2,,,SECOND CLASS RAIL       ,£199.00,
TURNER/RACHEL MRS,AIR,08/04/2013,2,Lon Heathrow,,ECONOMY                  ,£421.00,
SMITH/ANTHONY MR,AIR,09/04/2013,2,Doha,,ECONOMY                  ,"£2,253.00",
MALIK/MOAZZAM MR,AIR,13/04/2013,2,Lon Heathrow,,BUSINESS                 ,"£1,469.00",
TURNER/RACHEL MRS,AIR,15/04/2013,1,Dulles,,ECONOMY                  ,£468.00,
HUTCHEON/JOY MS,AIR,16/04/2013,4,Accra,,BUSINESS                 ,"£1,966.00",
TURNER/RACHEL MRS,AIR,16/04/2013,2,Lon Heathrow,,ECONOMY                  ,£922.00,
LOWCOCK/MARK MR,AIR,18/04/2013,6,Dulles,,ECONOMY                  ,"£2,239.00",
DITCHBURN/ELIZABETH MS,AIR,23/04/2013,1,Glasgow,,ECONOMY                  ,£228.00,
DITCHBURN/ELIZABETH MS,AIR,23/04/2013,1,Brussels,,ECONOMY                  ,£132.00,
MALIK/MOAZZAM MR,AIR,29/04/2013,5,Delhi,,BUSINESS                 ,"£1,915.00",
SMITH/ANTHONY MR,AIR,29/04/2013,2,Berlin Germa,,ECONOMY                  ,£564.00,
MOOREHEAD/SUSANNA MS,RAIL,02/05/2013,2,,,SECOND CLASS RAIL       ,£224.00,
CALVERT/RICHARD MR,AIR,06/05/2013,2,Helsinki,,ECONOMY                  ,£381.00,
MOOREHEAD/SUSANNA MS,RAIL,12/05/2013,1,,,SECOND CLASS RAIL       ,£202.00,
MOOREHEAD/SUSANNA MS,AIR,14/05/2013,1,Brussels,,ECONOMY                  ,£58.00,
SMITH/ANTHONY MR,AIR,14/05/2013,4,Moscow Domod,,ECONOMY                  ,£810.00,
SMITH/ANTHONY MR,AIR,14/05/2013,1,Moscow Domod,,ECONOMY                  ,£572.00,
SMITH/ANTHONY MR,AIR,14/05/2013,1,Moscow Domod,,PREMIUM ECONOMY          ,£531.00,
