Department Family                                 ,Entity                                            ,Date                   ,Expense Type                                      ,Expense Area                                      ,Supplier                                          ,Transaction Number                                ,Amount               ,VAT Registration Number                           
--------------------------------------------------,--------------------------------------------------,-----------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,---------------------,--------------------------------------------------
DCMS                                              ,NHM                                               ,2013-11-07 00:00:00.000,Agency Temporary Staff Costs                      ,VE Production Special Effects                     ,Spring Personnel                                  ,CADPINVSM0000011552                               ,             767.2200,                                                  
DCMS                                              ,NHM                                               ,2013-11-07 00:00:00.000,B/S - CAPEX IT Equipment > £5K                    ,DCS Finance                                       ,Eurobase People                                   ,CADPINVSM0000011558                               ,            1750.0000,                                                  
DCMS                                              ,NHM                                               ,2013-11-07 00:00:00.000,B/S - CAPEX IT Equipment > £5K                    ,DCS Finance                                       ,Eurobase People                                   ,CADPINVSM0000011558                               ,            2100.0000,                                                  
DCMS                                              ,NHM                                               ,2013-11-07 00:00:00.000,B/S - CAPEX IT Equipment > £5K                    ,DCS Finance                                       ,Systems Accountants Limited                       ,CADPINVSM0000011559                               ,            1725.0000,                                                  
DCMS                                              ,NHM                                               ,2013-11-07 00:00:00.000,B/S - CAPEX IT Equipment > £5K                    ,DCS Finance                                       ,Systems Accountants Limited                       ,CADPINVSM0000011559                               ,            2070.0000,                                                  
DCMS                                              ,NHM                                               ,2013-11-07 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Life Technologies Ltd(Invitrogen Div              ,CADPINVSM0000011550                               ,               0.0000,                                                  
DCMS                                              ,NHM                                               ,2013-11-07 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Life Technologies Ltd(Invitrogen Div              ,CADPINVSM0000011550                               ,               0.0600,                                                  
DCMS                                              ,NHM                                               ,2013-11-07 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Life Technologies Ltd(Invitrogen Div              ,CADPINVSM0000011550                               ,               2.0100,                                                  
DCMS                                              ,NHM                                               ,2013-11-07 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Life Technologies Ltd(Invitrogen Div              ,CADPINVSM0000011550                               ,              20.9000,                                                  
DCMS                                              ,NHM                                               ,2013-11-07 00:00:00.000,Lab Consumables                                   ,Sci Facilities Molecular                          ,Life Technologies Ltd(Invitrogen Div              ,CADPINVSM0000011550                               ,              24.5000,                                                  
