WeekBeginning,AveragePerDay
03/01/2016,235
10/01/2016,231
17/01/2016,233
24/01/2016,224
31/01/2016,224
07/02/2016,197
14/02/2016,191
21/02/2016,192
28/02/2016,218
06/03/2016,201
13/03/2016,188
20/03/2016,203
27/03/2016,184
03/04/2016,188
10/04/2016,214
17/04/2016,221
24/04/2016,216
01/05/2016,214
08/05/2016,197
15/05/2016,206
22/05/2016,218
29/05/2016,199
05/06/2016,176
12/06/2016,201
19/06/2016,196
26/06/2016,184
03/07/2016,174
10/07/2016,194
17/07/2016,188
24/07/2016,188
31/07/2016,184
07/08/2016,174
14/08/2016,179
21/08/2016,182
28/08/2016,181
04/09/2016,185
11/09/2016,164
18/09/2016,191
25/09/2016,189
02/10/2016,191
09/10/2016,194
16/10/2016,161
23/10/2016,172
30/10/2016,203
06/11/2016,175
13/11/2016,185
20/11/2016,189
04/12/2016,180
11/12/2016,176
18/12/2016,125
25/12/2016,31
