Reference Number,Date of Decision,Details,Decision,Officer Making Decision,Delegated,Reason for Decision,Alternative Options Considered,Other Background Documents
SNN/2011/0025,18/11/2011,The Nook and Pebble Stones Rampside Barrow-in-Furness,Approved,Development Services Manager,Yes,Towns Improvement Clauses Act 1847 Section 64,None,None
SNN/2011/0025,11/11/2011,Moving of Stoneybroke from Marsh Street onto The Headlands,Approved,Development Services Manager,Yes,Towns Improvement Clauses Act 1847 Section 64,None,None
SNN/2011/0023,01/11/2011,2 New Houses on Bath Street Mea Culpa and Mini Mea,Approved,Development Services Manager,Yes,Towns Improvement Clauses Act 1847 Section 64,None,None
SNN/2011/0022,07/11/2011,Confirmation of address at Misson Hall Michaelson ROad,Approved,Development Services Manager,Yes,Towns Improvement Clauses Act 1847 Section 64,None,None
