Department,Entity,Supplier Name,Payment Date,Transaction Number,Expense Area,Expense Type,Amount (Excluding VAT),
FCO,FCOS,SOFTWARE AG (UK) LIMITED,06-Jun-14,181662,Technology,IS Software,"89,333.42",
FCO,FCOS,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,10-Jun-14,184402,Technology,IS Hardware,"57,750.00",
FCO,FCOS,NEXOR,23-Jun-14,186115,Technology,IS Hardware,"54,120.00",
FCO,FCOS,CERTES COMPUTING LTD,04-Jun-14,186479,Security & Property,Contingent Labour,"25,987.50",
FCO,FCOS,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,10-Jun-14,186520,Technology,IS Hardware,"52,500.00",
FCO,FCOS,EUROPEAN ELECTRONIQUE LIMITED,06-Jun-14,186708,Technology,FCOS IT - Capital,"269,516.36",
FCO,FCOS,ATKINS LTD,09-Jun-14,186971,Security & Property,Professional Services,"39,990.14",
FCO,FCOS,DHL GLOBAL FORWARDING UK LTD,12-Jun-14,187136,Service and Logistics,Freight & Transport,"565,125.39",
FCO,FCOS,INTERSERVE FM LTD,11-Jun-14,187285,Corporate,FCOS Equipment - Capital,"135,936.07",
FCO,FCOS,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,19-Jun-14,187563,Security & Property,Contingent Labour,"43,558.40",
FCO,FCOS,HEWLETT PACKARD LTD,19-Jun-14,187998,Technology,IS Hardware Maintenance,"108,387.30",
FCO,FCOS,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,26-Jun-14,188461,Technology,Contingent Labour,"26,077.89",
FCO,FCOS,FIRST DATA COMMERCIAL SERVICES LIMITED T/A FIRST DATA,26-Jun-14,188510,Corporate,Licenses,"26,000.00",
