DExEU contracts over £10k,,,,,,,,
Financial year 16/17,,,,,,,,
,,,,,,,,
,,,,,,,,
DEPARTMENTAL FAMILY,ENTITY,START DATE,END DATE,EXPENSE TYPE,EXPENSE AREA,SUPPLIER,AMOUNT,DESCRIPTION 
DExEU,DExEU,10/01/2017,10/01/2019,ICT,Case Management System,iCasework Ltd,"£223,860",ICT
DExEU,DExEU,03/10/2016,30/09/2018,ICT,Intranet,Helpful Technology,"£37,890",ICT
DExEU,DExEU,10/01/2017,31/03/2017,Consultancy,Finance and HR systems consultancy,Caja,"£26,100",Professional Services
