Departmental Family,Entity,Date,Expense type,Expense area,Description,Supplier,Transaction Number,Amount
Department for Education,TEACHERS PENSION SCHEME,22/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002614,167605294.00
Department for Education,TEACHERS PENSION SCHEME,01/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002586,102126082.40
Department for Education,TEACHERS PENSION SCHEME,08/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002595,59347597.80
Department for Education,TEACHERS PENSION SCHEME,15/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002604,58151842.90
Department for Education,TEACHERS PENSION SCHEME,29/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002624,48118722.86
Department for Education,TEACHERS PENSION SCHEME,28/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002620,39379452.41
Department for Education,TEACHERS PENSION SCHEME,11/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002596,24416334.61
Department for Education,TEACHERS PENSION SCHEME,05/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002588,23641363.78
Department for Education,TEACHERS PENSION SCHEME,13/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002600,23071233.10
Department for Education,TEACHERS PENSION SCHEME,26/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002616,22823670.48
Department for Education,TEACHERS PENSION SCHEME,18/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002606,22798605.22
Department for Education,TEACHERS PENSION SCHEME,07/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002592,22221853.55
Department for Education,TEACHERS PENSION SCHEME,14/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002602,22068483.19
Department for Education,TEACHERS PENSION SCHEME,20/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002610,21319942.15
Department for Education,TEACHERS PENSION SCHEME,19/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002609,20951098.61
Department for Education,TEACHERS PENSION SCHEME,12/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002599,20668361.03
Department for Education,TEACHERS PENSION SCHEME,06/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002590,20577014.31
Department for Education,TEACHERS PENSION SCHEME,21/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002612,20248777.63
Department for Education,TEACHERS PENSION SCHEME,27/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 2,1002618,19908323.53
Department for Education,TEACHERS PENSION SCHEME,29/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 1,1002623,2133186.37
Department for Education,TEACHERS PENSION SCHEME,22/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 1,1002615,1710275.13
Department for Education,TEACHERS PENSION SCHEME,21/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 1,1002613,1418753.47
Department for Education,TEACHERS PENSION SCHEME,26/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 1,1002617,928075.82
Department for Education,TEACHERS PENSION SCHEME,28/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 1,1002621,891797.29
Department for Education,TEACHERS PENSION SCHEME,27/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 1,1002619,694628.66
Department for Education,TEACHERS PENSION SCHEME,12/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 1,1002598,430357.70
Department for Education,TEACHERS PENSION SCHEME,11/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 1,1002597,414410.75
Department for Education,TEACHERS PENSION SCHEME,20/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 1,1002611,370997.66
Department for Education,TEACHERS PENSION SCHEME,13/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 1,1002601,271380.47
Department for Education,TEACHERS PENSION SCHEME,05/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 1,1002589,200081.55
Department for Education,TEACHERS PENSION SCHEME,19/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 1,1002608,122458.31
Department for Education,TEACHERS PENSION SCHEME,08/05/2015,Funding to pay Teachers' Pensions,Finance and Commercial Group,Funding to pay Teachers' Pensions,TPS – Funding Account 1,1002594,76487.23
