Body Name,Service Code,Expenditure Category,Payment Date,Transaction No,Supplier,Net Amount
Barrow Borough Council,Street cleansing,Street cleansing,19-Mar-2014,200019543,Biffa Waste Services Ltd,"78,001.91"
Barrow Borough Council,Licensing,Professional fees,05-Mar-2014,200019321,Zoo and Wildlife Solutions Ltd,"3,811.90"
Barrow Borough Council,Abbey musical society,Recoverable charges,26-Mar-2014,200019687,Abbey Musical Society,"-1,374.47"
Barrow Borough Council,Forum 28,AquaFund Fees,26-Mar-2014,200019716,Advanced Demand Side Management Ltd,906.33
Barrow Borough Council,Parks and open spaces,Grounds maintenance,26-Mar-2014,200019639,Continental Landscapes Ltd,"3,943.45"
Barrow Borough Council,Current assets - payments in advance,Payment in advance - hra,19-Mar-2014,200019477,South Lakeland District Council,"4,131.68"
Barrow Borough Council,Information technology,Professional fees,26-Mar-2014,200019714,RandomStorm Ltd,"4,900.00"
Barrow Borough Council,Kennels,Electricity,26-Mar-2014,200019696,NPower,"1,399.43"
Barrow Borough Council,Major works maintenance - HRA,Consultancy fees,05-Mar-2014,200019315,Nigel Clarke Ltd,"3,142.31"
Barrow Borough Council,Photocopiers Holding A/C,Photocopier charges paid,05-Mar-2014,200019305,Ricoh UK Ltd,572.04
Barrow Borough Council,Allotments,Property rents,05-Mar-2014,200019304,Holker Estates Company Ltd,"1,705.00"
Barrow Borough Council,Barrow town hall,Gas,26-Mar-2014,200019623,British Gas Business,"2,518.73"
Barrow Borough Council,The markets,Electricity,26-Mar-2014,200019696,NPower,-797.50
Barrow Borough Council,Major works maintenance - HRA,Decant Costs,26-Mar-2014,200019644,Compass Construction Services Ltd,"19,937.99"
Barrow Borough Council,Rural Regeneration Coastal Protection,Professional fees,05-Mar-2014,200019377,Capita Symonds Ltd,"2,622.00"
Barrow Borough Council,Cavendish house - HRA,Electricity,05-Mar-2014,200019302,NPower,537.06
Barrow Borough Council,Disabled Facilities Grant,Grants,26-Mar-2014,200019580,Ocean Construction UK Ltd,"6,239.50"
Barrow Borough Council,Tenant demand maintenance - HRA,Central overheads,19-Mar-2014,200019553,Vinci Construction UK Ltd,"38,931.48"
Barrow Borough Council,Customer services,Customer services contract,05-Mar-2014,200019381,Liberata Uk Ltd,"10,948.56"
Barrow Borough Council,104 Abbey Road,Other bodies expenditure,12-Mar-2014,200019466,Creative Studios Cumbria Ltd,685.51
Barrow Borough Council,Occupational health,Professional fees,12-Mar-2014,200019427,Your Best Option,"2,664.97"
Barrow Borough Council,Major works maintenance - HRA,Adaptations,26-Mar-2014,200019703,Impey UK Ltd,525.53
Barrow Borough Council,James Freel Close Business Units,Incidental costs,05-Mar-2014,200019351,Geoffrey Hall,"1,954.80"
Barrow Borough Council,Cylical maintenance - HRA,Painting,26-Mar-2014,200019587,George Jones & Son (Cum) Ltd,"13,898.58"
Barrow Borough Council,HRA Estates,Professional fees,26-Mar-2014,200019694,Pearson & Johnson Solicitors,"1,432.00"
Barrow Borough Council,Crematorium,Other expenses,19-Mar-2014,200019560,Cameo Ltd,"25,462.08"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,26-Mar-2014,200019626,Edmundson Electrical Ltd,524.91
Barrow Borough Council,Capitalised Planned Maintenance,Heating,19-Mar-2014,200019475,AB Mitchell Developments,"10,372.73"
Barrow Borough Council,That'll Be The Day - 10/04/13,Professional fees,26-Mar-2014,200019622,Linney PA Systems,533.63
Barrow Borough Council,Homelessness,Accommodation - homeless bed & breakfast,26-Mar-2014,200019690,Redacted Information,"1,005.00"
Barrow Borough Council,Town Hall,Building and construction works,05-Mar-2014,200019313,KL Venning Slaters Ltd,"59,732.00"
Barrow Borough Council,Barrow town hall,Building cleaning,12-Mar-2014,200019382,Bulloughs Cleaning Serv Ltd,"3,230.47"
Barrow Borough Council,Development control,Professional fees,26-Mar-2014,200019707,UDREP,"1,362.00"
Barrow Borough Council,The park leisure centre,Planned Building repairs and maintenance,19-Mar-2014,200019503,Gilmour Fabrications,"1,180.00"
Barrow Borough Council,Public conveniences,Building cleaning,19-Mar-2014,200019498,Bulloughs Cleaning Serv Ltd,"2,010.81"
Barrow Borough Council,Cylical maintenance - HRA,Electrical testing,05-Mar-2014,200019335,Keith Wilson Elec Con Ltd,"1,521.94"
Barrow Borough Council,Current assets - payments in advance,Payment in advance - GF,26-Mar-2014,200019607,Capita Business Services Limited,"15,964.08"
Barrow Borough Council,Playground,Vehicles lease /rental,05-Mar-2014,200019333,Play Safe,695.00
Barrow Borough Council,The park leisure centre,Buildings repairs and maintenance,26-Mar-2014,200019581,Ward Contracting Ltd,"1,215.46"
Barrow Borough Council,Crime reduction,Domestic Violence,05-Mar-2014,200019299,Action for Children,"-1,492.14"
Barrow Borough Council,Borough Treasurer's,Professional fees,19-Mar-2014,200019482,Selima Software Ltd,932.70
Barrow Borough Council,Recycling,Recycling collection and processing,19-Mar-2014,200019543,Biffa Waste Services Ltd,"66,349.73"
Barrow Borough Council,Dock museum,Building cleaning,19-Mar-2014,200019564,Elior UK Ltd,"1,103.16"
Barrow Borough Council,Current assets - payments in advance,Payment in advance - GF,26-Mar-2014,200019592,Vodafone Ltd,"2,432.00"
Barrow Borough Council,The park leisure centre,Gas,26-Mar-2014,200019623,British Gas Business,"1,108.30"
Barrow Borough Council,Emlyn Hughes house,Electricity,26-Mar-2014,200019696,NPower,736.37
Barrow Borough Council,Town Hall,Professional fees,26-Mar-2014,200019652,Halcrow Group Ltd,"6,143.00"
Barrow Borough Council,Dock museum,Equipment purchase,26-Mar-2014,200019655,Park Cameras,"1,530.82"
Barrow Borough Council,Disabled Facilities Grant,Grants,05-Mar-2014,200019330,Ward Contracting Ltd,"3,280.55"
Barrow Borough Council,Forum 28,Electricity,19-Mar-2014,200019554,NPower,"4,397.36"
Barrow Borough Council,Craven house,Electricity,19-Mar-2014,200019554,NPower,"6,794.00"
Barrow Borough Council,Cylical maintenance - HRA,Consultancy fees,05-Mar-2014,200019331,Bob Pedley Safety Services,937.50
Barrow Borough Council,Barrow town hall,Building cleaning,12-Mar-2014,200019382,Bulloughs Cleaning Serv Ltd,"3,230.47"
Barrow Borough Council,U Dance Show,Admissions,19-Mar-2014,200019561,Active Cumbria,"2,650.00"
Barrow Borough Council,The markets,Electricity,26-Mar-2014,200019696,NPower,925.23
Barrow Borough Council,HRA administration,Professional fees,05-Mar-2014,200019353,HouseMark Ltd,"6,309.53"
Barrow Borough Council,Abbey musical society,Hire of halls,26-Mar-2014,200019687,Abbey Musical Society,"-2,352.36"
Barrow Borough Council,Cemetery,Building and construction works,19-Mar-2014,200019546,The Neil Martin Group Ltd,"10,573.48"
Barrow Borough Council,HRA Estates,Cleaning - other,12-Mar-2014,200019382,Bulloughs Cleaning Serv Ltd,"3,078.08"
Barrow Borough Council,The park leisure centre,Licences,05-Mar-2014,200019358,PPL,"1,598.26"
Barrow Borough Council,HRA Property inspectors,Professional fees,19-Mar-2014,200019567,Nigel Clarke Ltd,"3,013.35"
Barrow Borough Council,Borough Treasurer's,Professional fees,12-Mar-2014,200019399,Richard Coates Quantity Surveyors Ltd,"1,146.80"
Barrow Borough Council,Forum 28,Maintenance contracts - TSU,05-Mar-2014,200019367,Integral UK Ltd,910.00
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,26-Mar-2014,200019584,Rixonway Kitchens (Cum) Ltd,"1,225.50"
Barrow Borough Council,Emlyn Hughes house,Electricity,05-Mar-2014,200019302,NPower,826.60
Barrow Borough Council,Crematorium,Gas,26-Mar-2014,200019623,British Gas Business,"3,034.49"
Barrow Borough Council,Dock museum,Equipment purchase,26-Mar-2014,200019649,Example IT Ltd,765.74
Barrow Borough Council,Street fittings,Maintenance cleaning -  becks,12-Mar-2014,200019443,Growing Concerns,640.00
Barrow Borough Council,Capitalised Planned Maintenance,Rewires,19-Mar-2014,200019476,Edmundson Electrical Ltd,864.10
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,26-Mar-2014,200019625,AB Mitchell Developments,"2,817.45"
Barrow Borough Council,Current assets - payments in advance,Payment in advance - GF,26-Mar-2014,200019613,Tameside Metropolitan Borough,"2,173.00"
Barrow Borough Council,Information technology,Computer hardware purchase,19-Mar-2014,200019484,CAE Technology Services,"3,950.00"
Barrow Borough Council,Capitalised Planned Maintenance,Bathrooms,19-Mar-2014,200019476,Edmundson Electrical Ltd,542.56
Barrow Borough Council,Major works maintenance - HRA,Adaptations,26-Mar-2014,200019625,AB Mitchell Developments,"3,328.57"
Barrow Borough Council,Playground,Maintenance contracts - TSU,05-Mar-2014,200019333,Play Safe,"2,298.33"
Barrow Borough Council,Community involvement - HRA,Tenants compact,26-Mar-2014,200019653,Vista Display Kendal Ltd,780.00
Barrow Borough Council,Major works maintenance - HRA,Decant Costs,26-Mar-2014,200019686,M&P Gadsden Consulting Eng Ltd,"1,205.08"
Barrow Borough Council,Dock museum,Museum exhibition,12-Mar-2014,200019431,The Rusland Movement Ltd,719.00
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,19-Mar-2014,200019493,Howdens Joinery Ltd,"1,276.17"
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,19-Mar-2014,200019508,Rixonway Kitchens (Cum) Ltd,"1,959.44"
Barrow Borough Council,James Freel Close Business Units,Specialised work,05-Mar-2014,200019317,Unblock Cumbria Ltd,"1,300.00"
Barrow Borough Council,Dock Museum,Specialised work,05-Mar-2014,200019352,Chris Brammall,"1,700.00"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,26-Mar-2014,200019585,Plumbing Trade Supplies,880.89
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,05-Mar-2014,200019360,Alpha Electrics & Building Serv Ltd,"1,279.10"
Barrow Borough Council,Capitalised Planned Maintenance,Heating,19-Mar-2014,200019509,Plumbing Trade Supplies,"2,259.00"
Barrow Borough Council,HRA Estates,Cleaning - other,12-Mar-2014,200019382,Bulloughs Cleaning Serv Ltd,"3,078.08"
Barrow Borough Council,Barrow town hall,Buildings repairs and maintenance,26-Mar-2014,200019619,FTS Fire & Secuirty Ltd,617.60
Barrow Borough Council,Information technology,Software maintenance,26-Mar-2014,200019667,Oak Telecom Ltd,520.00
Barrow Borough Council,Cylical maintenance - HRA,Electrical testing,26-Mar-2014,200019625,AB Mitchell Developments,"1,572.00"
Barrow Borough Council,Current assets - stocks,Postage stock,12-Mar-2014,200019421,TNT Post North Ltd,865.60
Barrow Borough Council,Barrow town hall,Planned Building repairs and maintenance,26-Mar-2014,200019588,Bill Caulfield Electrical,"3,632.44"
Barrow Borough Council,Borough Treasurer's,Subscriptions,05-Mar-2014,200019350,CIPFA Business Ltd,500.00
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,19-Mar-2014,200019510,Cumbria Probation Board,784.00
Barrow Borough Council,Dock museum,Professional fees,05-Mar-2014,200019320,Fat Media Ltd,"1,470.00"
Barrow Borough Council,Barrow savoyards,Admissions,12-Mar-2014,200019453,Barrow Savoyards,"1,279.07"
