Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Defence,Ministerial Department,Ministry of Defence,11323,10811,7076,6906,13154,12899,2426,2397,242,238,13986,13582,48207,46835,337,336,344,342,189,188,41,41,911,907,49118,47741,115154000,0,0,4348000,21134000,9348000,149984000,11889000,5378000,17267000,167251000,
Defence Science and Technology Laboratory,Executive Agency,Ministry of Defence,172,167,232,222,1834,1764,1527,1457,36,32,0,0,3801,3643,1,1,0,0,182,171,0,0,183,172,3984,3815,11184691,87668,,510786,2218061,1026654,15027860,1089881,,1089881,16117741,31/12/2014
Defence Support Group,Executive Agency,Ministry of Defence,1546,1521,578,567,278,274,53,52,4,4,0,0,2459,2419,277,276,5,5,0,0,0,0,282,281,2741,2699,4691074,93327,0,200880,844739,350468,6180489,594787,0,594787,6775276,
UK Hydrographic Office,Executive Agency,Ministry of Defence,175,172,318,300,426,410,68,68,4,4,0,0,991,953,24,24,0,0,67,66,0,0,91,90,1082,1043,2469303,62296,2300,73318,479605,199556,3286378,536156,,536156,3822534,
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,174,168,0,0,0,0,0,0,0,0,0,0,174,168,0,0,0,0,0,0,2,2,2,2,176,170,366496,7102,0,10123,19118,33937,436776,0,10535,10535,447311,
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,0,0,0,0,3,3,4,4,1,1,40,38,48,46,0,0,0,0,0,0,0,0,0,0,48,46,133108,9983,0,0,28057,11962,183110,0,0,0,183110,
National Museum of the Royal Navy,OTHER,Ministry of Defence,35,30,26,25,18,18,4,4,1,1,0,0,84,78,0,0,0,0,0,0,0,0,0,0,84,78,208739,252,0,54,13905,18485,241435,0,0,0,241435,10 new employees TUPE to NMRN from Portsmouth Historic Dockyard; 4 additional new employees
