Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Event Management - Trade Development Support,UK Trade and Investments - International Group,CHELSEA FC PLC,152369,"2,010.00 ",,SW6 1HS,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Travel and Subsistence O'seas - Market Visit Scheme,UK Trade and Investments - Regional Directorate,CONCRETE PRESERVATION TECHNOLOGIES LTD,152370,750.00 ,,NG9 5HL,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Travel and Subsistence O'seas - Gateway to Global Growth,UK Trade and Investments - Regional Directorate,SUNERSOL LTD,152371,995.00 ,,WF14 8HE,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Other Accomodation costs - Trade Marketing Events,UK Trade and Investments - Marketing & Communications Group,VENTURE MARKETING GROUP LTD,152372,363.00 ,,SW15 2TJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Travel and Subsistence O'seas - Passport Development & Events,UK Trade and Investments - Regional Directorate,BUSINESS FOR BREAKFAST LTD,152373,500.00 ,,M6 6FP,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Courier Services - Trade Marketing Events,UK Trade and Investments - Marketing & Communications Group,PREMIER SHOWFREIGHT LTD,152374,815.00 ,,CR0 0XZ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Courier Services - Trade Marketing Events,UK Trade and Investments - Marketing & Communications Group,PREMIER SHOWFREIGHT LTD,152374,91.50 ,,CR0 0XZ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Event Management - Sector Events - UK,UK Trade and Investments - Sectors Group,LORRAINE ELLISON,152375,750.00 ,,YO62 5LG,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Event Management - Trade Marketing Events,UK Trade and Investments - Regional Directorate,WORLD TRADE CENTRE HULL & HUMBER LTD,152376,49.50 ,,HU1 1UU,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,01/11/2011,Conference and seminar fees - Trade Marketing Events,UK Trade and Investments - Regional Directorate,CBI EAST MIDLANDS REGION,152379,636.00 ,,NG1 4HT,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
