Newcastle City Council Invoices over £500 paid in April 2010,,,,,,

Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Grand Total,"Capital/
Revenue"
Adult and Culture,Social Services - Social Care Payments ,14/04/10,NEW PROSPECTS ASSOCIATION LTD,4628615,645.84,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,NEW PROSPECTS ASSOCIATION LTD,4628616,1242.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,NEW PROSPECTS ASSOCIATION LTD,4628618,683.10,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,NEW PROSPECTS ASSOCIATION LTD,4628619,794.88,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,NEW PROSPECTS ASSOCIATION LTD,4628622,1179.90,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,NEW PROSPECTS ASSOCIATION LTD,4628624,633.42,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,NEW PROSPECTS ASSOCIATION LTD,4628626,2608.20,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,NEW PROSPECTS ASSOCIATION LTD,4628628,832.14,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,NEW PROSPECTS ASSOCIATION LTD,4628629,794.88,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,NEW PROSPECTS ASSOCIATION LTD,4630118,558.90,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,NEW PROSPECTS ASSOCIATION LTD,4630119,943.92,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,NEW PROSPECTS ASSOCIATION LTD,4630121,596.16,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,NEW PROSPECTS ASSOCIATION LTD,4632598,2148.66,Revenue
Adult and Culture,Social Services - Social Care Payments ,01/04/10,NEWBURN RIVERSIDE REC ASSOC,4616259,4489.64,Revenue
Adult and Culture,Social Services - Social Care Payments ,21/04/10,NEWBURN RIVERSIDE REC ASSOC,4635515,29890.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,NORTH LANARKSHIRE COUNCIL,4624547,2129.04,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,NORTH LANARKSHIRE COUNCIL,4624548,2303.30,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,NORTHEAST SPECIAL NEEDS NETWORK,4629158,3750.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,26/04/10,NORTHUMBERLAND TYNE & WEAR NHS TRUST,4641294,3430.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,26/04/10,NORTHUMBERLAND TYNE & WEAR NHS TRUST,4641295,3098.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,26/04/10,NORTHUMBRIA CALVERT TRUST,4641365,846.65,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,NORTHUMBRIA CALVERT TRUST,4636158,861.65,Revenue
Adult and Culture,Social Services - Social Care Payments ,25/04/10,NORTHUMBRIA DAYBREAK,4639132,591.60,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,NORWOOD RAVENSWOOD SERVICES LTD,4630138,1437.07,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,NORWOOD RAVENSWOOD SERVICES LTD,4632802,1437.07,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,NOTTINGHAMSHIRE COUNTY COUNCIL,4629981,14994.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,OFSTED,4629156,1549.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,OFSTED,4646976,2185.70,Revenue
Adult and Culture,Social Services - Social Care Payments ,01/04/10,OUTDOOR CARE LTD,4616086,3920.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,01/04/10,OUTDOOR CARE LTD,4616087,3920.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,01/04/10,OUTDOOR CARE LTD,4616088,3920.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,OUTDOOR CARE LTD,4624731,3920.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,18/04/10,OUTDOOR CARE LTD,4631781,3920.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,18/04/10,OUTDOOR CARE LTD,4631782,3920.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,27/04/10,OUTDOOR CARE LTD,4643882,3920.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,OUTDOOR CARE LTD,4646977,3920.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,18/04/10,PEAR TREE PROJECTS LTD,4631788,81949.45,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,PEAR TREE PROJECTS LTD,4647003,86934.36,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,PHILIP PARKINSON HOMECARE,4624370,1287.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,PHILIP PARKINSON HOMECARE,4624371,1287.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,PHILIP PARKINSON HOMECARE,4624372,1287.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,PHOENIX HOUSE,4624374,508.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,PHOENIX HOUSE,4630124,1862.23,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,PHOENIX HOUSE,4630125,508.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,26/04/10,PHOENIX HOUSE,4641369,562.43,Revenue
Adult and Culture,Social Services - Social Care Payments ,26/04/10,PHOENIX HOUSE,4641370,562.43,Revenue
Adult and Culture,Social Services - Social Care Payments ,26/04/10,PHOENIX HOUSE,4641371,2405.38,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,POSITIVE LIFE CHOICES(F),4632587,890.02,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,POSITIVE LIFE CHOICES(F),4632913,1030.27,Revenue
Adult and Culture,Social Services - Social Care Payments ,22/04/10,POSITIVE LIFE CHOICES(F),4637454,1121.09,Revenue
Adult and Culture,Social Services - Social Care Payments ,22/04/10,POSITIVE LIFE CHOICES(F),4637456,505.22,Revenue
Adult and Culture,Social Services - Social Care Payments ,27/04/10,POSITIVE LIFE CHOICES(F),4643578,1142.65,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,POTENSIAL LTD,4646403,1200.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,POTENSIAL LTD,4646404,1200.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,26/04/10,QSOFT CONSULTING LTD,4641293,2000.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,R I ACCOMMODATION & SUPPORT LTD,4632709,716.60,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,R I ACCOMMODATION & SUPPORT LTD,4632710,716.60,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,R I ACCOMMODATION & SUPPORT LTD,4632711,788.26,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,R I ACCOMMODATION & SUPPORT LTD,4632712,716.60,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,R I ACCOMMODATION & SUPPORT LTD,4632713,1504.86,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,R I ACCOMMODATION & SUPPORT LTD,4632715,716.60,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,REAL LIFE OPTIONS,4630140,2360.40,Revenue
Adult and Culture,Social Services - Social Care Payments ,25/04/10,RED RIDGE RESIDENTIAL,4639151,664.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,25/04/10,RED RIDGE RESIDENTIAL,4639152,664.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,25/04/10,RED RIDGE RESIDENTIAL,4639153,2968.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,25/04/10,RED RIDGE RESIDENTIAL,4639154,2968.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,13/04/10,Redacted Personal Data,4627222,1500.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,01/04/10,Redacted Personal Data,4616252,11636.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,Redacted Personal Data,4624507,1136.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,13/04/10,Redacted Personal Data,4627229,1008.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,Redacted Personal Data,4628734,1226.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,Redacted Personal Data,4630573,840.51,Revenue
Adult and Culture,Social Services - Social Care Payments ,21/04/10,Redacted Personal Data,4635677,1262.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,21/04/10,Redacted Personal Data,4635681,552.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,21/04/10,Redacted Personal Data,4635676,1378.69,Revenue
Adult and Culture,Social Services - Social Care Payments ,26/04/10,Redacted Personal Data,4641253,1136.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,01/04/10,REFLEXION CARE,4616084,17376.81,Revenue
Adult and Culture,Social Services - Social Care Payments ,01/04/10,REFLEXION CARE,4616085,7180.52,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,RENFREWSHIRE COUNCIL,4630412,2961.79,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,RENFREWSHIRE COUNCIL,4630413,926.76,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,RENFREWSHIRE COUNCIL,4630597,926.76,Revenue
Adult and Culture,Social Services - Social Care Payments ,01/04/10,RIGHT TRAK LTD,4616089,11400.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,01/04/10,RIGHT TRAK LTD,4616090,11400.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,01/04/10,RIGHT TRAK LTD,4616091,11400.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,01/04/10,RIGHT TRAK LTD,4616092,11400.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,RIGHT TRAK LTD,4624729,2850.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,18/04/10,RIGHT TRAK LTD,4631783,11400.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,18/04/10,RIGHT TRAK LTD,4631784,11400.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,18/04/10,RIGHT TRAK LTD,4631785,11400.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,25/04/10,RIVERSIDE GROUPLTD,4639150,1240.80,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,SAFE HANDS HOMECARE LTD,4632603,796.80,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,SCOTTISH BORDERS COUNCIL,4624549,2239.83,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,SCOTTISH BORDERS COUNCIL,4624550,4989.69,Revenue
Adult and Culture,Social Services - Social Care Payments ,25/04/10,SELF UNLIMITED,4639136,2671.09,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SKILLS FOR PEOPLE,4629162,10260.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SKILLS FOR PEOPLE,4629163,2512.50,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,ST ANNES COMMUNITY SERVICES,4628739,3725.96,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,ST ANNES COMMUNITY SERVICES,4632602,3725.96,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,ST ANNES COMMUNITY SERVICES,4632914,1976.26,Revenue
Adult and Culture,Social Services - Social Care Payments ,25/04/10,ST ANNES COMMUNITY SERVICES,4639142,3725.96,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,ST CUTHBERTS CARE,4629138,7371.43,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,ST CUTHBERTS CARE,4629139,8914.29,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,ST CUTHBERTS CARE,4629140,2337.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,ST CUTHBERTS CARE,4629141,779.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,ST CUTHBERTS CARE,4629142,3116.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,ST CUTHBERTS CARE,4629143,4663.28,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,ST OSWALDS HOSPICE LTD,4629155,5028.24,Revenue
Adult and Culture,Social Services - Social Care Payments ,18/04/10,ST OSWALDS HOSPICE LTD,4631786,5986.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,STIRLING COUNCIL,4624551,2160.40,Revenue
Adult and Culture,Social Services - Social Care Payments ,25/04/10,STIRLING COUNCIL,4636163,2160.40,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628400,901.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628401,878.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628402,892.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628404,892.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628405,803.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628407,901.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628408,811.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628409,892.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628410,803.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628411,1069.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628412,901.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628413,901.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628414,901.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628415,1080.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628416,862.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628417,901.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,SWIIS FOSTER CARE LTD,4628418,901.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,TEAM FOSTERING NORTH EAST,4628374,852.11,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,TEAM FOSTERING NORTH EAST,4628375,852.11,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,TEAM FOSTERING NORTH EAST,4628376,852.11,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,TEAM FOSTERING NORTH EAST,4628377,852.11,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,TEAM FOSTERING NORTH EAST,4628378,852.11,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,TEAM FOSTERING NORTH EAST,4628379,703.60,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,TEAM FOSTERING NORTH EAST,4628398,2069.41,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,THE CAMPHILL VILLAGE TRUST,4632786,3178.76,Revenue
Adult and Culture,Social Services - Social Care Payments ,01/04/10,THE EDWARD LLOYD TRUST,4616073,1165.08,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,THE PERCY HEDLEY FOUNDATION,4632579,20249.76,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,THE PERCY HEDLEY FOUNDATION,4632580,9660.48,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,THE PERCY HEDLEY FOUNDATION,4632581,6296.81,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,THE PERCY HEDLEY FOUNDATION,4632582,1452.48,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,THE PERCY HEDLEY FOUNDATION,4632583,7677.19,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,THE PIERPOINT GROUP,4630128,644.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,25/04/10,THE PIERPOINT GROUP,4639137,527.01,Revenue
Adult and Culture,Social Services - Social Care Payments ,26/04/10,THE PIERPOINT GROUP,4641374,527.01,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,THE TOBY HENDERSON TRUST,4646978,833.32,Revenue
Adult and Culture,Social Services - Social Care Payments ,29/04/10,THE TOBY HENDERSON TRUST,4646979,622.30,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,TIME TO CARE,4624743,3990.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,TIME TO CARE,4624744,3990.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,TIME TO CARE,4624745,3990.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,08/04/10,TRIMAR CARE LTD,4599458,17672.50,Revenue
Adult and Culture,Social Services - Social Care Payments ,08/04/10,TRIMAR CARE LTD,4599459,7947.52,Revenue
Adult and Culture,Social Services - Social Care Payments ,26/04/10,TTP COUNSELLING CENTRE LTD,4641375,2718.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,19/04/10,TYNE & WEAR AUTISTIC SOCIETY,4632601,3058.25,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,UNDERLEY EDUCATIONAL SERVICES,4629152,870.00,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,UNDERLEY EDUCATIONAL SERVICES,4629153,626.33,Revenue
Adult and Culture,Social Services - Social Care Payments ,14/04/10,UNDERLEY EDUCATIONAL SERVICES,4629154,563.33,Revenue
Adult and Culture,Social Services - Social Care Payments ,12/04/10,UNITED RESPONSE,4624451,1320.50,Revenue
Adult and Culture,Social Services - Social Care Payments ,15/04/10,YOUNG FOUNDATIONS,4629980,16939.29,Revenue
Adult and Culture,Social Services - Utility Payments     ,12/04/10,NORTHUMBRIAN WATER LIMITED,4624489,6909.72,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,ANCHOR TRUST,4641864,9061.60,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,ANCHOR TRUST,4641917,21133.56,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,AT HOME IN THE COMMUNITY LTD,4641909,9648.00,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,AZURE,4641907,12138.76,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,BANKS OF THE WEAR LTD,4641910,1682.40,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,BYKER BRIDGE HOUSING ASSOCIATION,4641908,61187.84,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,CARE UK LTD,4641884,14472.00,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,CHEVIOT HOUSING ASS. LTD.,4641872,2414.72,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,COMM & HOUSING SUPPORTING PEOPLE-GROSS,4641894,57529.36,Revenue
Adult and Culture,Social Services-Care Support           ,05/04/10,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,4618063,26187.30,Revenue
Adult and Culture,Social Services-Care Support           ,11/04/10,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,4623205,23325.51,Revenue
Adult and Culture,Social Services-Care Support           ,18/04/10,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,4631491,22038.63,Revenue
Adult and Culture,Social Services-Care Support           ,25/04/10,COMM & HOUSING SUPPORTING PEOPLE-SUBSIDY,4639586,20311.69,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,COQUET TRUST,4641912,31696.00,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,CREATIVE SUPPORT,4641905,4499.19,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,DEMENTIA CARE PARTNERSHIP,4641916,48831.24,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,DIMENSIONS,4641897,14472.00,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,ENGLISH CHURCHES HOUSING GROUP,4641877,2530.56,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,ENGLISH CHURCHES HOUSING GROUP,4641878,1821.04,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,ENTERPRISE 5 HOUSING ASSOCIATION,4641879,32269.28,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,HAVEN (TYNESIDE) LTD,4641893,18459.84,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,HOME HOUSING ASSOC. (SUPPORTING PEOPLE),4641896,8687.95,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,INTERACTIVE SUPPORT LTD,4641903,2455.44,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,KEYRING LIVING SUPPORT NETWORK,4641887,4443.60,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,MENTAL HEALTH CONCERN,4641906,12573.40,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,MENTAL HEALTH MATTERS,4641883,9436.32,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,NEW BEGINNINGS (NORTH EAST) LTD,4641898,32747.12,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,NEW LEAF SUPPORTING INDEPENDENCE,4641888,11971.02,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,NEW PROSPECTS ASSOCIATION LTD,4641914,3618.00,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,NEWCASTLE JEWISH HOUSING ASSOCIATION,4641900,804.24,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,NEWCASTLE SUPPORTED LODGINGS SCHEME,4641880,5919.20,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,NEWCASTLE WOMENS AID,4641871,12578.16,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,NORCARE LTD,4641873,24476.48,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,NORTH EAST COUNCIL ON ADDICTIONS,4641889,4593.88,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,NORTH OF ENGLAND REFUGEE SERVICE LTD,4641869,5235.72,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,NORTHERN LIFE CARE LTD,4641911,8442.00,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,PANAH LTD,4641874,5300.68,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,PHOENIX HOUSE,4641892,9663.64,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,PRAXIS SERVICE,4641875,22029.28,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,REAL LIFE OPTIONS,4641902,10279.28,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,RICHMOND FELLOWSHIP LTD,4641919,9108.05,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,SALVATION ARMY CARE UNIT,4641876,44592.86,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,SOCIAL SERVICES SUPPORTING PEOPLE-HOUSEW,4641895,87571.16,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,SOCIETY OF ST VINCENT DE PAUL,4641891,7748.44,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,ST ANNES COMMUNITY SERVICES,4641904,1252.28,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,ST CUTHBERTS CARE,4641918,22914.40,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,STONHAM,4641881,47298.44,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,STONHAM,4641882,14610.84,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,THE CYRENIANS,4641865,105658.48,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,THE DEPAUL TRUST,4641868,17675.00,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,THE EDWARD LLOYD TRUST,4641915,33138.12,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,THE OUTPOST HOUSING PROJECT,4641870,5756.24,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,THE WILLIAM SUTTON TRUST,4641867,3676.92,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,UNITED RESPONSE,4641913,11445.00,Revenue
Adult and Culture,Social Services-Care Support           ,26/04/10,YOUR HOMES NEWCASTLE,4641901,166527.76,Revenue
Adult and Culture,Social Services-Carefirst              ,12/04/10,18 SEA VIEW VILLAS,4624165,801.80,Revenue
Adult and Culture,Social Services-Carefirst              ,26/04/10,ABBEYFIELD CASTLE FARM,4641157,3596.48,Revenue
Adult and Culture,Social Services-Carefirst              ,26/04/10,ABBEYFIELD THE GROVE,4641145,10433.44,Revenue
Adult and Culture,Social Services-Carefirst              ,26/04/10,ABBEYMOOR,4641158,6673.88,Revenue
Adult and Culture,Social Services-Carefirst              ,26/04/10,ABBEYWELL COURT CARE HOMES,4641201,2300.00,Revenue
Adult and Culture,Social Services-Carefirst              ,26/04/10,ABIGAIL HOUSE,4641159,17411.60,Revenue
Adult and Culture,Social Services-Carefirst              ,12/04/10,ACOMB COURT,4624201,1381.16,Revenue
Adult and Culture,Social Services-Carefirst              ,26/04/10,ADMORRE LTD,4641191,2692.00,Revenue
Adult and Culture,Social Services-Carefirst              ,19/04/10,AGE CONCERN NEWCASTLE,4633349,42409.51,Revenue
Adult and Culture,Social Services-Carefirst              ,21/04/10,AGE CONCERN NEWCASTLE,4636530,10824.30,Revenue
Adult and Culture,Social Services-Carefirst              ,26/04/10,ALBANY HOUSE  (WHITLEY BAY),4641160,6204.08,Revenue
Adult and Culture,Social Services-Carefirst              ,26/04/10,ALLAN COURT RESIDENTIAL HOME,4641206,46487.73,Revenue
Adult and Culture,Social Services-Carefirst              ,26/04/10,ALLAN COURT RESIDENTIAL HOME,4641224,683.36,Revenue
Adult and Culture,Social Services-Carefirst              ,19/04/10,ALLIED HEALTHCARE GROUP,4633356,74282.51,Revenue
Adult and Culture,Social Services-Carefirst              ,19/04/10,ALMA CARE NEWCASTLE LTD,4633359,25313.77,Revenue
Adult and Culture,Social Services-Carefirst              ,11/04/10,ALZHEIMERS SOCIETY,4622574,28448.80,Revenue
Adult and Culture,Social Services-Carefirst              ,12/04/10,AMBER HOUSE RESIDENTIAL HOME (IN ADMIN),4624245,5113.92,Revenue
Adult and Culture,Social Services-Carefirst              ,12/04/10,APPLEBY CARE HOME,4624135,1258.04,Revenue
Adult and Culture,Social Services-Carefirst              ,26/04/10,ASCOT HOUSE CARE HOME LTD,4641150,39593.67,Revenue
Adult and Culture,Social Services-Carefirst              ,12/04/10,ASHBOURNE  LODGE CARE CENTRE,4624189,1081.52,Revenue
Adult and Culture,Social Services-Carefirst              ,26/04/10,ASHFIELD COURT,4641161,7798.12,Revenue
Adult and Culture,Social Services-Carefirst              ,12/04/10,ASHLEY HOUSE,4624185,993.96,Revenue
Adult and Culture,Social Services-Carefirst              ,26/04/10,ASHTON COURT,4641162,11184.67,Revenue
Adult and Culture,Social Services-Carefirst              ,19/04/10,AT HOME IN THE COMMUNITY LTD,4633339,21387.27,Revenue
Adult and Culture,Social Services-Carefirst              ,12/04/10,AUTISM INITIATIVES,4624230,5827.92,Revenue
