Newcastle City Council Invoices over £500 paid in April 2010,,,,,,

Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Grand Total,"Capital/
Revenue"
Adult and Culture,Adult Serv Learn Disab     ,12/04/10,NODA TAXIS LTD,4625886,1066.60,Revenue
Adult and Culture,Adult Serv Learn Disab     ,18/04/10,NODA TAXIS LTD,4631989,940.20,Revenue
Adult and Culture,Adult Serv Learn Disab     ,26/04/10,NODA TAXIS LTD,4641777,865.60,Revenue
Adult and Culture,Adult Serv Occ Therapy     ,18/04/10,D R SUMMERS PROPERTY MAINTENANCE,4630661,580.00,Revenue
Adult and Culture,Adult Serv Occ Therapy     ,18/04/10,D R SUMMERS PROPERTY MAINTENANCE,4630662,580.00,Revenue
Adult and Culture,Adult Serv Occ Therapy     ,27/04/10,SUPRA UK LTD,4636222,1084.79,Revenue
Adult and Culture,Adult Serv Phys Disab      ,07/04/10,NEWCASTLE AMBULANCE SERVICE,4619956,1341.00,Revenue
Adult and Culture,Adult Serv Phys Disab      ,07/04/10,NEWCASTLE AMBULANCE SERVICE,4619957,1341.00,Revenue
Adult and Culture,Adult Serv Phys Disab      ,07/04/10,NEWCASTLE AMBULANCE SERVICE,4619958,1341.00,Revenue
Adult and Culture,Adult Serv Phys Disab      ,18/04/10,NEWCASTLE AMBULANCE SERVICE,4631884,1439.00,Revenue
Adult and Culture,Adult Serv Phys Disab      ,21/04/10,NEWCASTLE AMBULANCE SERVICE,4636196,1243.00,Revenue
Adult and Culture,Adult Serv Sens Supp       ,22/04/10,CONNEVANS LTD,4633131,967.15,Revenue
Adult and Culture,Adult Serv Sens Supp       ,01/04/10,RNID SOUND ADVANTAGE,4611240,1276.71,Revenue
Adult and Culture,Adult Serv Sens Supp       ,01/04/10,SARABEC LTD,4613529,904.00,Revenue
Adult and Culture,Adult Serv Welf         ,29/04/10,N POWER NORTHERN LTD,4646763,1311.17,Revenue
Adult and Culture,Adult Serv Westerhope      ,15/04/10,THOMAS OWEN & SONS LTD,4618521,515.91,Revenue
Adult and Culture,EEC Homeless               ,18/04/10,LIME LEGAL LTD,4631990,737.50,Revenue
Adult and Culture,Gosforth AE                ,27/04/10,BECOMING VISIBLE,4592009,610.80,Revenue
Adult and Culture,Libraries/Galaxy Payments              ,28/04/10,ASKEWS LIBRARY SERVICES LTD,4645547,539.05,Revenue
Adult and Culture,Libraries/Galaxy Payments              ,26/04/10,BBC AUDIO BOOKS LTD,4642061,565.16,Revenue
Adult and Culture,Libraries/Galaxy Payments              ,13/04/10,BERTRAM LIBRARY SERVICES,4627551,1753.60,Revenue
Adult and Culture,Libraries/Galaxy Payments              ,19/04/10,BERTRAM LIBRARY SERVICES,4633101,559.72,Revenue
Adult and Culture,Libraries/Galaxy Payments              ,25/04/10,BERTRAM LIBRARY SERVICES,4639248,1033.95,Revenue
Adult and Culture,Libraries/Galaxy Payments              ,25/04/10,BERTRAM LIBRARY SERVICES,4639249,517.00,Revenue
Adult and Culture,Libraries/Galaxy Payments              ,25/04/10,BSI,4639262,6995.00,Revenue
Adult and Culture,Libraries/Galaxy Payments              ,25/04/10,CENGAGE LEARNING SERVICES LTD,4639254,3480.00,Revenue
Adult and Culture,Libraries/Galaxy Payments              ,26/04/10,OXFORD UNIVERSITY PRESS,4642076,4750.00,Revenue
Adult and Culture,Libraries/Galaxy Payments              ,28/04/10,ST ANDREWS NEWSAGENCY,4645550,615.84,Revenue
Adult and Culture,Library Admin              ,13/04/10,AXIELL LTD,4623178,970.00,Revenue
Adult and Culture,Library Admin              ,25/04/10,AXIELL LTD,4639880,14833.00,Revenue
Adult and Culture,Library Admin              ,29/04/10,AXIELL LTD,4643894,534.00,Revenue
Adult and Culture,Library Admin              ,14/04/10,DIMENSIONS DIRECT,4629248,550.00,Revenue
Adult and Culture,Library Admin              ,20/04/10,ELLISON SERVICES LTD,4634179,2000.00,Revenue
Adult and Culture,Library Admin              ,01/04/10,FAWDON COMMUNITY CENTRE,4615823,3600.00,Revenue
Adult and Culture,Library Admin              ,11/04/10,KAJIMA NEWCASTLE LIBRARIES LTD,4623189,273030.75,Revenue
Adult and Culture,Library Admin              ,25/04/10,NAVIGATOR SIGNING SOLUTIONS LTD,4639671,2100.00,Revenue
Adult and Culture,Library Admin              ,14/04/10,NCC GROUP SECURE TEST LTD,4625399,945.00,Revenue
Adult and Culture,Library Admin              ,15/04/10,RILEY DUNN & WILSON,4629245,6122.40,Capital
Adult and Culture,Library Admin              ,15/04/10,RILEY DUNN & WILSON,4629266,4850.78,Capital
Adult and Culture,Library Admin              ,15/04/10,RILEY DUNN & WILSON,4629281,6318.04,Capital
Adult and Culture,Library Admin              ,21/04/10,SCL SEMINAR ACCOUNT,4629230,520.00,Revenue
Adult and Culture,Library Admin              ,07/04/10,SUPPLIES TEAM LTD,4595326,623.64,Revenue
Adult and Culture,Library Admin              ,14/04/10,THE POINT DESIGN CONSULTANCY LTD,4629246,3100.00,Revenue
Adult and Culture,Library Admin              ,06/04/10,THOMAS OWEN & SONS LTD,4591986,865.83,Revenue
Adult and Culture,Library Admin              ,15/04/10,THOMAS OWEN & SONS LTD,4604452,645.92,Revenue
Adult and Culture,Publishing                 ,07/04/10,ELANDERS HINDSON LTD,4616594,3175.00,Revenue
Adult and Culture,Publishing                 ,08/04/10,Redacted Personal Data,4595122,1250.00,Revenue
Adult and Culture,Regen A/S Con           ,11/04/10,DARLINGTON BOROUGH COUNCIL,4622667,38305.30,Revenue
Adult and Culture,Regen A/S Con           ,11/04/10,GATESHEAD MBC,4622664,101740.92,Revenue
Adult and Culture,Regen A/S Con           ,11/04/10,MIDDLESBROUGH BOROUGH COUNCIL,4622665,72908.36,Revenue
Adult and Culture,Regen A/S Con           ,11/04/10,STOCKTON BOROUGH COUNCIL,4622668,64801.22,Revenue
Adult and Culture,Regen A/S Con           ,11/04/10,SUNDERLAND CITY COUNCIL,4622666,98342.38,Revenue
Adult and Culture,Skills For Skills          ,22/04/10,OCR,4625249,768.00,Revenue
Adult and Culture,Social Services                        ,14/04/10,AGE CONCERN NEWCASTLE,4628730,17531.79,Revenue
Adult and Culture,Social Services                        ,14/04/10,AGE CONCERN NEWCASTLE,4628731,17531.79,Revenue
Adult and Culture,Social Services                        ,19/04/10,ANCHOR HOUSING TRUST,4632901,5000.00,Revenue
Adult and Culture,Social Services                        ,14/04/10,AT HOME IN THE COMMUNITY LTD,4628631,1789.92,Revenue
Adult and Culture,Social Services                        ,14/04/10,AT HOME IN THE COMMUNITY LTD,4628632,1789.92,Revenue
Adult and Culture,Social Services                        ,19/04/10,BROWNTREE PROPERTIES LTD,4633089,930.00,Revenue
Adult and Culture,Social Services                        ,19/04/10,BYKER HALL,4630578,2061.39,Revenue
Adult and Culture,Social Services                        ,21/04/10,C.I.C.,4635662,540.00,Revenue
Adult and Culture,Social Services                        ,14/04/10,CAPABILITYS,4628492,1340.18,Revenue
Adult and Culture,Social Services                        ,08/04/10,CARR & CO SOLICITORS,4621154,2459.67,Revenue
Adult and Culture,Social Services                        ,21/04/10,CBIT,4636119,3750.00,Revenue
Adult and Culture,Social Services                        ,21/04/10,CENTRE FOR THE CHILDRENS BOOK,4636126,50000.00,Revenue
Adult and Culture,Social Services                        ,08/04/10,CHEVIOT VIEW,4621030,729.89,Revenue
Adult and Culture,Social Services                        ,18/04/10,CHEVIOT VIEW,4631643,519.63,Revenue
Adult and Culture,Social Services                        ,12/04/10,CIS LTD PROPERTY RECEIPT ACCT,4624482,1808.41,Revenue
Adult and Culture,Social Services                        ,14/04/10,COQUET TRUST,4628636,2534.32,Revenue
Adult and Culture,Social Services                        ,14/04/10,COQUET TRUST,4628637,2647.72,Revenue
Adult and Culture,Social Services                        ,14/04/10,COQUET TRUST,4628638,2134.88,Revenue
Adult and Culture,Social Services                        ,21/04/10,DAVID GRAY & CO,4637520,1250.00,Revenue
Adult and Culture,Social Services                        ,12/04/10,DEMENTIA CARE PARTNERSHIP,4624538,768.64,Revenue
Adult and Culture,Social Services                        ,12/04/10,DEMENTIA CARE PARTNERSHIP,4624539,960.80,Revenue
Adult and Culture,Social Services                        ,13/04/10,DEMENTIA CARE PARTNERSHIP,4627228,2244.05,Revenue
Adult and Culture,Social Services                        ,21/04/10,DENE PARK HOUSE,4630584,617.03,Revenue
Adult and Culture,Social Services                        ,21/04/10,DURHAM COUNTY COUNCIL,4636159,3964.65,Revenue
Adult and Culture,Social Services                        ,19/04/10,DURHAM TIMBER PRODUCTS,4632910,7255.00,Revenue
Adult and Culture,Social Services                        ,15/04/10,DWP,4630570,1531.50,Revenue
Adult and Culture,Social Services                        ,25/04/10,DWP,4639697,1122.30,Revenue
Adult and Culture,Social Services                        ,21/04/10,EDWARD LLOYD TRUST,4635673,643.76,Revenue
Adult and Culture,Social Services                        ,12/04/10,GARDINER AND THEOBALD,4624475,3000.00,Capital
Adult and Culture,Social Services                        ,21/04/10,GLOBE GALLERY,4636120,5000.00,Revenue
Adult and Culture,Social Services                        ,12/04/10,GUARDIAN HOMECARE & NURSING (NCLE) LTD,4624542,1818.71,Revenue
Adult and Culture,Social Services                        ,26/04/10,GUARDIAN HOMECARE & NURSING (NCLE) LTD,4641252,540.00,Revenue
Adult and Culture,Social Services                        ,22/04/10,HAREHILLS RESOURCE CENTRE,4638341,635.52,Revenue
Adult and Culture,Social Services                        ,29/04/10,HAWKSIDE MANAGEMENT SERVICES LTD,4646970,570.00,Revenue
Adult and Culture,Social Services                        ,29/04/10,HAWKSIDE MANAGEMENT SERVICES LTD,4646971,520.00,Revenue
Adult and Culture,Social Services                        ,21/04/10,ISIS ARTS,4636121,5000.00,Revenue
Adult and Culture,Social Services                        ,12/04/10,JPM CONSULTANTS,4624479,7813.05,Capital
Adult and Culture,Social Services                        ,26/04/10,KNW,4641283,1500.00,Revenue
Adult and Culture,Social Services                        ,27/04/10,LIVABILITY HOUSING,4643871,512.00,Revenue
Adult and Culture,Social Services                        ,29/04/10,LIVABILITY HOUSING,4643872,512.00,Revenue
Adult and Culture,Social Services                        ,12/04/10,LLOYD LTD,4624480,13335.00,Revenue
Adult and Culture,Social Services                        ,08/04/10,LOWELL PORTFOLIO,4621158,1354.70,Revenue
Adult and Culture,Social Services                        ,12/04/10,LTC HEALTHCARE,4624481,1080.00,Revenue
Adult and Culture,Social Services                        ,20/04/10,MENTAL HEALTH MATTERS,4634272,35000.00,Revenue
Adult and Culture,Social Services                        ,20/04/10,MENTAL HEALTH MATTERS,4634273,35000.00,Revenue
Adult and Culture,Social Services                        ,20/04/10,MENTAL HEALTH MATTERS,4634274,17536.00,Revenue
Adult and Culture,Social Services                        ,11/04/10,MICHAEL WHEATLEY (CONSTRUCTION) LTD,4623120,522.20,Revenue
Adult and Culture,Social Services                        ,06/04/10,NEOPOST FINANCE LTD,4618664,1000.00,Revenue
Adult and Culture,Social Services                        ,19/04/10,NEW WRITING NORTH,4632854,5000.00,Revenue
Adult and Culture,Social Services                        ,26/04/10,NEWCASTLE HEALTHY CITY PROJECT,4641490,109650.50,Revenue
Adult and Culture,Social Services                        ,15/04/10,NEWCASTLE PCT,4630370,812.50,Revenue
Adult and Culture,Social Services                        ,12/04/10,NEWCASTLE SOCIETY FOR BLIND PEOPLE,4624487,10000.00,Revenue
Adult and Culture,Social Services                        ,21/04/10,NORTH EAST THEATRE TRUST LTD,4636123,25000.00,Revenue
Adult and Culture,Social Services                        ,21/04/10,NORTHERN STAGE (THEATRICAL PRODUCTIONS),4636124,28750.00,Revenue
Adult and Culture,Social Services                        ,19/04/10,NORTHUMBRIAN WATER LIMITED,4633088,548.39,Revenue
Adult and Culture,Social Services                        ,15/04/10,R W BARRETT & SON,4630574,684.00,Revenue
Adult and Culture,Social Services                        ,07/04/10,Redacted Personal Data,4620237,1752.67,Revenue
Adult and Culture,Social Services                        ,08/04/10,Redacted Personal Data,4621159,1900.00,Revenue
Adult and Culture,Social Services                        ,08/04/10,Redacted Personal Data,4621160,14197.01,Revenue
Adult and Culture,Social Services                        ,14/04/10,Redacted Personal Data,4628704,3561.89,Revenue
Adult and Culture,Social Services                        ,15/04/10,Redacted Personal Data,4630420,2635.00,Revenue
Adult and Culture,Social Services                        ,20/04/10,Redacted Personal Data,4634155,1900.00,Revenue
Adult and Culture,Social Services                        ,20/04/10,Redacted Personal Data,4634156,13235.34,Revenue
Adult and Culture,Social Services                        ,25/04/10,Redacted Personal Data,4535483,7500.00,Revenue
Adult and Culture,Social Services                        ,25/04/10,Redacted Personal Data,4535484,7500.00,Revenue
Adult and Culture,Social Services                        ,27/04/10,Redacted Personal Data,4641478,4524.41,Revenue
Adult and Culture,Social Services                        ,27/04/10,RIVERSIDE NORTH EAST LTD,4643870,2047.76,Revenue
Adult and Culture,Social Services                        ,08/04/10,SEATING MATTERS LTD,4621161,3361.92,Revenue
Adult and Culture,Social Services                        ,21/04/10,SIDE GALLERY,4636127,5000.00,Revenue
Adult and Culture,Social Services                        ,11/04/10,SODEXO PRESTIGE,4622985,725.03,Revenue
Adult and Culture,Social Services                        ,21/04/10,STAR & SHADOW CINEMA,4636128,2500.00,Revenue
