Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Advisory Conciliation & Arbitration Service,ACAS,"Department for Business, Innovation & Skills",61,54.5,253,229.8,495,455.8,38,35.7,3,3,2,1.2,852,780,10,10,0,0,0,0,3,3,13,13,865,793,"£2,012,930.64","£17,847.22",£0.00,"£17,605.68","£368,681.33","£154,511.68","£2,571,576.55","£14,194.67","£28,500.00","£42,694.67","£2,614,271.22",
Arts & Humanities Research Council,AHRC,"Department for Business, Innovation & Skills",4,3.74,33,31.49,52,49.78,12,11.79,4,3.1,,,105,100,,,,,11,11,,,11,11,116,111,"£272,366.00","£8,902.00","£7,527.00",,"£70,940.00","£21,353.00","£381,088.00","£114,657.03",,"£114,657.03","£495,745.03",
Biotechnology & Biological Sciences Research Council,BBSRC,"Department for Business, Innovation & Skills",205,183.2,328,307.03,728,682.8,201,185.64,45,41.77,0,0,"1,507","1,400",13,13,,,1,1,1,0.2,15,14.2,"1,522","1,415","£4,312,194.62","£69,933.42","£165,645.87","£33,040.16","£1,069,834.63","£374,518.13","£6,025,166.83","£44,178.54","£5,000.00","£49,178.54","£6,074,345.37",
"Business, Innovation & Skills ",BIS,"Department for Business, Innovation & Skills",165,158.119,394,382.547,1155,1129.442,1171,1130.627,215,207.085,0,0,"3,100","3,008",67,67,7,7,58,58,59,59,191,191,"3,291","3,199","£11,150,036.30","£284,096.23","£58,490.00","£26,147.26","£2,253,901.82","£1,005,251.34","£14,777,922.95","£773,132.00","£1,783,940.00","£2,557,072.00","£17,334,994.95",Included Headcount and Salary data for UKTI.
Capital for Enterprise Limited,CEL,"Department for Business, Innovation & Skills",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
Companies House ,CH,"Department for Business, Innovation & Skills",521,447,266,251,134,130,31,30,4,4,,,956,862,,,,,,,20,20,20,20,976,882,"£1,811,393.00","£28,587.00",£150.00,"£34,855.00","£328,829.00","£126,650.00","£2,330,464.00",,"£182,297.00","£182,297.00","£2,512,761.00",
Competition Service,CS,"Department for Business, Innovation & Skills",3,3,2,1.77,6,5.6,4,3.3,1,1,,,16,15,,,,,,,,,0,0,16,15,"£52,313.63",,,,"£10,888.32","£4,605.50","£67,807.45",,,£0.00,"£67,807.45",
Construction Industry Training Board,CITB,"Department for Business, Innovation & Skills",432,403.34,624,612.16,330,324.23,25,25,7,7,0,0,"1,418","1,372",55,38.9,0,0,91,47.6,0,0,146,86.5,"1,564","1,458","£3,473,981.00","£185,382.48",£0.00,"£32,288.64","£471,161.17","£287,921.38","£4,450,734.67","£84,046.43","£390,656.23","£474,702.66","£4,925,437.33",
