14.5 Total DFID Expenditure and GPEX by Recipient Country (Pacific) 2007/08 - 2011/121,,,,,,,,,,,,,,,
,,,,,,,,,,,,,, £ thousand ,
,, Financial Aid ,,,,,,,,,,,,,
,,General Poverty Reduction Budget Support,Sector Poverty Reduction Budget Support,Other Financial Aid5,Technical Cooperation,Bilateral aid delivered through a Multilateral,Bilateral aid Delivered through an NGO,Other Bilateral Aid2,Humanitarian Assistance ,DFID Debt Relief ,Total DFID Bilateral Programme,Aid from other UK Official Sources5,Total Bilateral Gross Public Expenditure,UK Imputed Multilateral Shares3,
,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Micronesia , Federal States",2007/08, - , - , - , - , - , - , - , - , - , - , - , - ,    204 ,
,2008/09, - , - , - , - , - , - , - , - , - , - , - , - ,    58 ,
,2009/10, - , - , - , - , - , - , - , - , - , - , - , - ,    887 ,
,2010/11, - , - , - , - , - , - , - , - , - , - , - , - , .. ,
,2011/12, - , - , - , - , - , - , - , - , - , - ,, - , .. ,
,,,,,,,,,,,,,,,
Nauru,2007/08, - , - , - , - , - , - , - , - , - , - , - , - ,    74 ,
,2008/09, - , - , - , - , - , - , - , - , - , - , - , - ,    16 ,
,2009/10, - , - , - , - , - , - , - , - , - , - , - , - ,    300 ,
,2010/11, - , - , - , - , - , - , - , - , - , - ,    8 ,    8 , .. ,
,2011/12, - , - , - , - , - , - , - , - , - , - ,, - , .. ,
,,,,,,,,,,,,,,,
Niue,2007/08, - , - , - , - , - , - , - , - , - , - , - , - ,    3 ,
,2008/09, - , - , - , - , - , - , - , - , - , - , - , - , - ,
,2009/10, - , - , - , - , - , - , - , - , - , - , - , - ,    402 ,
,2010/11, - , - , - , - , - , - , - , - , - , - , - , - ,    3 ,
,2011/12, - , - , - , - , - , - , - , - , - , - ,, - , .. ,
,,,,,,,,,,,,,,,
Palau,2007/08, - , - , - , - , - , - , - , - , - , - , - , - ,    87 ,
,2008/09, - , - , - , - , - , - , - , - , - , - ,    55 ,    55 ,    20 ,
,2009/10, - , - , - , - , - , - , - , - , - , - , - , - ,    296 ,
,2010/11, - , - , - , - , - , - , - , - , - , - ,    12 ,    12 , .. ,
,2011/12, - , - , - , - , - , - , - , - , - , - ,, - , .. ,
,,,,,,,,,,,,,,,
Papua New Guinea 4,2007/08, - , - , - , - , - ,    322 , - , - , - ,    322 ,    561 ,    883 ,   8 645 ,
,2008/09, - , - , - , - , - ,    279 , - , - , - ,    279 ,    302 ,    582 ,   2 550 ,
,2009/10, - , - , - , - , - ,    97 , - , - , - ,    97 ,    431 ,    528 ,   3 346 ,
,2010/11, - , - , - , - , - , - , - , - , - , - ,    814 ,    814 ,   9 731 ,
,2011/12, - , - , - , - , - , - , - , - , - , - ,    301 ,    301 , .. ,
,,,,,,,,,,,,,,,
Pitcairn Islands,2007/08, - , - ,   1 125 ,    92 , - ,    242 , - , - , - ,   1 460 ,    3 ,   1 462 , - ,
,2008/09, - , - ,   1 821 ,    219 , - ,    75 , - , - , - ,   2 115 ,    1 ,   2 116 , - ,
,2009/10, - , - ,   1 745 ,    3 , - ,    42 , - , - , - ,   1 790 , - ,   1 790 , - ,
,2010/11, - , - ,   2 235 ,    212 , - , - , - , - , - ,   2 447 ,    39 ,   2 486 , .. ,
,2011/12,,,   2 738 ,    36 ,,,,,,   2 774 ,,   2 774 , .. ,
,,,,,,,,,,,,,,,
Samoa 4,2007/08, - , - , - , - , - , - , - , - , - , - , - , - ,    648 ,
,2008/09, - , - , - , - , - , - , - , - ,    111 ,    111 , - ,    111 ,    573 ,
,2009/10, - , - , - , - , - , - , - ,    100 ,    115 ,    215 , - ,    215 ,   2 065 ,
,2010/11, - , - , - , - , - , - , - , - ,    150 ,    150 , - ,    150 ,   3 806 ,
,2011/12,,,,,,,,,    170 ,    170 ,    85 ,    254 , .. ,
,,,,,,,,,,,,,,,
Solomon Islands 4,2007/08, - , - , - , - , - , - , - , - , - , - ,    134 ,    134 ,   1 467 ,
,2008/09, - , - , - , - , - , - , - , - , - , - ,    137 ,    137 ,    253 ,
,2009/10, - , - , - , - , - , - , - , - , - , - ,    146 ,    146 ,   1 316 ,
,2010/11, - , - , - , - , - , - , - , - , - , - ,    144 ,    144 ,   3 793 ,
,2011/12, - , - , - , - , - , - , - , - , - , - ,    139 ,    139 , .. ,
,,,,,,,,,,,,,,,
Tokelau,2007/08, - , - , - , - , - , - , - , - , - , - , - , - , - ,
,2008/09, - , - , - , - , - , - , - , - , - , - , - , - , - ,
,2009/10, - , - , - , - , - , - , - , - , - , - , - , - ,    14 ,
,2010/11, - , - , - , - , - , - , - , - , - , - , - , - ,    9 ,
,2011/12, - , - , - , - , - , - , - , - , - , - ,, - , .. ,
,,,,,,,,,,, - ,,,,
Tonga,2007/08, - , - , - , - , - , - , - , - , - , - , - , - ,    330 ,
,2008/09, - , - , - , - , - , - , - , - , - , - ,    277 ,    277 ,    251 ,
,2009/10, - , - , - , - , - , - , - , - , - , - ,    6 ,    6 ,    214 ,
,2010/11, - , - , - , - , - , - , - , - , - , - ,    99 ,    99 ,   1 462 ,
,2011/12, - , - , - , - , - , - , - , - , - , - ,    34 ,    34 , .. ,
,,,,,,,,,,,,,,,
Tuvalu,2007/08, - , - , - , - , - , - , - , - , - , - , - , - ,    67 ,
,2008/09, - , - , - , - , - , - , - , - , - , - , - , - ,    47 ,
,2009/10, - , - , - , - , - , - , - , - , - , - , - , - ,    548 ,
,2010/11, - , - , - , - , - , - , - , - , - , - ,    28 ,    28 ,    219 ,
,2011/12, - , - , - , - , - , - , - , - , - , - ,    51 ,    51 , .. ,
,,,,,,,,,,,,,,,
Vanuatu 4,2007/08, - , - , - , - , - , - , - , - , - , - ,    19 ,    19 ,    497 ,
,2008/09, - , - , - , - , - , - , - , - ,    33 ,    33 ,    18 ,    51 ,    112 ,
,2009/10, - , - , - , - , - , - , - , - ,    40 ,    40 ,    22 ,    62 ,   1 070 ,
,2010/11, - , - , - , - , - , - , - , - ,    42 ,    42 ,    17 ,    58 ,    60 ,
,2011/12,,,,,,,,,    42 ,    42 ,    31 ,    73 , .. ,
,,,,,,,,,,,,,,,
Wallis & Fortuna,2007/08, - , - , - , - , - , - , - , - , - , - , - , - ,   1 574 ,
,2008/09, - , - , - , - , - , - , - , - , - , - , - , - , - ,
,2009/10, - , - , - , - , - , - , - , - , - , - , - , - , - ,
,2010/11, - , - , - , - , - , - , - , - , - , - , - , - , - ,
,2011/12, - , - , - , - , - , - , - , - , - , - ,, - , .. ,
