Prosecution Outcomes,2007 - 08 Volume,2007 - 08 Percentage,2008 - 09 Volume,2008 - 09 Percentage,2009 - 10 Volume,2009 - 10 Percentage,2010 - 11 Volume,2010 - 11 Percentage,2011 - 12 Volume,2011 - 12 Percentage,2012 - 13 Volume,2012 - 13 Percentage
"Prosecutions Dropped inc. discontinued, no evidence offered & withdrawn",1140,14.02%,985,12.41%,894,11.21%,1069,12.06%,975,11.70%,762,9.81%
of which - no evidence offered,636,7.82%,551,6.94%,489,6.13%,639,7.21%,571,6.85%,468,6.02%
Dismissed after full trial,195,2.40%,148,1.87%,137,1.72%,152,1.72%,130,1.56%,123,1.58%
Judge directed acquittal,70,0.86%,63,0.79%,61,0.77%,75,0.85%,58,0.70%,39,0.50%
Jury acquittal,631,7.76%,663,8.36%,709,8.89%,853,9.63%,774,9.29%,780,10.04%
All Other Unsuccessful Outcomes,118,1.45%,120,1.51%,111,1.39%,125,1.41%,89,1.07%,96,1.24%
Unsuccessful Outcomes,2154,26.49%,1979,24.94%,1912,23.98%,2274,25.66%,2026,24.31%,1800,23.16%
Guilty plea,4746,58.38%,4909,61.87%,5048,63.32%,5389,60.81%,5253,63.03%,4879,62.78%
Conviction after trial,1210,14.88%,1036,13.06%,1007,12.63%,1192,13.45%,1038,12.46%,1081,13.91%
Proved in absence,20,0.25%,10,0.13%,5,0.06%,7,0.08%,17,0.20%,11,0.14%
Convictions,5976,73.51%,5955,75.06%,6060,76.02%,6588,74.34%,6308,75.69%,5971,76.84%
Total Prosecutions,8130,100.00%,7934,100.00%,7972,100.00%,8862,100.00%,8334,100.00%,7771,100.00%
