Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,GLOBAL DOORS LTD,74342,1456.60,,WF5 9SQ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,AQB POOLS LTD T/A BAPTISTRYUK,74343,127.75,,BD18 3BX,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,SEE I RESEARCH & PLANNING,74358,781.05,,N3 3PT,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,BIG BUDDHA FILMS,74367,140.50,,S1 2BX,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,13/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,WILLIAM BLISS & SON,74370,1816.36,,CH3 6LA,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,14/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,MINDSHARE MEDIA UK LTD,74372,160.14,,WC2H 8AR,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,14/01/2015,Corporate Event Management and Marketing-Great Campaign Events,Marketing & Communications - Communications,MINDSHARE MEDIA UK LTD,74372,5145.18,,WC2H 8AR,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,FILL N SQUEEZE LTD,74377,1860.00,,HA9 8PY,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,RESEARCH INFORMATION LTD,74380,932.84,,SL1 8DF,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,AIRDRI LTD,74384,3000.00,,OX29 4AQ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,PEGASUS CONSULTANCY SERVICES LTD,74387,1194.67,,NN13 5PA,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,CGC TECHNOLOGY LTD,74389,3000.00,,GU10 4PL,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,PEGASUS CONSULTANCY SERVICES LTD,74391,1805.33,,NN13 5PA,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,SHOPPERTRAK RCT LTD,74392,2800.39,,NW1 3ER,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,THE COMPLETELY GROUP LTD,74394,402.01,,GU2 9JX,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,MORRCK LTD,74395,270.00,,MK11 1DA,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,SOKEN ENGINEERING,74397,721.48,,MK2 3HU,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,THE PKL GROUP,74400,2368.61,,GL52 7DQ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,EUROPEAN CONNOISSEURS TRAVEL,74401,3000.00,,BA2 3BZ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,OLYMPUS AUTOMATION LTD,74402,2325.45,,PE2 6YN,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,RANIER TECHNOLOGY LTD,74403,3000.00,,CB5 8AA,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,AGEWELL BIOMETRICS LTD,74404,1625.00,,CB1 3HY,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,CON AIR MARKETING,74405,843.75,,CB8 7EP,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,DRUGLOO (UK) LTD,74406,3000.00,,CO1 1BX,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ALLEN BROTHERS (FITTINGS) LTD,74409,1770.87,,CM0 7EH,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,HAYWARD TYLER LTD,74413,2536.11,,LU1 3LD,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,TEES COMPONENTS LTD,74480,3000.00,,TS12 2AP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,WASTE2RESOURCE LTD,74481,331.23,,TF10 8HL,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,PROPPA TOPPA,74482,2000.00,,SY11 3BX,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,08/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,PRAYBOURNE LTD,74483,450.00,,B98 9HF,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA RESOURCING LTD,74496,1086.78,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA RESOURCING LTD,74502,810.96,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA RESOURCING LTD,74502,986.64,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA RESOURCING LTD,74504,1707.78,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA RESOURCING LTD,74506,1797.60,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,05/01/2015,Hire of Agency Staff-Business Opportunities,Trade Group - Service Delivery,BROOK STREET (UK) LTD,74605,856.80,,AL1 4ZX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/01/2015,Mobile Phones-Trade Development Support,Trade Group - Partnerships & Business,VODAFONE LTD,74610,4.80,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
