Site ID,Site,Analysis area,Surface,Size (m),Year provided/ resurfaced,Quality
42,The Halifax Academy,Halifax North and East,Sand filled,100 x 55,2005,Standard
89,Park Lane High,Halifax Central,Sand filled,100 x 60,2006,Standard
89,Park Lane High,Halifax Central,Sand dressed,100 x 60,2006,Good
91,Rastrick High School Sports Centre,Lower Valley,Sand filled,100 x 60,2013,Standard
99,Ryburn Valley High School,Upper Valley,Sand filled,100 x 60,2004,Standard
