post_date,Category, Spend (£) 
2/3/2014,Airlines/Travel,747.00
2/3/2014,Airlines/Travel,4226.72
2/3/2014,Airlines/Travel,4226.72
2/3/2014,Airlines/Travel,3223.32
2/3/2014,Airlines/Travel,2751.83
2/3/2014,Airlines/Travel,2751.83
2/3/2014,Airlines/Travel,3223.32
2/3/2014,Airlines/Travel,2751.83
2/3/2014,Airlines/Travel,1718.61
2/3/2014,Airlines/Travel,3093.85
2/3/2014,Airlines/Travel,3093.85
2/3/2014,Furniture/Equip Stores,1561.38
2/3/2014,Lumber/Build. Supply Stores,737.46
2/3/2014,Electrical Parts/Equipment,508.06
2/3/2014,Computer Program/Sys Design,1138.03
2/3/2014,Hotels,814.25
2/3/2014,Hotels,1719.09
2/3/2014,Hotels,668.30
2/3/2014,Hotels,755.40
2/3/2014,Hotels,621.90
2/3/2014,Hotels,534.86
2/3/2014,Hotels,1798.05
2/3/2014,Hotels,521.10
2/3/2014,Airlines/Travel,810.65
2/3/2014,Hotels,542.59
2/3/2014,Hotels,560.00
2/3/2014,Electrical Parts/Equipment,1222.76
2/3/2014,Electrical Parts/Equipment,1136.98
2/3/2014,Electrical Parts/Equipment,1332.00
2/3/2014,Computers/Peripherals/Software,788.19
2/3/2014,Hotels,924.10
2/3/2014,Airlines/Travel,1013.76
2/3/2014,Hotels,625.37
2/3/2014,Business Services ,1499.88
2/3/2014,Airlines/Travel,4740.15
2/3/2014,Airlines/Travel,-4740.15
2/3/2014,Electrical Parts/Equipment,1426.57
2/3/2014,"Heating, Plumbing, Air Cond",617.42
2/3/2014,Computers/Peripherals/Software,1312.10
2/3/2014,Computer Program/Sys Design,1138.03
2/3/2014,Electrical Parts/Equipment,576.50
2/3/2014,Airlines/Travel,1292.16
2/4/2014,Electrical Parts/Equipment,1008.00
2/4/2014,Electrical Parts/Equipment,1109.38
2/4/2014,Electrical Parts/Equipment,1480.80
2/4/2014,Electrical Parts/Equipment,554.40
2/4/2014,Airlines/Travel,3192.79
2/4/2014,Hotels,592.75
2/4/2014,Hotels,627.44
2/4/2014,Computers/Peripherals/Software,637.20
2/4/2014,Industrial Supplies ,775.80
2/4/2014,Industrial Supplies ,775.80
2/4/2014,Airlines/Travel,4991.00
2/4/2014,Hotels,1385.14
2/4/2014,Electrical Parts/Equipment,700.91
