Sent for Payment Date,Approved Amount (rpt),Category Level 1
07/02/2018,500.00,"Advertising, Marketing & Media"
07/02/2018,500.00,"Advertising, Marketing & Media"
23/02/2018,500.00,"Travel, venue hire and exhibition services"
19/02/2018,504.77,Facilities
01/02/2018,508.80,"Travel, venue hire and exhibition services"
17/02/2018,508.98,"Travel, venue hire and exhibition services"
15/02/2018,510.26,"Advertising, Marketing & Media"
20/02/2018,511.02,"Travel, venue hire and exhibition services"
27/02/2018,513.55,IT & Telecoms
15/02/2018,514.19,"Travel, venue hire and exhibition services"
07/02/2018,515.41,Facilities
14/02/2018,516.11,Facilities
28/02/2018,519.59,"Advertising, Marketing & Media"
19/02/2018,520.00,"Travel, venue hire and exhibition services"
12/02/2018,520.72,"Travel, venue hire and exhibition services"
23/02/2018,521.00,"Travel, venue hire and exhibition services"
23/02/2018,521.33,"Travel, venue hire and exhibition services"
25/02/2018,521.83,"Travel, venue hire and exhibition services"
15/02/2018,524.68,"Travel, venue hire and exhibition services"
15/02/2018,524.70,"Travel, venue hire and exhibition services"
02/02/2018,526.32,"Travel, venue hire and exhibition services"
28/02/2018,527.60,"Advertising, Marketing & Media"
21/02/2018,534.00,Human Resources
06/02/2018,534.00,Human Resources
02/02/2018,536.99,"Travel, venue hire and exhibition services"
05/02/2018,547.26,IT & Telecoms
19/02/2018,547.47,"Travel, venue hire and exhibition services"
05/02/2018,549.05,IT & Telecoms
16/02/2018,550.00,"Advertising, Marketing & Media"
05/02/2018,553.49,IT & Telecoms
07/02/2018,554.28,Facilities
17/02/2018,555.71,"Travel, venue hire and exhibition services"
02/02/2018,559.00,Human Resources
04/02/2018,559.58,"Travel, venue hire and exhibition services"
03/02/2018,559.78,"Travel, venue hire and exhibition services"
26/02/2018,561.07,Facilities
05/02/2018,563.66,"Travel, venue hire and exhibition services"
05/02/2018,565.83,"Travel, venue hire and exhibition services"
28/02/2018,566.67,"Advertising, Marketing & Media"
02/02/2018,566.70,"Travel, venue hire and exhibition services"
28/02/2018,567.31,"Advertising, Marketing & Media"
05/02/2018,567.49,IT & Telecoms
05/02/2018,568.99,IT & Telecoms
20/02/2018,569.00,IT & Telecoms
19/02/2018,584.32,Facilities
12/02/2018,584.47,IT & Telecoms
28/02/2018,584.73,"Advertising, Marketing & Media"
15/02/2018,595.50,"Advertising, Marketing & Media"
15/02/2018,598.06,IT & Telecoms
26/02/2018,598.71,"Travel, venue hire and exhibition services"
15/02/2018,598.97,"Advertising, Marketing & Media"
23/02/2018,602.82,"Travel, venue hire and exhibition services"
18/02/2018,605.16,"Travel, venue hire and exhibition services"
23/02/2018,607.81,"Travel, venue hire and exhibition services"
06/02/2018,608.95,"Travel, venue hire and exhibition services"
20/02/2018,610.61,IT & Telecoms
26/02/2018,611.55,"Travel, venue hire and exhibition services"
26/02/2018,636.00,"Travel, venue hire and exhibition services"
19/02/2018,640.30,"Travel, venue hire and exhibition services"
27/02/2018,647.07,"Travel, venue hire and exhibition services"
19/02/2018,676.00,"Travel, venue hire and exhibition services"
19/02/2018,683.50,Human Resources
05/02/2018,684.18,"Travel, venue hire and exhibition services"
17/02/2018,688.34,"Travel, venue hire and exhibition services"
17/02/2018,693.23,"Travel, venue hire and exhibition services"
27/02/2018,700.67,"Travel, venue hire and exhibition services"
02/02/2018,708.48,"Travel, venue hire and exhibition services"
26/02/2018,708.67,Facilities
19/02/2018,716.40,Human Resources
27/02/2018,718.72,"Travel, venue hire and exhibition services"
