Date,Mentions,Engagements
2016-03-01,48,85
2016-03-02,57,61
2016-03-03,34,88
2016-03-04,74,196
2016-03-05,48,76
2016-03-06,26,45
2016-03-07,59,92
2016-03-08,61,138
2016-03-09,46,42
2016-03-10,89,67
2016-03-11,45,79
2016-03-12,19,37
2016-03-13,13,20
2016-03-14,37,49
2016-03-15,61,93
2016-03-16,58,43
2016-03-17,46,60
2016-03-18,26,30
2016-03-19,7,6
2016-03-20,6,3
2016-03-21,22,33
2016-03-22,19,40
2016-03-23,43,77
2016-03-24,42,50
2016-03-25,15,50
2016-03-26,5,22
2016-03-27,2,5
2016-03-28,3,1
2016-03-29,24,35
2016-03-30,37,74
2016-03-31,54,89
2016-04-01,27,60
2016-04-02,15,16
2016-04-03,10,8
2016-04-04,27,47
2016-04-05,19,38
2016-04-06,23,44
2016-04-07,18,37
2016-04-08,27,29
2016-04-09,11,28
2016-04-10,9,20
2016-04-11,29,28
2016-04-12,12,12
2016-04-13,39,32
2016-04-14,40,57
2016-04-15,25,46
2016-04-16,18,33
2016-04-17,4,10
2016-04-18,16,20
2016-04-19,16,56
2016-04-20,25,58
2016-04-21,32,25
2016-04-22,27,34
2016-04-23,15,19
2016-04-24,12,5
2016-04-25,56,73
2016-04-26,32,137
2016-04-27,37,99
2016-04-28,81,178
2016-04-29,62,122
2016-04-30,32,41
2016-05-01,24,49
2016-05-02,12,27
2016-05-03,27,38
2016-05-04,16,28
2016-05-05,17,21
2016-05-06,32,15
2016-05-07,7,1
2016-05-08,7,4
2016-05-09,24,13
2016-05-10,35,37
2016-05-11,14,23
2016-05-12,50,49
2016-05-13,50,53
2016-05-14,26,46
2016-05-15,59,17
2016-05-16,29,34
2016-05-17,34,32
2016-05-18,18,50
2016-05-19,16,27
2016-05-20,41,47
2016-05-21,17,14
2016-05-22,10,17
2016-05-23,35,76
2016-05-24,21,42
2016-05-25,33,40
2016-05-26,36,51
2016-05-27,28,38
2016-05-28,18,20
2016-05-29,7,11
2016-05-30,14,5
2016-05-31,27,32
2016-06-01,36,41
2016-06-02,22,46
2016-06-03,23,49
2016-06-04,1,4
2016-06-05,16,8
2016-06-06,12,7
2016-06-07,34,22
2016-06-08,20,20
2016-06-09,30,24
2016-06-10,20,71
2016-06-11,16,6
2016-06-12,7,14
2016-06-13,17,42
2016-06-14,21,40
2016-06-15,22,36
2016-06-16,29,25
2016-06-17,14,49
2016-06-18,13,30
2016-06-19,11,19
2016-06-20,31,50
2016-06-21,28,35
2016-06-22,25,36
2016-06-23,52,148
2016-06-24,16,17
2016-06-25,7,11
2016-06-26,12,4
2016-06-27,26,44
2016-06-28,33,48
2016-06-29,41,46
2016-06-30,33,48
2016-07-01,42,36
2016-07-02,10,12
2016-07-03,20,13
2016-07-04,235,303
2016-07-05,57,90
2016-07-06,109,208
2016-07-07,81,201
2016-07-08,107,202
2016-07-09,26,64
2016-07-10,44,66
2016-07-11,44,61
2016-07-12,20,61
2016-07-13,31,44
2016-07-14,20,41
2016-07-15,18,13
2016-07-16,5,1
2016-07-17,9,5
2016-07-18,34,114
2016-07-19,30,73
2016-07-20,24,43
2016-07-21,34,50
2016-07-22,22,57
2016-07-23,11,15
2016-07-24,22,12
2016-07-25,28,34
2016-07-26,53,34
2016-07-27,32,43
2016-07-28,44,71
2016-07-29,56,76
2016-07-30,18,20
2016-07-31,11,24
2016-08-01,50,62
2016-08-02,19,40
2016-08-03,19,29
2016-08-04,45,23
2016-08-05,24,24
2016-08-06,8,6
2016-08-07,12,8
2016-08-08,30,30
2016-08-09,30,47
2016-08-10,12,50
2016-08-11,18,23
2016-08-12,31,31
2016-08-13,13,39
2016-08-14,11,36
2016-08-15,18,20
2016-08-16,30,46
2016-08-17,15,11
2016-08-18,14,25
2016-08-19,54,32
2016-08-20,11,7
2016-08-21,14,9
2016-08-22,18,35
2016-08-23,18,15
2016-08-24,37,37
2016-08-25,137,112
2016-08-26,73,116
2016-08-27,113,89
