ExtractDate,OrganisationURI,OrganisationLabel,ServiceTypeURI,ServiceTypeLabel,MonthOfClaim,MonthPaid,ExpenseType,Amount
25/10/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1656,Staff- busines travel,Aug-16,Sep-16,Car mileage,7132.34
25/10/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1656,Staff- busines travel,Aug-16,Sep-16,Essential user lump sum,7847.86
25/10/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1656,Staff- busines travel,Aug-16,Sep-16,Rail Equivalent (car used but paid second class rail fare),29.9
25/10/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1656,Staff- busines travel,Aug-16,Sep-16,Public Transport,80.6
25/10/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1727,Staff - expenses,Aug-16,Sep-16,Subsistance,0
25/10/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1028,Members - allowances,Aug-16,Sep-16,Car mileage,1007.1
25/10/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1028,Members - allowances,Aug-16,Sep-16,Public Transport,10.9
25/10/2016,http://opendatacommunities.org/id/district-council/south-lakeland,South Lakeland,http://id.esd.org.uk/service/1028,Members - allowances,Aug-16,Sep-16,Subsistance,0
