Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Defence,Ministerial Department,Ministry of Defence,10372,9915.848108,5546,5421.261081,7924,7772.921892,1373,1352.058919,171,168.4945946,12204,11831.46649,"37,590","36,462",107.7303754,107.7316705,187.2696246,186.3883295,175,174.1689189,40,39.02702703,510,507.3159459,"38,100","36,969","£90,755,000",£0,£0,"£3,692,000","£15,716,000","£7,464,000","£117,627,000","£6,823,000","£7,095,000","£13,918,000","£131,545,000",
Ministry of Defence Defence Equipment and Support,Trading Entity,Ministry of Defence,899,842.2167568,1589,1540.756486,5279,5171.874054,1105,1096.708919,77,76.11081081,1794,1775.482432,"10,743","10,503",89.26996198,88.65069323,183.730038,182.7993068,10,10,1,1,284,282.45,11027,10785.59946,"£29,597,000",£0,£0,"£818,000","£5,427,000","£2,403,000","£38,245,000","£3,558,000","£6,694,000",10252000,48497000,
Defence Science and Technology Laboratory,Executive Agency,Ministry of Defence,176,171.09,231,220.12,1818,1746.26,1514,1444.23,35,32.14,0,0,"3,774","3,614",1,1,0,0,158,151.1,0,0,159,152.1,"3,933","3,766","£11,114,378","£96,583",£0,"£426,964","£2,202,948","£999,516","£14,840,389","£1,208,325",,"£1,208,325","£16,048,715",31/03/2015
Defence Support Group,Executive Agency,Ministry of Defence,1527,1499.96,576,564.01,284,280.46,50,49.43,4,4,0,0,"2,441","2,398",284,282.75,5,5,0,0,0,0,289,287.75,"2,730","2,686","£4,751,093","£39,222","£2,930,851","£385,520","£937,184","£738,409","£9,782,278","£776,010",£0,"£776,010","£10,558,288",
UK Hydrographic Office,Executive Agency,Ministry of Defence,141,138.21,324,306.47,446,428.63,74,73.41,4,4,0,0,989,950.72,28,28,0,0,52,51.2,0,0,80,79.2,"1,069","1,030","£2,763,195","£60,120","£404,142","£91,824","£516,557","£288,149","£4,123,986",,,£0,"£4,123,986",
Royal Air Force Museum,Executive Non-Departmental Public Body,Ministry of Defence,181,170,0,0,0,0,0,0,0,0,0,0,181,170,0,0,0,0,0,0,2,2,2,2,183,172,360604,6486,0,8040,18308,33906,"£427,344",,10444,"£10,444","£437,788",
National Army Museum,Executive Non-Departmental Public Body,Ministry of Defence,0,0,0,0,3,3,4,4,1,1,35,33.03,43,41.03,0,0,0,0,0,0,0,0,0,0,43,41.03,"£124,700","£9,290",0,0,"£26,662","£11,419","£172,071",£0,£0,£0,"£172,071",
National Museum of the Royal Navy,OTHER,Ministry of Defence,31,26,24,23,18,18,3,3,1,1,0,0,77,71,0,0,0,0,0,0,0,0,0,0,77,71,184471.74,194.27,0,176.39,12948.12,16629.81,"£214,420",0,0,£0,"£214,420",
