Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AnteMortem,Abnormal Respiratory Signs,2017-10,England,11,3772,73,0.292
Goats,AnteMortem,Abnormal Respiratory Signs,2017-11,England,5,1322,70,0.378
Goats,AnteMortem,Abnormal Respiratory Signs,2017-12,England,6,1063,55,0.564
Goats,AnteMortem,Dead in Lairage (DIL),2017-10,England,1,3772,73,0.027
Goats,AnteMortem,Dead in Lairage (DIL),2017-11,England,2,1322,70,0.151
Goats,AnteMortem,Dead in Lairage (DIL),2017-12,England,2,1063,55,0.188
Goats,AnteMortem,Emaciation,2017-11,England,10,1322,70,0.756
Goats,AnteMortem,Emaciation,2017-12,England,1,1063,55,0.094
Goats,AnteMortem,Eye Condition,2017-10,England,7,3772,73,0.186
Goats,AnteMortem,Eye Condition,2017-11,England,2,1322,70,0.151
Goats,AnteMortem,Lameness - Foot Lesion(s),2017-10,England,5,3772,73,0.133
Goats,AnteMortem,Lameness - Foot Lesion(s),2017-11,England,3,1322,70,0.227
Goats,AnteMortem,Lameness - Foot Lesion(s),2017-12,England,6,1063,55,0.564
Goats,AnteMortem,Lameness - Foot Lesion(s),2017-12,Wales,1,11,2,9.091
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2017-10,England,7,3772,73,0.186
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2017-11,England,1,1322,70,0.076
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2017-10,Wales,1,39,6,2.564
Goats,AnteMortem,Lameness - Not Defined,2017-10,England,34,3772,73,0.901
Goats,AnteMortem,Lameness - Not Defined,2017-11,England,1,1322,70,0.076
Goats,AnteMortem,Lameness - Not Defined,2017-12,England,2,1063,55,0.188
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2017-10,England,2,3772,73,0.053
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2017-11,England,2,1322,70,0.151
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2017-12,England,1,1063,55,0.094
Goats,AnteMortem,Mastitis,2017-10,England,3,3772,73,0.08
Goats,AnteMortem,Mastitis,2017-11,England,1,1322,70,0.076
Goats,AnteMortem,Mastitis,2017-12,England,1,1063,55,0.094
Goats,AnteMortem,Moribund/ Recumbent,2017-10,England,2,3772,73,0.053
Goats,AnteMortem,Moribund/ Recumbent,2017-11,England,3,1322,70,0.227
Goats,AnteMortem,Moribund/ Recumbent,2017-12,England,2,1063,55,0.188
Goats,AnteMortem,Other *,2017-10,England,2,3772,73,0.053
Goats,AnteMortem,Skin Condition,2017-10,England,10,3772,73,0.265
Goats,AnteMortem,Skin Condition,2017-12,England,1,1063,55,0.094
Goats,AnteMortem,Skin Condition,2017-10,Wales,1,39,6,2.564
Goats,Carcase,Abscess Forequarters,2017-10,England,55,3772,73,1.458
Goats,Carcase,Abscess Forequarters,2017-11,England,56,1322,70,4.236
Goats,Carcase,Abscess Forequarters,2017-12,England,41,1063,55,3.857
Goats,Carcase,Abscess Hindquarters,2017-10,England,47,3772,73,1.246
Goats,Carcase,Abscess Hindquarters,2017-11,England,7,1322,70,0.53
Goats,Carcase,Abscess Hindquarters,2017-12,England,12,1063,55,1.129
Goats,Carcase,Abscess Neck,2017-10,England,68,3772,73,1.803
Goats,Carcase,Abscess Neck,2017-11,England,7,1322,70,0.53
Goats,Carcase,Bruising ??? Traumatic,2017-10,England,3,3772,73,0.08
Goats,Carcase,Bruising ??? Wool Pull,2017-10,England,2,3772,73,0.053
Goats,Carcase,Contamination,2017-10,England,78,3772,73,2.068
Goats,Carcase,Contamination,2017-11,England,7,1322,70,0.53
Goats,Carcase,Contamination,2017-12,England,4,1063,55,0.376
Goats,Carcase,Cysticercus ovis (Carcase),2017-10,England,2,3772,73,0.053
Goats,Carcase,Cysticercus ovis (Carcase),2017-12,England,1,1063,55,0.094
Goats,Carcase,Joint Lesions,2017-10,England,14,3772,73,0.371
Goats,Carcase,Joint Lesions,2017-11,England,3,1322,70,0.227
Goats,Carcase,Joint Lesions,2017-12,England,3,1063,55,0.282
Goats,Carcase,Other,2017-10,England,16,3772,73,0.424
Goats,Carcase,Other,2017-11,England,8,1322,70,0.605
Goats,Carcase,Other,2017-12,England,8,1063,55,0.753
Goats,Offal,Contamination,2017-10,England,17,3772,73,0.451
Goats,Offal,Contamination,2017-11,England,13,1322,70,0.983
Goats,Offal,Cysticercus ovis (Offal),2017-10,England,3,3772,73,0.08
Goats,Offal,Cysticercus ovis (Offal),2017-11,England,1,1322,70,0.076
Goats,Offal,Cysticercus ovis (Offal),2017-12,England,8,1063,55,0.753
Goats,Offal,Cysticercus tenuicollis,2017-10,England,252,3772,73,6.681
Goats,Offal,Cysticercus tenuicollis,2017-11,England,18,1322,70,1.362
Goats,Offal,Cysticercus tenuicollis,2017-12,England,11,1063,55,1.035
Goats,Offal,Fluke Immature,2017-10,England,22,3772,73,0.583
Goats,Offal,Fluke Immature,2017-11,England,1,1322,70,0.076
Goats,Offal,Fluke Immature,2017-12,England,3,1063,55,0.282
Goats,Offal,Fluke Mature,2017-10,England,162,3772,73,4.295
Goats,Offal,Fluke Mature,2017-11,England,7,1322,70,0.53
Goats,Offal,Fluke Mature,2017-12,England,17,1063,55,1.599
Goats,Offal,Historic Liver Scarring,2017-10,England,12,3772,73,0.318
Goats,Offal,Historic Liver Scarring,2017-11,England,4,1322,70,0.303
Goats,Offal,Historic Liver Scarring,2017-12,England,4,1063,55,0.376
Goats,Offal,Historic Liver Scarring,2017-11,Wales,1,23,4,4.348
Goats,Offal,Hydatid Cyst,2017-10,England,7,3772,73,0.186
Goats,Offal,Hydatid Cyst,2017-11,England,1,1322,70,0.076
Goats,Offal,Lung Abscesses,2017-10,England,7,3772,73,0.186
Goats,Offal,Lung Abscesses,2017-11,England,1,1322,70,0.076
Goats,Offal,Lung Abscesses,2017-12,England,2,1063,55,0.188
Goats,Offal,Lung Abscesses,2017-11,Wales,1,23,4,4.348
Goats,Offal,Lung Worm ,2017-10,England,88,3772,73,2.333
Goats,Offal,Lung Worm ,2017-11,England,16,1322,70,1.21
Goats,Offal,Lung Worm ,2017-12,England,6,1063,55,0.564
Goats,Offal,Lung Worm ,2017-10,Wales,14,39,6,35.897
Goats,Offal,Other,2017-10,England,15,3772,73,0.398
Goats,Offal,Other,2017-11,England,10,1322,70,0.756
Goats,Offal,Other,2017-12,England,4,1063,55,0.376
Goats,Offal,Pneumonia Mycoplasma Like,2017-10,England,64,3772,73,1.697
Goats,Offal,Pneumonia Mycoplasma Like,2017-11,England,38,1322,70,2.874
Goats,Offal,Pneumonia Mycoplasma Like,2017-12,England,30,1063,55,2.822
Goats,Offal,Pneumonia Mycoplasma Like,2017-11,Wales,1,23,4,4.348
Goats,Offal,Pneumonia Pasteurella Like,2017-10,England,24,3772,73,0.636
Goats,Offal,Pneumonia Pasteurella Like,2017-11,England,12,1322,70,0.908
Goats,Offal,Pneumonia Pasteurella Like,2017-12,England,4,1063,55,0.376
Goats,Total Rejection,Cysticercus ovis (Generalised),2017-10,England,1,3772,73,0.027
Goats,Total Rejection,Emaciation/Generalised Oedema,2017-10,England,3,3772,73,0.08
Goats,Total Rejection,Emaciation/Generalised Oedema,2017-11,England,2,1322,70,0.151
Goats,Total Rejection,Multiple Abscesses/Pyaemia,2017-10,England,2,3772,73,0.053
Goats,Total Rejection,Multiple Abscesses/Pyaemia,2017-11,England,3,1322,70,0.227
Goats,Total Rejection,Multiple Abscesses/Pyaemia,2017-12,England,1,1063,55,0.094
Goats,Total Rejection,Other,2017-10,England,1,3772,73,0.027
Goats,Total Rejection,Other,2017-11,England,2,1322,70,0.151
Goats,Total Rejection,Septicaemia/Fever,2017-10,England,1,3772,73,0.027
Goats,Total Rejection,Septicaemia/Fever,2017-11,England,1,1322,70,0.076
Sheep,AnteMortem,Abnormal Respiratory Signs,2017-10,England,5402,795335,146,0.679
Sheep,AnteMortem,Abnormal Respiratory Signs,2017-11,England,5976,799613,146,0.747
Sheep,AnteMortem,Abnormal Respiratory Signs,2017-12,England,8102,839444,143,0.965
Sheep,AnteMortem,Abnormal Respiratory Signs,2017-10,Wales,1026,363721,19,0.282
Sheep,AnteMortem,Abnormal Respiratory Signs,2017-11,Wales,1790,299865,19,0.597
Sheep,AnteMortem,Abnormal Respiratory Signs,2017-12,Wales,1155,230189,18,0.502
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2017-10,England,59,795335,146,0.007
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2017-11,England,59,799613,146,0.007
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2017-12,England,40,839444,143,0.005
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2017-12,Wales,6,230189,18,0.003
Sheep,AnteMortem,Abnormal Swelling (e.g.Bloat) ,2017-10,England,21,795335,146,0.003
Sheep,AnteMortem,Dead in Lairage (DIL),2017-10,England,220,795335,146,0.028
Sheep,AnteMortem,Dead in Lairage (DIL),2017-11,England,205,799613,146,0.026
Sheep,AnteMortem,Dead in Lairage (DIL),2017-12,England,221,839444,143,0.026
Sheep,AnteMortem,Dead in Lairage (DIL),2017-10,Wales,32,363721,19,0.009
Sheep,AnteMortem,Dead in Lairage (DIL),2017-11,Wales,22,299865,19,0.007
Sheep,AnteMortem,Dead in Lairage (DIL),2017-12,Wales,19,230189,18,0.008
Sheep,AnteMortem,Dead on Arrival (DOA),2017-10,England,60,795335,146,0.008
Sheep,AnteMortem,Dead on Arrival (DOA),2017-11,England,47,799613,146,0.006
Sheep,AnteMortem,Dead on Arrival (DOA),2017-12,England,153,839444,143,0.018
Sheep,AnteMortem,Dead on Arrival (DOA),2017-10,Wales,18,363721,19,0.005
Sheep,AnteMortem,Dead on Arrival (DOA),2017-11,Wales,25,299865,19,0.008
Sheep,AnteMortem,Dead on Arrival (DOA),2017-12,Wales,12,230189,18,0.005
Sheep,AnteMortem,Dermatitis,2017-10,England,3,795335,146,0
Sheep,AnteMortem,Emaciation,2017-10,England,130,795335,146,0.016
Sheep,AnteMortem,Emaciation,2017-11,England,117,799613,146,0.015
Sheep,AnteMortem,Emaciation,2017-12,England,114,839444,143,0.014
Sheep,AnteMortem,Emaciation,2017-12,Wales,4,230189,18,0.002
Sheep,AnteMortem,Emergency Slaughter on Farm ,2017-10,England,15,795335,146,0.002
Sheep,AnteMortem,Eye Condition,2017-10,England,571,795335,146,0.072
Sheep,AnteMortem,Eye Condition,2017-11,England,640,799613,146,0.08
Sheep,AnteMortem,Eye Condition,2017-12,England,998,839444,143,0.119
Sheep,AnteMortem,Eye Condition,2017-10,Wales,133,363721,19,0.037
Sheep,AnteMortem,Eye Condition,2017-11,Wales,82,299865,19,0.027
Sheep,AnteMortem,Eye Condition,2017-12,Wales,47,230189,18,0.02
Sheep,AnteMortem,Fever,2017-10,England,3,795335,146,0
Sheep,AnteMortem,Fever,2017-11,England,9,799613,146,0.001
Sheep,AnteMortem,Fever,2017-12,England,5,839444,143,0.001
Sheep,AnteMortem,Lameness - Foot Lesion(s),2017-10,England,2251,795335,146,0.283
Sheep,AnteMortem,Lameness - Foot Lesion(s),2017-11,England,4126,799613,146,0.516
Sheep,AnteMortem,Lameness - Foot Lesion(s),2017-12,England,6423,839444,143,0.765
Sheep,AnteMortem,Lameness - Foot Lesion(s),2017-10,Wales,636,363721,19,0.175
Sheep,AnteMortem,Lameness - Foot Lesion(s),2017-11,Wales,733,299865,19,0.244
Sheep,AnteMortem,Lameness - Foot Lesion(s),2017-12,Wales,433,230189,18,0.188
Sheep,AnteMortem,Lameness ??? Foot Lesion(s),2017-10,England,6,795335,146,0.001
Sheep,AnteMortem,Lameness ??? Foot Lesion(s),2017-12,England,2,839444,143,0
Sheep,AnteMortem,Lameness - Joint/Leg Lesion(s),2017-10,England,937,795335,146,0.118
Sheep,AnteMortem,Lameness - Joint/Leg Lesion(s),2017-11,England,1132,799613,146,0.142
Sheep,AnteMortem,Lameness - Joint/Leg Lesion(s),2017-12,England,1263,839444,143,0.15
Sheep,AnteMortem,Lameness - Joint/Leg Lesion(s),2017-10,Wales,54,363721,19,0.015
Sheep,AnteMortem,Lameness - Joint/Leg Lesion(s),2017-11,Wales,122,299865,19,0.041
Sheep,AnteMortem,Lameness - Joint/Leg Lesion(s),2017-12,Wales,57,230189,18,0.025
Sheep,AnteMortem,Lameness ??? Joint/Leg Lesion(s),2017-10,England,2,795335,146,0
Sheep,AnteMortem,Lameness - Not Defined,2017-10,England,3104,795335,146,0.39
