Minister,Date,Gift,Given or received,Who gift was given to or received from,Value (£),"Outcome 
(received gifts only)",
Amber Rudd,April,Nil Return,,,,,
,May,Nil Return,,,,,
,June,Nil Return,,,,,
Brandon Lewis,April,Nil Return,,,,,
,May,Nil Return,,,,,
,June,Nil Return,,,,,
Ben Wallace,April,Nil Return,,,,,
,May,Nil Return,,,,,
,June ,Nil Return,,,,,
Sarah Newton,April,Nil Return,,,,,
,May,Nil Return,,,,,
,June,Nil Return,,,,,
Baroness Williams,April ,Nil Return,,,,,
,May,Nil Return,,,,,
,June ,Nil Return,,,,,
Robert Goodwill,April,Nil Return,,,,,
,May,Nil Return,,,,,
Nick Hurd,June ,Nil Return,,,,,
