aacode,adults,backplotdepth,backplotwidth,buildyear,builtformtype,children,dwellingcaseweight,grndfloortype,frontplotdepth,frontplotwidth,hasaccesstooutsidespace,hasdraftlobby,hasloft,householdcaseweight,livingareafaction,morphologytype,numofhabitalrooms,numofbedrooms,ongasgrid,partlyownsroof,regiontype,tenuretype
BEIS01,2,10,17,1980,Detached,0,800,suspendedtimber,10,10,TRUE,FALSE,TRUE,795,0,townandfringe,6,4,TRUE,TRUE,eastmidlands,OwnerOccupied
BEIS02,2,6,9,1968,SemiDetached,3,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,6,3,TRUE,FALSE,eastmidlands,PrivateRented
BEIS03,2,12,11,2001,Detached,0,800,solid,1,1,TRUE,FALSE,TRUE,795,0,townandfringe,6,4,TRUE,TRUE,eastmidlands,OwnerOccupied
BEIS04,2,8,88,2006,EndTerrace,1,800,solid,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,3,2,TRUE,TRUE,eastmidlands,OwnerOccupied
BEIS05,2,14,7,1935,Bungalow,0,800,suspendedtimber,1,1,TRUE,FALSE,TRUE,795,0,townandfringe,2,1,TRUE,FALSE,eastmidlands,LocalAuthority
BEIS06,2,6,11,1947,SemiDetached,2,800,solid,5,6,TRUE,FALSE,TRUE,795,0,townandfringe,5,3,TRUE,TRUE,eastmidlands,OwnerOccupied
BEIS07,2,0,0,1901,ConvertedFlat,0,800,suspendedtimber,1,1,TRUE,FALSE,TRUE,795,0,urban,3,1,TRUE,FALSE,eastmidlands,PrivateRented
BEIS08,2,12,88,1949,MidTerrace,2,800,suspendedtimber,10,10,TRUE,FALSE,TRUE,795,0,urban,6,3,TRUE,TRUE,eastmidlands,OwnerOccupied
BEIS09,2,0,0,1916,ConvertedFlat,0,800,suspendedtimber,1,1,TRUE,FALSE,TRUE,795,0,urban,3,2,TRUE,FALSE,eastmidlands,PrivateRented
BEIS10,2,10,12,1916,Detached,3,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,urban,6,4,TRUE,FALSE,eastmidlands,PrivateRented
BEIS11,2,11,8,2004,Detached,2,800,solid,5,6,TRUE,FALSE,TRUE,795,0,urban,6,4,TRUE,FALSE,eastofengland,PrivateRented
BEIS12,2,12,88,1958,MidTerrace,1,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,urban,4,2,TRUE,FALSE,eastofengland,HousingAssociation
BEIS13,2,6,88,2007,EndTerrace,0,800,solid,5,6,TRUE,FALSE,TRUE,795,0,urban,3,2,TRUE,FALSE,eastofengland,HousingAssociation
BEIS14,2,4,11,1988,Bungalow,0,800,solid,2,3,TRUE,FALSE,TRUE,795,0,urban,4,2,FALSE,FALSE,eastofengland,HousingAssociation
BEIS15,2,4,10,1954,Bungalow,0,800,solid,2,3,TRUE,FALSE,TRUE,795,0,urban,2,1,TRUE,FALSE,eastofengland,HousingAssociation
BEIS16,2,17,88,1925,MidTerrace,0,800,solid,2,3,TRUE,FALSE,TRUE,795,0,urban,4,2,TRUE,FALSE,eastofengland,HousingAssociation
BEIS17,2,4,88,1934,MidTerrace,0,800,suspendedtimber,15,10,TRUE,FALSE,TRUE,795,0,urban,5,3,TRUE,FALSE,eastofengland,HousingAssociation
BEIS18,2,4,88,1896,Bungalow,2,800,solid,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,6,3,FALSE,FALSE,eastofengland,PrivateRented
BEIS19,2,8,14,1931,Detached,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,5,3,FALSE,TRUE,eastofengland,OwnerOccupied
BEIS20,2,10,22,1847,Bungalow,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,3,1,FALSE,TRUE,eastofengland,OwnerOccupied
BEIS21,2,5,8,1990,SemiDetached,0,800,solid,1,1,TRUE,FALSE,TRUE,795,0,townandfringe,3,2,FALSE,FALSE,london,HousingAssociation
BEIS22,2,10,88,1924,SemiDetached,0,800,suspendedtimber,2,3,TRUE,FALSE,TRUE,795,0,townandfringe,5,3,TRUE,TRUE,london,OwnerOccupied
