Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
HMRC,HMRC,12/04/2011,Mail and Fulfilment,Business Customer Unit,BSS Scotland Ltd,5100003256,"£232,960.09"
HMRC,HMRC,13/04/2011,Mail and Fulfilment,Business Customer Unit,BSS Scotland Ltd,5100003670,"£58,767.48"
HMRC,HMRC,13/04/2011,Mail and Fulfilment,Business Customer Unit,BSS Scotland Ltd,5100003674,"£109,435.84"
HMRC,HMRC,20/04/2011,Website Development,Business Customer Unit,Serco Assurance,5100006570,"£3,506,262.32"
HMRC,HMRC,21/04/2011,Website Development,Business Customer Unit,Serco Assurance,5100006722,"£930,451.16"
HMRC,HMRC,26/04/2011,Website Development,Business Customer Unit,Serco Assurance,5100006995,"£55,713.17"
HMRC,HMRC,26/04/2011,Website Development,Business Customer Unit,Serco Assurance,5100007005,"£40,106.90"
HMRC,HMRC,07/04/2011,Subscriptions to Pub,Business International,One Source Information Services Ltd,5100002259,"£15,360.00"
HMRC,HMRC,28/04/2011,Scottish Fee Notes,Charities Assets & Residence,Northern Ireland Courts & Tribunal,5100007903,"£38,185.15"
HMRC,HMRC,28/04/2011,Scottish Fee Notes,Charities Assets & Residence,Northern Ireland Courts & Tribunal,5100007903,"£12,998.40"
HMRC,HMRC,01/04/2011,Postal delivery serv,Commercial Directorate,Royal Mail,5100000038,"£744,022.77"
HMRC,HMRC,07/04/2011,Dept forms Non Stock,Commercial Directorate,Adare Halcyon Limited,5100000479,"£25,841.66"
HMRC,HMRC,05/04/2011,Photocopiers,Commercial Directorate,Canon (UK) Ltd,5100001637,"£25,759.69"
HMRC,HMRC,06/04/2011,TNT Documented Servi,Commercial Directorate,TNT UK Limited,5100001858,"£854,671.46"
HMRC,HMRC,07/04/2011,Postal delivery serv,Commercial Directorate,Royal Mail Wholesale,5100002318,"£3,462,627.82"
HMRC,HMRC,08/04/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100002549,"£39,670.35"
HMRC,HMRC,08/04/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100002551,"£81,287.16"
HMRC,HMRC,08/04/2011,Depart Booklet Stk,Commercial Directorate,Adare Halcyon Limited,5100002577,"£27,540.00"
HMRC,HMRC,11/04/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100002650,"£89,646.27"
HMRC,HMRC,11/04/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100002650,"£28,470.63"
HMRC,HMRC,11/04/2011,Vehicle servicing ma,Commercial Directorate,Inchcape Fleet Solutions,5100002650,"£1,646.89"
HMRC,HMRC,11/04/2011,Dept forms Stock,Commercial Directorate,Adare Halcyon Limited,5100002658,"£33,347.06"
HMRC,HMRC,13/04/2011,Postal delivery serv,Commercial Directorate,TNT Post UK Ltd,5100003641,"£91,567.07"
HMRC,HMRC,13/04/2011,Postal delivery serv,Commercial Directorate,TNT Post UK Ltd,5100003645,"£128,918.21"
HMRC,HMRC,13/04/2011,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,5100003719,"£81,571.31"
HMRC,HMRC,13/04/2011,Mail delivery/pickup,Commercial Directorate,G3 Worldwide (UK) Ltd,5100003719,"£25,594.76"
HMRC,HMRC,13/04/2011,Dept forms Non Stock,Commercial Directorate,Liaison Design and Print,5100003763,"£37,456.91"
HMRC,HMRC,14/04/2011,Radio Infrastructure,Commercial Directorate,Arqiva,5100004035,"£125,075.56"
HMRC,HMRC,15/04/2011,Mail delivery/pickup,Commercial Directorate,DX Network Services Ltd,5100004448,"£26,632.06"
HMRC,HMRC,15/04/2011,Stamps,Commercial Directorate,Neopost Credifon Payments,5100004601,"£28,080.00"
HMRC,HMRC,18/04/2011,M/fiche viewer accs,Commercial Directorate,Kodak Limited,5100005171,"£52,498.80"
HMRC,HMRC,19/04/2011,Mail delivery/pickup,Commercial Directorate,DWP,5100005764,"£58,893.30"
HMRC,HMRC,19/04/2011,Gasoline or Petrol,Commercial Directorate,Arval BNP Paribas Group,5100005776,"£46,663.19"
HMRC,HMRC,19/04/2011,Gasoline or Petrol,Commercial Directorate,Arval BNP Paribas Group,5100005778,"£57,786.51"
HMRC,HMRC,20/04/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100006053,"£31,923.98"
HMRC,HMRC,20/04/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100006056,"£61,661.88"
HMRC,HMRC,20/04/2011,Vehicle leasing,Commercial Directorate,Inchcape Fleet Solutions,5100006056,"£1,895.23"
HMRC,HMRC,21/04/2011,Dept forms Stock,Commercial Directorate,Banner Business Services Ltd,5100006807,"£36,728.64"
HMRC,HMRC,21/04/2011,Dept forms Stock,Commercial Directorate,Banner Business Services Ltd,5100006815,"£36,616.32"
HMRC,HMRC,26/04/2011,Stamps,Commercial Directorate,Neopost Credifon Payments,5100006970,"£29,080.00"
HMRC,HMRC,28/04/2011,Specialty envelopes,Commercial Directorate,Banner Business Services Ltd,5100007804,"£27,334.94"
HMRC,HMRC,04/04/2011,Dept forms Stock,Commercial Directorate,Adare Halcyon Limited,5100097607,"£32,048.24"
HMRC,HMRC,05/04/2011,Depart Booklet Stk,Commercial Directorate,Adare Halcyon Limited,5100108362,"£31,344.00"
