NPARK17CD,NPARK17NM,FID
E26000001,Dartmoor National Park,1
E26000002,Exmoor National Park,2
E26000004,Northumberland National Park,3
E26000005,North York Moors National Park,4
E26000006,Peak District National Park,5
E26000007,The Broads Authority,6
E26000009,New Forest National Park,7
E26000010,South Downs National Park,8
E26000011,Lake District National Park,9
E26000012,Yorkshire Dales National Park,10
S21000002,The Loch Lomond and the Trossachs National Park,11
S21000003,The Cairngorms National Park,12
W18000001,Brecon Beacons National Park,13
W18000002,Pembrokeshire Coast National Park,14
W18000003,Snowdonia National Park,15
