Pre Charge Decisions,2010 - 11 Volume,2010 - 11 Percentage,2011 - 12 Volume,2011 - 12 Percentage,2012 - 13 Volume,2012 - 13 Percentage,2013 - 14 Volume,2013 - 14 Percentage,2014 - 15 Volume,2014 - 15 Percentage
Charged,179,62.15%,162,61.83%,154,66.96%,158,65.83%,157,62.5%
No Prosecution,102,35.42%,77,29.39%,62,26.96%,60,25.00%,81,32.3%
Out of Court Disposal,0,0.00%,0,0.00%,2,0.87%,0,0.00%,2,0.8%
Administratively Finalised,5,1.74%,15,5.73%,12,5.22%,22,9.17%,11,4.4%
Other,2,0.69%,8,3.05%,0,0.00%,0,0.00%,0,0.0%
Total,288,100.00%,262,100.00%,230,100.00%,240,100.00%,251,100.00%
