Organisation Name,Organisation Code,Directorate/Service,Cost Centre,Detail Code,Service Category label,Supplier Name,Payment Date,Transaction Number,Net Amount,Purpose of Spend,Procurement Classification,Card Transaction
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2549,30010,Handyman Materials,Timpson,31/07/2017,PC 218/ 1,5,Yard key,"Highways, Roads & Transport Services",GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,6593,40012,Contract Costs,Screwfix,31/07/2017,PC 218/ 2,25.91,Boxes of screws,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,1409,30326,Twinning Events,British Athletics,31/07/2017,PC 218/ 5,27.95,British Athletics Training Shirt,Over/Under Recovery on Support Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30209,Payments To Artistes,Amazon,31/07/2017,PC 218/ 7,12.49,Hidden Figures DVD,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,31/07/2017,PC 218/ 8,70.06,Show Ads,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Facebook,31/07/2017,PC 218/ 9,11.59,SNAP Ads,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2543,80114,Advertising,Facebook,31/07/2017,PC 218/ 10,9.37,ATC ALMD Ads,Planning Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30237,Publicity And Advertising,Facebook,31/07/2017,PC 218/ 11,17.14,Show Ads,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30307,Snap Discos,Facebook,31/07/2017,PC 218/ 12,3.82,SNAP Ads,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30327,Dog Chipping (Exp),Amazon,31/07/2017,PC 218/ 13,9.49,Camera SD Card,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30327,Dog Chipping (Exp),Ikea,31/07/2017,PC 218/ 14,29.17,Black A3 frames,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Community,2518,30209,Payments To Artistes,Amazon,31/07/2017,PC 218/ 15,12.49,BATB DVD,Cultural and Related Services,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,9440,90094,S Choudhary Mayor 2017,Lufthansa,31/07/2017,PC 218/ 18,182.4,Flights Mayor and Mayoress to Frankfurt,Corporate & Democratic Core,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Democratic and Customer Services Unit,9440,90094,S Choudhary Mayor 2017,Lufthansa,31/07/2017,PC 218/ 19,182.4,Flights Mayor and Mayoress to Frankfurt,Corporate & Democratic Core,GPC
Rushmoor Borough Council,http://opendatacommunities.org/id/district-council/rushmoor,Corporate Director,2100,00013,Travel & Subsistence,Lufthansa,31/07/2017,PC 218/ 20,169.7,2 x flights Chief Executive Frankfurt ,Over/Under Recovery on Support Services,GPC
