Senior official (SCS2 and above),Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc (£)",Total Cost of Use of Official Secure Car
Gareth Davies,2017-10-06,1,Ipswich,Visit to Hutchison Whampoa Limited,Rail,Standard,,,76.70,
Gareth Davies,2017-10-27,1,Sheffield,Sheffield Hallam University Visit ,Rail,Standard,,,188.00,
Gareth Davies,2017-11-10,1,Cambridge,Centre for Science and Policy meeting,Rail,Standard,,,35.80,
Gareth Davies,2017-11-14,1,London,Breakfast meeting with ESRC Professor Jennifer Rubin,,,,£28.50,28.50,
Gareth Davies,2017-11-15,1,London,Breakfast meeting with Professor Julia Goodfellow,,,,£29.00,29.00,
Gareth Davies,2017-11-17,1,Brockenhurst,Ordnance Survey Visit,Rail,Standard,,,102.30,
Gareth Davies,2017-11-24,1,Nottingham,Local Enterprise Partnership Midlands Visit,Rail,Standard,,,83.50,
Gareth Davies,2017-11-27,1,London,Breakfast meeting with Lord Prior,,,,£42.00,42.00,
Gareth Davies,2017-12-01,1,Manchester,Manchester Local Enterprise Partnership visit,Rail,Standard,,,105.90,
Gareth Davies,2017-12-10,5,Tokyo/Singapore,To discuss industrial strategy  ,Air,Business,,,10148.07,
,,,,,,,,,,
Gavin Lambert,2017-10-06,1,Ipswich,Visit to Felixstowe Port ,Rail,Standard,,,76.70,
Gavin Lambert,2017-10-22,1,Barnstaple,Visit to Aston Martin ,Rail,Standard,,,48.40,
Gavin Lambert,2017-11-07,2,Geneva,Visit to Nissan,Air,Standard,£200.96,,552.84,
,,,,,,,,,,
Graham Russell,2017-10-04,1,London,International Workshop and meeting with Association of Manufacturers of Domestic Appliances,Rail,Standard,,,216.00,
Graham Russell,2017-10-11,1,London,Leading and Speaking at Primary Authority Seminar,Rail,Standard,,,216.00,
Graham Russell,2017-10-12,1,London,Meeting with WHICH,Rail,Standard,,,216.00,
Graham Russell,2017-11-08,2,Paris,Organisation for Economic Co-operation and Development Enforcement and Inspections Conference ,Eurostar,Standard,£367.87,,1216.87,
Graham Russell,2017-11-21,1,London,Leading the Product Safety and Legal Metrology Seminar,Rail,Standard,,,216.00,
Graham Russell,2017-11-27,1,London,Product Safety Seminar ,Rail,Standard,,,216.00,
Graham Russell,2017-11-28,1,London,Expert Group on Product Recalls and Safety,Rail,Standard,,,216.00,
Graham Russell,2017-12-06,1,London,Business Reference Panel meeting ,Rail,Standard,,,216.00,
Graham Russell,2017-12-07,1,London,Speaking at Chartered Institute of Environmental Health Annual Conference ,Rail,Standard,,,216.00,
Graham Russell,2017-12-10,3,Toronto,Speaking at the 2017 Community of Federal Regulators Conference and presenting on Risk in Toronto with Canadian colleagues from Trade Associations and Bodies ,Air,Business/Economy,£745.80,,6872.47,
,,,,,,,,,,
Helen Shirley-Quirk,2017-11-06,1,Chester,Nuclear Fuel Cycle course,Rail,Standard,,,209.00,
Helen Shirley-Quirk,2017-11-15,2,Penrith,Sellafield visit,Rail,Standard,£170.00,,449.00,
Helen Shirley-Quirk,2017-12-04,1,Penrith,G6 meeting,Rail,Standard,,,228.50,
,,,,,,,,,,
