"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218b","RD192_CORPORATE SYSTEMS ANALYST","25500","33000","Analyst","3.90","Finance"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218b","RD205_Senior Paralegal","26350","34100","Senior Legal Adviser","2.00","Law"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218b","RD206_SENIOR BUSINESS ADMINISTRATOR","18900","23100","Programme Support Officer","3.50","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218b","RD213_Programme Coordinator","24650","31900","Programme Support Officer","2.50","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218b","RD225_BUSINESS ADMINISTRATOR","15400","18810","Programme Support Officer","1.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218b","RD226_TECHNICIAN ENGINEER","21250","27500","Engineer","1.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218b","RD228_SENIOR ENGINEER","29930","40150","Senior Engineer","2.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218b","RD229_ENGINEERING MANAGER","38335","52038","Senior Engineer","1.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218b","RD232_EXECUTIVE HEAD","53321","70150","Executive Head","1.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218b","RD233_HEAD","47784","60713","Head","2.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218b","RD235_HEAD INTERNAL AUDIT","50023","63558","Head","1.00","Internal Audit"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218b","RD237_HEAD LEGAL","55547","70150","Head","1.00","law"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218b","RD239_HEAD PROCUREMENT","47024","59748","Head","1.00","Procurement"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218c","RD035_HR ASSISTANT","18000","22000","HR Officer","1.30","Human Resources"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218c","RD041_PERSONAL ASSISTANT","18900","23100","Diary Manager","0.50","Procurement"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218c","RD057_PLACEMENT TRAINEE/INTERNSHIP","13500","16500","IT Support Officer","1.00","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218c","RD206_SENIOR BUSINESS ADMINISTRATOR","18900","23100","Programme Support Officer","4.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218c","RD225_BUSINESS ADMINISTRATOR","15400","18810","HR Officer","0.50","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218c","RD240_HR BUSINESS PARTNER","31000","45000","HR Officer","2.00","Human Resources"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218c","RD240_HR CONSULTANT","31000","45000","HR Officer","1.00","Human Resources"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218c","RD246_HR ASSOCIATE","20008","22928","HR Officer","4.00","Human Resources"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218c","RD247_HR ADVISER","25500","30848","HR Officer","11.00","Human Resources"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218c","RD248_HR SPECIALIST PARTNER","31000","45000","HR Officer","4.00","Human Resources"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218c","RD249_HR TEAM HEAD","45000","55703","Head","3.00","Human Resources"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD040_EXTERNAL RELATIONS MANAGER","37105","49775","Executive Head","7.50","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD041_PERSONAL ASSISTANT","18900","23100","Diary Manager","4.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD076_SENIOR IT PRACTITIONER","26459","34241","IT Practitioner","1.00","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD104_OSD SECTOR MANAGER","27265","36575","forecaster manager","2.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD105_OSD SENIOR SECTOR MANAGER","34440","46200","forecaster manager","2.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD108_SERVICE DELIVERY TEAM MEMBER","17100","20900","forecaster manager","2.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD110_JUNIOR PROJECT MANAGER","21250","27500","Project Manager","1.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD116_ACCOUNT MANAGER","26350","34100","Marketing Manager","4.40","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD123_BUSINESS DEVELOPMENT MANAGER","27265","36575","Marketing Manager","3.70","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD124_MARKETING MANAGER","26350","34100","Marketing Manager","1.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD135_Senior Business Development Manager","37105","49775","Marketing Manager","6.50","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD136_Deputy External Relations Manager","25500","33000","Executive Head","3.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD145_BUSINESS MANAGER","37105","49775","Marketing Manager","7.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD147_TECHNICAL ACCOUNT MANAGER","31160","41800","Marketing Manager","3.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD150_PUBLIC WEATHER SERVICE ADVISOR","27265","40150","Forecaster","12.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD173_Head/Principal Business Development Manager","46360","70150","Head","8.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD177_SENIOR MARKETING MANAGER","37105","49775","Senior Marketing Manager","2.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD190_Parliamentary Adviser & Consultation Manager","25500","33000","External Relations Manager","1.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD202_Secretariat Ministerial Relations Manager","37105","49775","External Relations Manager","1.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD204_Library Information Specialist","20400","26400","Knowledge Information Manager","5.10","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD206_SENIOR BUSINESS ADMINISTRATOR","18900","23100","Programme Support Officer","4.20","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD207_LIBRARY & ARCHIVE MANAGER","31160","41800","Knowledge Information Manager","0.70","Knowledge and Information Management (KIM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD211_DEPUTY HEAD OF PROGRAMME","37105","49775","Programme Manager","2.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD232_EXECUTIVE HEAD","53321","70150","Executive Head","2.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD233_HEAD","47784","60713","Head","2.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218d","RD234_MANAGER","41489","50248","Manager","4.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD001_SCIENTIFIC STRATEGIC HEAD","47310","71588","Scientist","2.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD004_SCIENTIFIC MANAGER","38335","52038","Scientist","4.60","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD005_SENIOR SCIENTIST","29930","40150","Scientist","3.70","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD006_SCIENTIST","25500","33000","Scientist","9.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD007_FOUNDATION SCIENTIST","21250","27500","Scientist","5.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD015_Foundation Scientific Software Engineer","21250","27500","Scientist","1.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD017_Senior Scientific Software Engineer","29930","40150","Scientist","4.80","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD018_SCIENTIFIC SYSTEMS MANAGER","38335","52038","Scientist","0.90","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD031_PROBATIONARY FORECASTER","18000","18540","Forecaster","45.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD032_SENIOR TRAINER","27265","40150","Trainer","0.60","Human Resources"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD034_BROADCASTER","19800","24200","Forecaster","1.70","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD040_EXTERNAL RELATIONS MANAGER","37105","49775","External Relations Manager","3.50","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD041_PERSONAL ASSISTANT","18900","23100","Diary Manager","1.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD047_HR CONSULTANT","25500","33000","HR Officer","1.00","Human Resources"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD050_ASSISTANT ENGINEER","18000","22000","Engineer","2.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD057_PLACEMENT TRAINEE/INTERNSHIP","13500","16500","IT Support Officer","2.00","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD064_OPERATIONS RESOURCE MANAGER","34440","46200","Manager","4.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD072_IT PRACTITIONER","20847","26979","IT Practitioner","6.00","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD076_SENIOR IT PRACTITIONER","26459","34241","IT Practitioner","18.00","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD082_LEAD IT PRACTITIONER","30657","41125","IT Practitioner","7.50","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD089_CHIEF FORECASTER","43700","66125","Forecaster Manager","8.10","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD090_DEPUTY CHIEF FORECASTER","36080","48400","Forecaster Manager","16.50","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD091_FORECASTER","22100","28600","Forecaster","137.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD092_FORECASTER SUPPORT","18000","22000","Forecaster Support","31.70","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD093_FORECASTER TEAM LEADER","27265","40150","Forecaster Manager","63.80","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD094_Observations Network Manager","31160","41800","Forecaster Manager","6.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD095_Observations Data Analyst","19800","24200","Forecaster Support","11.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD097_Observations Network Team Leader","27265","36575","Forecaster Manager","4.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD098_Observations Networks Coordinator","19800","24200","Forecaster Support","9.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD099_Observations Networks Specialist","25500","33000","Forecaster Support","10.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD102_OBSERVING TECHNICIAN","17100","20900","Forecaster Support","10.50","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD103_OBSERVING STATION MANAGER","20400","26400","Forecaster Manager","3.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD104_OSD SECTOR MANAGER","27265","36575","Forecaster Manager","21.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD105_OSD SENIOR SECTOR MANAGER","34440","46200","Forecaster Manager","8.10","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD106_Service Delivery Senior Team Member","19800","24200","Forecaster Support","14.60","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD107_Service Delivery Team Leader","23588","30525","Forecaster Manager","1.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD108_SERVICE DELIVERY TEAM MEMBER","17100","20900","Forecaster Support","13.50","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD109_SPECIALIST FORECASTER","27265","40150","Forecaster","80.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD111_PORTFOLIO MANAGER","35260","47300","Project Manager","1.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD114_PROJECT MANAGER","26350","34100","Project Manager","2.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD115_SENIOR PROJECT MANAGER","35260","47300","Project Manager","2.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD117_REGIONAL NETWORK OFFICER","20400","26400","Forecaster Support","9.00","Science and Engineering"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD136_Deputy External Relations Manager","25500","33000","External Relations Manager","1.00","Other"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD164_Communications Co-ordinator","20400","26400","Communications Officer","0.80","Communications"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD182_TRAINER","22100","28600","Trainer","1.30","Human Resources"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD206_SENIOR BUSINESS ADMINISTRATOR","18900","23100","Programme Support Officer","6.40","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD208_Programme Co-ordination Manager","25500","33000","Programme Support Officer","1.00","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD210_INFORMATION SYSTEMS ANALYST","20400","26400","Analyst","1.00","Information Technology"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD211_DEPUTY HEAD OF PROGRAMME","37105","49775","Programme Manager","4.50","Programme and Project Management (PPM)"
"Department for Business Innovation and Skills","Met Office","Met Office","RD218e","RD213_Programme Coordinator","24650","31900","Programme Support Officer","1.00","Programme and Project Management (PPM)"
