Body,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale BC,27/01/2014,ASHWOODS AUTOMOTIVE LTD,Vehicle Management,ECONOMY AND ENVIRONMENT,VEHICLE REPLACEMENT PROGRAM,"£58,794.00"
Rochdale BC,23/01/2014,ASSET PEOPLE SOLUTIONS,Human Resources,CORPORATE SERVICES,D&A DIP COMMISSIONED,"£30,000.00"
Rochdale BC,15/01/2014,ASSOCIATION  PUBLIC SERVICE EXCELLENCE,Financial Services,ECONOMY AND ENVIRONMENT,WIND ENERGY PROJECT - PILOT PHASE,"£5,430.88"
Rochdale BC,13/01/2014,AST HAMPSONS,Legal Services,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,"£69,000.00"
Rochdale BC,09/01/2014,ASTOR-BANNERMAN (MEDICAL) LTD,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,£618.95
Rochdale BC,22/01/2014,ASTOR-BANNERMAN (MEDICAL) LTD,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,DOWLING STREET OCC THERAPY,£649.00
Rochdale BC,30/01/2014,A-TEC DESIGN OFFICE SOLUTIONS LIMITED,Facilities & Management Services,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,£625.90
Rochdale BC,30/01/2014,A-TEC DESIGN OFFICE SOLUTIONS LIMITED,Facilities & Management Services,CORPORATE SERVICES,REFRESH PROGRAMME,£600.00
Rochdale BC,01/01/2014,ATLAS ONE LTD,"Works - Construction, Repair & Maintenance",LEARNING DIS & MENTAL HEALTH,DAY SERVICES MANAGEMENT/ADMIN,"£2,500.00"
Rochdale BC,06/01/2014,AUNT MARYS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,FREE NURSERY PLACES 2 YEAR OLDS,"£1,960.20"
Rochdale BC,06/01/2014,AUNT MARYS PRIVATE DAY NURSERY,Financial Services,EARLY HELP AND SCHOOLS,NURSERY EDUCATION GRANT  3YR OLDS,"£8,128.89"
Rochdale BC,09/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,225.00"
Rochdale BC,09/01/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,£600.00
