Body,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale BC,02/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,PENNINES STRUCTURAL PATCHING CAP,"£2,408.73"
Rochdale BC,02/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,PENNINES STRUCTURAL PATCHING CAP,"£3,853.75"
Rochdale BC,02/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,PENNINES STRUCTURAL PATCHING CAP,"£1,974.90"
Rochdale BC,02/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,PENNINES STRUCTURAL PATCHING DFT,"£1,210.03"
Rochdale BC,16/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING CAP,"£12,357.82"
Rochdale BC,16/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING CAP,"£3,993.78"
Rochdale BC,16/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING CAP,"£23,975.37"
Rochdale BC,16/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING CAP,"£2,787.28"
Rochdale BC,16/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING CAP,"£2,587.91"
Rochdale BC,28/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING CAP,"£3,336.97"
Rochdale BC,28/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING CAP,"£4,470.99"
Rochdale BC,16/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING DFT,"£7,068.61"
Rochdale BC,28/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING DFT,"£4,356.54"
Rochdale BC,28/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING DFT,"£8,163.09"
Rochdale BC,28/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING DFT,"£7,473.75"
Rochdale BC,02/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING HIP,"£1,774.59"
Rochdale BC,28/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING HIP,"£2,034.78"
Rochdale BC,28/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING HIP,"£2,215.19"
Rochdale BC,28/01/2014,BRENNAN PAVING COMPANY LIMITED,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ROCHDALE STRUCTURAL PATCHING HIP,"£1,822.17"
Rochdale BC,29/01/2014,BRIGHOUSE HIGH SCHOOL,Public Bodies,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS  IN OLA MAINSTREAM,"£2,010.00"
Rochdale BC,29/01/2014,BRIGHOUSE HIGH SCHOOL,Public Bodies,EARLY HELP AND SCHOOLS,PRE 16 RDALE PUPILS  IN OLA MAINSTREAM,"£1,507.00"
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,BOWLING GREENS,"£1,595.43"
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,CAR PARKS  GENERAL,£892.27
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,£548.59
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,CHILDREN’S SOCIAL CARE,CROSSFIELD MILL,"£2,641.41"
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,"£2,369.28"
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,GREAT HOWARTH HOSTEL,£720.08
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,HANSON CLOSE INDUSTRIAL ESTATE,£828.69
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,HOLLINGWORTH LAKE GENERAL,£974.37
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,LEARNING DIS & MENTAL HEALTH,LD PROVIDER MANAGEMENT & ADMIN,£619.23
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,LEOPOLD COURT,£816.26
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,MANAGEMENT OF PROPERTIES,"£1,297.70"
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,EARLY HELP AND SCHOOLS,NEWBOLD CHILDRENS CENTRE,£588.14
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,PARKS HEYWOOD,£663.75
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,ECONOMY AND ENVIRONMENT,PARKS ROCHDALE,"£1,688.99"
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,PROPERTY AND HIGHWAYS,PHOENIX CLOSE IND ESTATE - MICRO,"£1,560.09"
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,CORPORATE SERVICES,RENAISSANCE,£512.15
Rochdale BC,17/01/2014,BRITISH GAS BUSINESS,Utilities,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,"£1,135.05"
