Senior Official (SCS2 and above),Date,Person or organisation that offered hospitality,Type of hospitality received,"Accompanied by spouse, family member(s) or friend?"
Alan Over,Nil,Nil,Nil,Nil
Alec Waterhouse,Nil,Nil,Nil,Nil
Angie Ridgewell,Nil,Nil,Nil,Nil
Anne Dixon,Nil,Nil,Nil,Nil
Ben Golding,Nil,Nil,Nil,Nil
Blake Bower,Nil,Nil,Nil,Nil
Caleb Deeks,Nil,Nil,Nil,Nil
Catherine Bremner,Nil,Nil,Nil,Nil
Chris Saunders,Nil,Nil,Nil,Nil
Chris Thompson,Nil,Nil,Nil,Nil
Christopher Pope,Nil,Nil,Nil,Nil
Clive Maxwell,Nil,Nil,Nil,Nil
Dan Monzani,Nil,Nil,Nil,Nil
Dan Osgood,Nil,Nil,Nil,Nil
Daron Walker,Nil,Nil,Nil,Nil
Darrell Midgley,Nil,Nil,Nil,Nil
Deborah Gillatt,Nil,Nil,Nil,Nil
Doug Watkins,Nil,Nil,Nil,Nil
Emily Bourne,Nil,Nil,Nil,Nil
Emma Ward,Nil,Nil,Nil,Nil
Graham Russell,Nil,Nil,Nil,Nil
Helen Shirley-Quirk,Nil,Nil,Nil,Nil
Hugo Robson,Nil,Nil,Nil,Nil
Jaee Samant,Nil,Nil,Nil,Nil
Jenny Dibden,Nil,Nil,Nil,Nil
Kristen McLeod,Nil,Nil,Nil,Nil
Martin Williams,Nil,Nil,Nil,Nil
Nicole Mather,Nil,Nil,Nil,Nil
Rupert Lewis,Nil,Nil,Nil,Nil
Samantha Beckett,Nil,Nil,Nil,Nil
Susannah Simon,Nil,Nil,Nil,Nil
Tim Dafforn,Nil,Nil,Nil,Nil
Tim Jarvis,Nil,Nil,Nil,Nil
Tim Lord,Nil,Nil,Nil,Nil
Tom Taylor,Nil,Nil,Nil,Nil
,,,,
,,,,
Alex Chisholm ,2017-10-03,Unilever,Dinner,No
Alex Chisholm ,2017-10-26,"Invest Northern Ireland, The Confederation of British Industry, The Federation of Small Businesses, The Institute of Directors Northern Ireland",Dinner,No
Alex Chisholm ,2017-11-02,Liberty,Breakfast,No
Alex Chisholm ,2017-11-13,Unilever,Breakfast,No
