Organisation Name,Organisation Code,Organisational Unit,Service Category Label,Procurement category,Supplier Name,Supplier Other ID,Payment Date,Transaction Number,Amount (£),Purpose
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,Bank-Refurbishment,EGBERT H TAYLOR AND COMPANY LIMITED,EGB001,15/12/2017,161975,2015.04,LOCKING LIDS/ASSEMBLY KITS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Building Maintenance,AMEY PLC,TFE001,15/12/2017,161994,767.3,MOVE CABINETS/ENTRANCE MATS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Building Maintenance,AMEY PLC,TFE001,15/12/2017,159339,508.84,INSTALL EXTERNAL DOOR
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Building Maintenance,AMEY PLC,TFE001,15/12/2017,160208,522.6,PCS KIRKBY STEPHEN BLOCKAGE IN LADIES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Information Technology,Balance brought forward BS,INSIGHT DIRECT (UK) LTD,INS014,15/12/2017,161495,25000,MANAGED  BACKUP 3 YEAR CONTRACT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Building Maintenance,AMEY PLC,TFE001,15/12/2017,161660,500,JETTING DRAINS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Building Maintenance,AMEY PLC,TFE001,15/12/2017,161955,536.55,SUPPLY/INSTALL MIXER TAPS
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,PPM LTD,PPM001,15/12/2017,162127,3076.44,INTERIM PAYMENT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Corporate Services Manager,Central Expenses,Postages,NEOPOST LIMITED,NEO001,15/12/2017,162133,2000,FRANKING REFILL
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Financial Services,"Books, publications",CIPFA,CIP001,15/12/2017,162139,650,SERVICE REPORTING CODE OF PRACTICE UPDAT
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Discretionary Renovation Grants,Decent Homes Grants,redacted information,HOR011,15/12/2017,162142,10600,FINAL PAYMENT 
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,CONISTON CONSULTANTS LTD,CON023,15/12/2017,162143,1250,ARCHITECT FEE 
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Tourism Promotion,Distribution,LIFESTYLE MEDIA GROUP LTD,CAT003,15/12/2017,162144,670.42,FULFILEMT NOVEMBER 17
