Department for Work and Pensions,,,
Hospitality received[1] by Special Advisers,,,
Period: 1 April to 30 June 2013,,,
Name,Date of hospitality,Name of organisation ,Type of hospitality received
Lisa Hunter,01-May,Sky,Lunch
Lisa Hunter,16-May,The Telegraph,Lunch
Lisa Hunter,11-Jun,The Sun on Sunday,Lunch
Lisa Hunter,12-Jun,ITN,Lunch
Lisa Hunter,20-Jun,The Sun on Sunday,Lunch
Philippa Stroud,16-May,The Archbishop of Canterbury’s office,Lunch
Romilly Dennys,NIL return,,








"[1] Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined. Staff are required to record all other hospitality received apart from minor incidental refreshments. "
* indicates if accompanied by spouse/partner or other family member or friend.’ 
