Minister,Date of Trip,Destination,Purpose,"Scheduled, 'No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",23-Jan,Davos,World Economic Forum,Scheduled,n/a,"£1,033"
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",2-6 Feb 2014,Latin America,Bilateral and trade,Scheduled,n/a,"£6,502"
"Deputy Prime Minister, The Rt Hon Nick Clegg MP",31-Mar-14,Madrid,State Funeral of President Suarez,No 32,0,£196
