,Report Title,,
Inspira Cumbria Ltd,"Units 27/29 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",-0.01,2007
Intelligent Web Solutions Limited,"Unit G1, Waterside House, Bridge Approach, Barrow In Furness, Cumbria, LA14 1AF",-452.63,2011
James Fisher  Marine Services Ltd,"Ship Workers Caravans At Woodbridge Haven, Cavendish Dock Road, Barrow In Furness, Cumbria, LA13 0DJ",-0.6,2014
John Queen Ltd,"Former Furness Heating Components, The Old Brewery, Albert Street, Barrow In Furness, Cumbria, LA14 2JF",-317.97,2009
J R Gabriel Properties Ltd,"Unit 1 R/O, 331, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1BS",-1074.27,2015
J R Gabriel Properties Ltd,"Unit 3 R/0, 331, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1BS",-6747.07,2015
La12 Ltd,"Unit 23, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",-185,2015
Lakes Hospitality Ltd,"Lords Tavern, Abbey Road, Barrow In Furness, Cumbria, LA14 1LQ",-915.74,2010
Lakes Parade Tanning Ltd,"3 Lakes Parade, Ennerdale Drive, Barrow In Furness, Cumbria, LA14 4PR",-30,2015
Lara Nicholls Limited (In Administration),"Pt 1st Flr, 76, Duke Street, Barrow In Furness, Cumbria, LA14 1RX",-47.98,2011
Larimar Prop. Mngmt. Ltd,"Unit 1 At Standsure House, Billings Road, Dalton In Furness, Cumbria, LA13 0SG",-595.38,2015
Maatwerk,"Rooms 16 18 & 19 Burlington House, Michaelson Road, Barrow In Furness, Cumbria, LA14 2EY",-89.33,2010
Marie Curie Cancer Care,"142, Abbey Road, Barrow In Furness, Cumbria, LA14 5AB",-200.19,2009
Morecambe Bay Primary Care Trust,"103-105, Abbey Road, Barrow In Furness, Cumbria, LA14 5EX",-20.6,2007
Mullberry Homes Ltd,"20, Tamworth Drive, Barrow-In-Furness, Cumbria, LA13 0GQ",-1026.1,2015
Mullberry Homes Ltd,"28, Farnham Close, Barrow-In-Furness, Cumbria, LA13 0GP",-474,2015
Musgrave Design Cons. Ltd,"Studio 2, The Canteen Media And Arts Centre, Michaelson Road, Barrow In Furness, LA14 1AD",-3.24,2008
Musson Projects Llp,"Victoria Hall, Suite 7b, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1BX",-384.93,2015
National Offender Management Services,"77-79,, Duke Street, Barrow In Furness, Cumbria, LA14 1RW",-1958.56,2015
National Offender Management Services,"Unit 53, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",-168.2,2015
"Nat.Westminster Bank Plc,","67-69, Market Street, Dalton In Furness, Cumbria, LA15 8AE",-258.08,2015
Nch Action For Children,"126, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",-3.19,2010
Ncs Mechanical Serv. Ltd T/A Raines Refrigeration (In Liq),"2, Slater Street, Dalton In Furness, Cumbria, LA15 8SR",-485.89,2014
Neighbourhood Mngt Team,"Gnd Flr & 1st Flr, 242-244, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",-2026.89,2015
Network Rail,"Nos 2,3 & 4 Archways, Raglan Street, Barrow In Furness, Cumbria, LA14 2AP",-520.04,2013
Newmanor Properties Ltd,"183-185, Dalton Road, Barrow In Furness, Cumbria, LA14 1PT",-0.08,2015
Northern Riviera Productions,"Studio 8 The Canteen Media & Arts Centre, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AD",-34,2009
Northern Trust Co Ltd,"Unit 5b, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PN",-125.05,2015
Northern Trust Company Ltd,"Suite 4 Furness Gate, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PE",-490.04,2014
Northern Trust Company Ltd,"Suite 4 Furness Gate, Furness Business Park, Peter Green Way, Barrow-In-Furness, Cumbria, LA14 2PE",-246.51,2015
N P Properties Ltd,"Goldmire Quarry., Thwaite Flat, Barrow In Furness, Cumbria, LA14 4QG",-570,2010
Nspcc,"Nspcc, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",-47.64,2010
"Odd Fellows Friendly Society,","4, Bath Street, Barrow In Furness, Cumbria, LA14 1LZ",-23.75,2010
Ogden Waller Property Ventures Llp,"Lidl Uk Ltd, Walney Road, Barrow In Furness, Cumbria, LA14 5UG",-56.77,2013
Omaha Nominees (A) Ltd,"9, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",-3882.42,2015
Pad Contract Repairs Ltd,"Unit G10, Waterside House, Bridge Approach, Barrow In Furness, Cumbria, LA14 1AF",-106.55,2008
"Parker Supply Co,","First Flr, 16, Cornwallis Street, Barrow In Furness, Cumbria, LA14 2LG",-31.39,2006
"Parker Supply Co,","Ground Flr, 16, Cornwallis Street, Barrow In Furness, Cumbria, LA14 2LG",-34.11,2006
Phoenix Solar Systems Limited,"Room 16, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",-38.81,2012
Post Office Limited,"5-7, Dalton Road, Barrow In Furness, Cumbria, LA14 1HX",-294.75,2015
Provincial Enterprise Ltd,"21, Dalkeith Street, Barrow In Furness, Cumbria, LA14 1ST",-124,2006
Punch Taverns Ltd,"Island Tavern, Mill Lane, Barrow In Furness, Cumbria, LA14 3XY",-0.65,2006
Ramsden Square Rank Limited,"Ramsden Square Rank Ltd, Duke Street, Barrow In Furness, Cumbria, LA14 1XX",-12.13,2011
Rathbone Training,"Rathbone Training Ltd, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",-159.66,2015
Red Abbey Ltd,"Unit G1, Waterside House, Bridge Approach, Barrow In Furness, Cumbria, LA14 1AF",-52.57,2009
"Refuge Lending Co,","177,, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",-371.36,2007
Reverseword Ltd,"Furness Print Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UG",-5068.07,2015
Roose Car Wash Ltd T/A Smart Safe Ltd,"S-Mart Convenience Store, Roose Road, Barrow In Furness, Cumbria, LA13 OEE",-487.06,2015
Ross Accommodation Ltd,"4, Ainslie Street, Barrow In Furness, Cumbria, LA14 5BJ",-1.34,2008
Rovtech Solutions Ltd,"Rovtech Systems Ltd, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TB",-166,2015
Royal Mencap Society,"2, Carlisle Street, Barrow In Furness, Cumbria, LA14 1QT",-310.33,2010
Santander Uk Plc,"Askam Hotel, Victoria Street, Askam In Furness, Cumbria, LA16 7BX",-672.92,2012
Serco Limited T/A Serco Rb Solutions,"Unit 5, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",-57.44,2015
Shield Marketing Ltd,"Car Parking Space Number 2 Corner Of, Nelson Street &, Keyes Street, Barrow In Furness, Cumbria, LA14 5TA",-11.91,2011
Signature Windows (Barrow) Limited,"Former Furness Heating Components, The Old Brewery, Albert Street, Barrow In Furness, Cumbria, LA14 2JF",-0.37,2014
Sillfield Farms Barrow Ltd,"Stalls 3 & 4 Meat Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",-2620.43,2015
Soa Safety Ltd,"Soa Safety, Standsure House, Billings Road, Dalton In Furness, Cumbria, LA13 0SG",-1375.29,2015
Steeles Removals,"Pearce Bentley Training, Sowerby Woods Business Park, Park Road, Barrow-In-Furness, Cumbria, LA14 4EQ",-656.78,2015
Steeles Removals,"R S Properties Ltd,, Bouthwood Road, Barrow In Furness, Cumbria, LA14 4RD",-228.99,2015
Street Asylum Limited,"63, Cavendish Street, Barrow In Furness, Cumbria, LA14 1QD",-540.19,2012
Tag Ltd,"Unit 9, James Freel Close, Barrow In Furness, Cumbria, LA14 2NW",-0.01,2008
Tb Group Ltd,"Walney Road Offices (Tb Group Yard), Unit 2, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",-797,2013
Tb Group Ltd,"Youngs Furnishers, Small Store In T B Group Yard, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",-130.38,2012
Tesco Stores Ltd,"W & W Mccullough Ltd, North Road, Barrow In Furness, Cumbria, LA14 2PW",-100.01,2007
The Mccormack Creighton Partnership,"36, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",-2610.66,2015
The Retail & Warehouse Company Limited,"Poundland, Hindpool Road, Barrow In Furness, Cumbria, LA14 2PD",-2877.05,2015
Thrift Charitable Trust,"Store 1st Flr, 98, Church Street, Barrow In Furness, Cumbria, LA14 2HJ",-9.62,2015
Tkm Ltd,"Room 3, Phoenix Business Centre, Phoenix Road, Barrow In Furness, Cumbria, LA14 2UA",-899.9,2013
Topaz Services Ltd (In Liquidation),"Unit 23, Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",-127.3,2010
Top Solutions (Uk) Ltd,"Unit 1 The Old Fire Station, Abbey Road, Barrow In Furness, Cumbria, LA14 1XH",-200.59,2009
Trinity Enterprise Centre Ltd,"Unit 12 Trinity Enterprise Centre, Furness Business Park, Ironworks Road, Barrow In Furness, Cumbria, LA14 2PN",-7.71,2008
Tui Uk Ltd,"122, Dalton Road, Barrow In Furness, Cumbria, LA14 1JH",-4386.38,2015
Turnstone Consultancy Ltd,"Walney Road Offices (Tb Group Yard), Unit 1, Walney Road, Barrow In Furness, Cumbria, LA14 5UT",-127.2,2015
"United Club And Institute,","J N Murray, Friars Lane, Barrow In Furness, Cumbria, LA13 9NN",-351.2,2009
"Vickerstown Cricket Club,","Rainey Park, Mill Lane, Barrow In Furness, Cumbria, LA14 3ND",-2654.4,2015
Walmsley Furnish Plc In Administration,"50-52, Portland Walk, Barrow-In-Furness, Cumbria, LA14 1DB",-494.26,2007
Walney Central Arlfc,"Walney Central Rfc,, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",-34.1,2015
Wicks Lindel Ltd,"Wicks Lindel Ltd:, Sowerby Woods Business Park, Park Road, Barrow In Furness, Cumbria, LA14 4QR",-16929.25,2015
